Group,DISTRICT,DistName,cntyname,RegnName,REGION,English,Math,Reading,Science,Compos,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,1902,Cayuga ISD,Anderson County,Kilgore,7,17.5,21.7,17.5,17.2,18.7,,6,<5,15.8,38
All Students,1903,Elkhart ISD,Anderson County,Kilgore,7,23,23.6,23.6,22,23.2,,9,<5,14.1,64
All Students,1904,Frankston ISD,Anderson County,Kilgore,7,17.2,20.7,18.3,20.5,19.2,,13,<5,27.1,48
All Students,1906,Neches ISD,Anderson County,Kilgore,7,20.4,21.4,22,21.4,21.6,,<10,<5,,14
All Students,1907,Palestine ISD,Anderson County,Kilgore,7,19.8,22.5,20.4,22.1,21.2,28,25,7,15.2,165
All Students,1908,Westwood ISD,Anderson County,Kilgore,7,17.8,20.2,18.6,18.8,19,,22,<5,31.4,70
All Students,1909,Slocum ISD,Anderson County,Kilgore,7,22.3,23.8,19.3,22.3,22,,<5,<5,,17
All Students,2901,Andrews ISD,Andrews County,Midland,18,20,21.1,21.7,20.9,21,20.7,29,6,17.6,165
All Students,3902,Hudson ISD,Angelina County,Kilgore,7,20.5,23.8,20.5,21.3,21.6,25.9,27,7,15.3,177
All Students,3903,Lufkin ISD,Angelina County,Kilgore,7,15.7,19.2,17.2,18.6,17.8,13.1,99,13,22.6,438
All Students,3904,Huntington ISD,Angelina County,Kilgore,7,20.4,23.6,22.2,21.8,22.2,,<10,<5,,100
All Students,3905,Diboll ISD,Angelina County,Kilgore,7,16.2,19.4,18.1,18.3,18.1,12.7,71,9,62.8,113
All Students,3906,Zavalla ISD,Angelina County,Kilgore,7,21,17.7,19.3,18.3,19.3,,<5,<5,,<20
All Students,3907,Central ISD,Angelina County,Kilgore,7,26,25.7,26.7,23.7,26,,<5,<5,,91
All Students,4901,Aransas County ISD,Aransas County,Corpus Christi,2,18.5,20.2,19.7,19.5,19.6,19.5,87,17,45.5,191
All Students,5901,Archer City ISD,Archer County,Wichita Falls,9,19.8,21.6,20,20,20.5,,17,<5,60.7,28
All Students,5902,Holliday ISD,Archer County,Wichita Falls,9,22.1,22.4,23,22.2,22.5,33.3,45,15,75,60
All Students,5904,Windthorst ISD,Archer County,Wichita Falls,9,20.4,23,21.2,20.8,21.4,41.2,17,7,65.4,26
All Students,6902,Claude ISD,Armstrong County,Amarillo,16,19.1,21.1,21.3,20.2,20.5,40,15,6,71.4,21
All Students,7901,Charlotte ISD,Atascosa County,San Antonio,20,15.3,18.1,16.1,17.9,16.9,,14,<5,43.8,32
All Students,7902,Jourdanton ISD,Atascosa County,San Antonio,20,19.5,20.3,19.8,21.6,20.4,,26,<5,44.1,59
All Students,7904,Lytle ISD,Atascosa County,San Antonio,20,16.6,18.9,19.1,19.2,18.5,13,77,10,61.6,125
All Students,7905,Pleasanton ISD,Atascosa County,San Antonio,20,19.3,20.8,20.6,21.1,20.6,23.8,42,10,21.6,194
All Students,7906,Poteet ISD,Atascosa County,San Antonio,20,20.1,19.6,20.5,20.1,20.3,,17,<5,18.3,93
All Students,8901,Bellville ISD,Austin County,Huntsville,6,20.9,22.1,21.7,21.9,21.8,36.8,38,14,27.5,138
All Students,8902,Sealy ISD,Austin County,Huntsville,6,18.1,20.5,19.4,20,19.6,14.6,96,14,62.3,154
All Students,8903,Brazos ISD,Austin County,Huntsville,6,18.3,21.2,19.4,21.2,20.2,,17,<5,38.6,44
All Students,9901,Muleshoe ISD,Bailey County,Lubbock,17,16.2,19.3,17.6,19.3,18.3,,42,<5,57.5,73
All Students,10901,Medina ISD,Bandera County,San Antonio,20,16.8,18.4,15.9,18.6,17.5,,8,<5,38.1,21
All Students,10902,Bandera ISD,Bandera County,San Antonio,20,22.2,23.9,23.2,23,23.1,42.2,83,35,50.9,163
All Students,11901,Bastrop ISD,Bastrop County,Austin,13,18.3,20,19.3,19.3,19.4,17.6,74,13,15.4,481
All Students,11902,Elgin ISD,Bastrop County,Austin,13,17.7,18.9,19.1,19.3,19,17.9,39,7,20.7,188
All Students,11904,Smithville ISD,Bastrop County,Austin,13,19.5,22.5,20.5,20.7,21,35.7,42,15,,<10
All Students,12901,Seymour ISD,Baylor County,Wichita Falls,9,21.9,24,22.5,22.5,22.8,39.1,23,9,63.9,36
All Students,13901,Beeville ISD,Bee County,Corpus Christi,2,16.7,19.3,18.4,18.6,18.4,13,92,12,41.1,224
All Students,13903,Pettus ISD,Bee County,Corpus Christi,2,17.4,20.2,19.8,19.4,19.4,,13,<5,46.4,28
All Students,13905,Skidmore-Tynan ISD,Bee County,Corpus Christi,2,18.3,20.5,20.5,19.1,19.7,,17,<5,42.5,40
All Students,14801,Richard Milburn Alter High School,Bell County,Waco,12,,,,,,,<5,<5,,58
All Students,14802,Transformative Charter Academy,Bell County,Waco,12,,,,,,,<5,<5,,41
All Students,14901,Academy ISD,Bell County,Waco,12,20.7,23.8,22.6,23.6,22.7,36.4,22,8,31.4,70
All Students,14902,Bartlett ISD,Bell County,Austin,13,,,,,,,<5,<5,,14
All Students,14903,Belton ISD,Bell County,Waco,12,21.5,23.1,22.9,22.7,22.7,43.6,110,48,20.1,546
All Students,14905,Holland ISD,Bell County,Waco,12,19.8,20.2,20.5,21.6,20.8,,17,<10,63,27
All Students,14906,Killeen ISD,Bell County,Waco,12,18.3,20.1,19.9,20.1,19.7,17.1,385,66,21.5,"1,789"
All Students,14907,Rogers ISD,Bell County,Waco,12,22.9,22.5,24.9,23.3,23.6,40,15,6,27.3,55
All Students,14908,Salado ISD,Bell County,Waco,12,24.4,26.4,25.6,25.5,25.6,64.5,31,20,27.2,114
All Students,14909,Temple ISD,Bell County,Waco,12,21.2,23.3,21.5,22.2,22.2,40.8,76,31,18.6,408
All Students,14910,Troy ISD,Bell County,Waco,12,19.5,21.8,20.7,20.9,20.9,27,37,10,44.6,83
All Students,15802,George Gervin Academy,Bexar County,San Antonio,20,13,16.9,14.6,15.9,15.1,,10,<5,15.9,63
All Students,15807,Southwest Preparatory School,Bexar County,San Antonio,20,14.3,17.3,17.7,19.7,17.7,,<5,<5,,173
All Students,15816,Academy Of Careers And Technologie,Bexar County,San Antonio,20,12,15,14.2,14.2,13.8,,<10,<5,,27
All Students,15817,San Antonio Can High School,Bexar County,San Antonio,20,17,16,19.3,19.7,18,,<5,<5,,94
All Students,15819,Shekinah Radiance Academy,Bexar County,San Antonio,20,,,,,,,<5,<5,,36
All Students,15820,San Antonio School For Inquiry & C,Bexar County,San Antonio,20,,,,,,,<5,<5,,63
All Students,15824,San Antonio Preparatory Academy,Bexar County,San Antonio,20,12.2,16,16,14.5,14.7,,6,<5,,<5
All Students,15827,School Of Science And Technology,Bexar County,San Antonio,20,23.8,26.2,25.2,23,24.7,,6,<5,22.2,27
All Students,15830,Brooks Academy Of Science And Engi,Bexar County,San Antonio,20,22.3,22.5,22.3,21.5,22.3,,6,<5,16.2,37
All Students,15901,Alamo Heights ISD,Bexar County,San Antonio,20,24,24.7,23.8,23.6,24.2,53.2,188,100,50.9,369
All Students,15904,Harlandale ISD,Bexar County,San Antonio,20,17.5,19.5,18.7,18.7,18.7,16,175,28,23.9,733
All Students,15905,Edgewood ISD,Bexar County,San Antonio,20,16,18.7,17.8,18.1,17.8,,123,<15,23.9,514
All Students,15906,Randolph Field ISD,Bexar County,San Antonio,20,25,24.4,26.9,24.6,25.4,,38,<30,49.4,77
All Students,15907,San Antonio ISD,Bexar County,San Antonio,20,15.1,17.8,16.4,17.1,16.7,6.6,641,42,27.1,"2,366"
All Students,15908,South San Antonio ISD,Bexar County,San Antonio,20,16.4,18.6,17.5,18.1,17.9,8.6,81,7,20.9,387
