Group,DISTRICT,distname,cntyname,regnname,REGION,English,Math,Reading,Science,Compos,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,001902,Cayuga ISD,Anderson County,Kilgore,07,19,20.8,19.7,19.8,20.2,,6,<5,16.2,37
All Students,001903,Elkhart ISD,Anderson County,Kilgore,07,,,,,,,<5,<5,,74
All Students,001904,Frankston ISD,Anderson County,Kilgore,07,16.3,19.3,19,18.5,18.3,,6,<5,10.7,56
All Students,001906,Neches ISD,Anderson County,Kilgore,07,17.8,20,20.8,20.7,19.9,,11,<5,61.1,18
All Students,001907,Palestine ISD,Anderson County,Kilgore,07,17.2,20.1,20.1,20.2,19.7,,9,<5,6.5,139
All Students,001908,Westwood ISD,Anderson County,Kilgore,07,19,20.9,19.3,20,20,,26,<5,25.5,102
All Students,001909,Slocum ISD,Anderson County,Kilgore,07,22.9,25.9,23.1,23.1,23.7,,7,<5,25,28
All Students,002901,Andrews ISD,Andrews County,Midland,18,19.4,21.2,21.2,20.8,20.8,27.3,44,12,18.6,237
All Students,003902,Hudson ISD,Angelina County,Kilgore,07,18.1,22.8,20.6,21.3,20.7,,11,<5,7.1,154
All Students,003903,Lufkin ISD,Angelina County,Kilgore,07,16.8,20.1,17.9,19.2,18.6,18.4,103,19,20.6,499
All Students,003904,Huntington ISD,Angelina County,Kilgore,07,20,22.3,20.3,20.6,21,20.7,29,6,23.6,123
All Students,003905,Diboll ISD,Angelina County,Kilgore,07,18.3,20.2,19.6,19.5,19.5,25,60,15,52.2,115
All Students,003906,Zavalla ISD,Angelina County,Kilgore,07,23.4,20.8,23.2,22.8,22.6,,<10,<5,,29
All Students,003907,Central ISD,Angelina County,Kilgore,07,,,,,,,<5,<5,,123
All Students,004901,Aransas County ISD,Aransas County,Corpus Christi,02,19.7,20.8,20.8,20.8,20.7,27,63,17,31.3,201
All Students,005901,Archer City ISD,Archer County,Wichita Falls,09,19.6,20.7,20.9,20.3,20.5,,21,<5,53.8,39
All Students,005902,Holliday ISD,Archer County,Wichita Falls,09,22.9,23.3,23.7,22.5,23.3,47.7,44,21,75.9,58
All Students,005904,Windthorst ISD,Archer County,Wichita Falls,09,21.8,22.3,22.5,22.5,22.4,42.3,26,11,63.4,41
All Students,006902,Claude ISD,Armstrong County,Amarillo,16,21.4,22,22.7,20.9,21.9,37.5,24,9,70.6,34
All Students,007901,Charlotte ISD,Atascosa County,San Antonio,20,15.6,17.3,16.5,18.1,17,,20,<5,58.8,34
All Students,007902,Jourdanton ISD,Atascosa County,San Antonio,20,20.6,20.5,21.3,21.2,21,30.2,43,13,53.8,80
All Students,007904,Lytle ISD,Atascosa County,San Antonio,20,17.1,18.6,18.5,18.6,18.3,8,75,6,60.5,124
All Students,007905,Pleasanton ISD,Atascosa County,San Antonio,20,19.2,20.6,20.4,20.9,20.4,27.1,48,13,24.5,196
All Students,007906,Poteet ISD,Atascosa County,San Antonio,20,14.9,18.3,17.6,17.5,17.2,,33,<5,28.9,114
All Students,008901,Bellville ISD,Austin County,Huntsville,06,21,22.8,23.3,23.1,22.7,45,40,18,24.4,164
All Students,008902,Sealy ISD,Austin County,Huntsville,06,18.7,20.4,19.3,19.5,19.6,10.8,83,9,46.1,180
All Students,008903,Brazos ISD,Austin County,Huntsville,06,20,23.1,21.1,20,21.1,,10,<10,18.9,53
All Students,009901,Muleshoe ISD,Bailey County,Lubbock,17,16.6,20.1,18.5,19.3,18.8,11.1,45,5,63.4,71
All Students,010901,Medina ISD,Bandera County,San Antonio,20,19.1,23.7,20.5,21.5,21.3,,11,<5,33.3,33
All Students,010902,Bandera ISD,Bandera County,San Antonio,20,19.8,21.5,20.5,20.9,20.8,20.3,69,14,40.1,172
All Students,011901,Bastrop ISD,Bastrop County,Austin,13,18.6,20.7,19.7,20.3,20,26,77,20,15,515
All Students,011902,Elgin ISD,Bastrop County,Austin,13,16.6,18.2,18,18.1,17.8,9.4,85,8,32,266
All Students,011904,Smithville ISD,Bastrop County,Austin,13,19.4,21.8,21.5,20.7,21,21.7,46,10,43.4,106
All Students,012901,Seymour ISD,Baylor County,Wichita Falls,09,21.8,23.5,22.9,21.8,22.6,45,20,9,57.1,35
All Students,013901,Beeville ISD,Bee County,Corpus Christi,02,18.2,19.9,19.8,20.2,19.6,20.6,107,22,49.1,218
All Students,013903,Pettus ISD,Bee County,Corpus Christi,02,16.4,19.3,16.4,16.8,17.4,,21,<5,53.8,39
All Students,013905,Skidmore-Tynan ISD,Bee County,Corpus Christi,02,18.7,20.6,20.6,20.7,20.3,19.2,26,5,43.3,60
All Students,014801,Richard Milburn Alter High School,Bell County,Waco,12,,,,,,,<5,<5,,78
All Students,014804,Orenda Charter School,Bell County,Waco,12,23.8,22.8,21.3,20.5,22.3,,<5,<5,,63
All Students,014901,Academy ISD,Bell County,Waco,12,22.4,24.5,23.9,23.3,23.6,57.1,21,12,29.2,72
All Students,014902,Bartlett ISD,Bell County,Austin,13,,,,,,,<5,<5,,29
All Students,014903,Belton ISD,Bell County,Waco,12,21.8,22.8,22.9,22.6,22.6,39.9,138,55,23.4,590
All Students,014905,Holland ISD,Bell County,Waco,12,18.7,20,18.1,19.5,19.2,,20,<5,58.8,34
All Students,014906,Killeen ISD,Bell County,Waco,12,18.8,20.4,20.1,20.1,20,22.3,355,79,18.6,1909
