Group,DISTRICT,distname,cntyname,regnname,Region,English,Math,Reading,Science,Compos,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,001902,Cayuga ISD,Anderson County,Kilgore,07,18.3,22,21,19.4,20.3,,15,<5,30.6,49
All Students,001903,Elkhart ISD,Anderson County,Kilgore,07,17.2,18.5,17.8,17.2,17.8,,6,<5,7.5,80
All Students,001904,Frankston ISD,Anderson County,Kilgore,07,16.4,17.6,16.9,17.4,17.2,,18,<5,36,50
All Students,001906,Neches ISD,Anderson County,Kilgore,07,20.2,20.2,23.5,21.3,21.5,,6,<5,31.6,19
All Students,001907,Palestine ISD,Anderson County,Kilgore,07,17.6,20.8,20.5,20.5,19.9,33.3,21,7,10.5,200
All Students,001908,Westwood ISD,Anderson County,Kilgore,07,17.7,20.7,18.8,19.3,19.3,,38,<5,42.7,89
All Students,001909,Slocum ISD,Anderson County,Kilgore,07,22.2,25,22,22.2,23,,6,<5,24,25
All Students,002901,Andrews ISD,Andrews County,Midland,18,17.3,19.7,18.6,19,18.8,,46,<10,26,177
All Students,003902,Hudson ISD,Angelina County,Kilgore,07,19.8,21.7,21.5,21.2,21.2,,10,<5,6,166
All Students,003903,Lufkin ISD,Angelina County,Kilgore,07,18.7,21.4,20.3,20.3,20.3,22.7,88,20,16.7,528
All Students,003904,Huntington ISD,Angelina County,Kilgore,07,19.4,20.1,21.5,19.6,20.2,,20,<10,17.5,114
All Students,003905,Diboll ISD,Angelina County,Kilgore,07,16.2,19.6,19,20,18.8,13,54,7,41.9,129
All Students,003906,Zavalla ISD,Angelina County,Kilgore,07,15.7,20.3,17.3,18.7,18,,<5,<5,,31
All Students,003907,Central ISD,Angelina County,Kilgore,07,17.7,22.1,20.3,21.6,20.6,,14,<5,13.2,106
All Students,004901,Aransas County ISD,Aransas County,Corpus Christi,02,18.4,20.7,20.9,21.7,20.5,22.9,48,11,23.8,202
All Students,005901,Archer City ISD,Archer County,Wichita Falls,09,22.5,22.3,23.3,21.8,22.5,,15,<5,41.7,36
All Students,005902,Holliday ISD,Archer County,Wichita Falls,09,20.9,22.9,22.4,22,22.1,27.3,44,12,67.7,65
