Group,District,DistName,County,CntyName,Region,RegnName,English,Math,Reading,Science,Compos,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,001902,Cayuga ISD,001,Anderson County,07,Kilgore,18.7,19.4,19.6,19.8,19.5,<75,<25,17.9,<25,10
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,18.7,20.2,20.6,19.2,19.9,<75,<25,12.3,<25,22.2
All Students,001904,Frankston ISD,001,Anderson County,07,Kilgore,10,16,15.3,16.3,14.3,<50,<25,7,<25,
All Students,001906,Neches ISD,001,Anderson County,07,Kilgore,20.7,19.9,23.4,24.7,22.4,<50,<25,34.5,<25,40
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,16.5,20,19.6,19.5,19.1,175,33,18.9,7,21.2
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,18.6,19.7,19.2,20.2,19.5,88,32,36.4,5,15.6
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,22.7,22.7,25.3,21,23.3,<50,<25,9.4,<25,33.3
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,18.6,19.6,20.6,19.5,19.7,<275,<100,30.2,<25,19.5
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,20,21.2,21.6,21.4,21.1,189,22,11.6,7,31.8
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,17.4,19.9,18.9,19,19,<525,<125,21,<25,17.8
All Students,003904,Huntington ISD,003,Angelina County,07,Kilgore,21.3,19.2,21.4,19.7,20.5,<150,<25,14.6,<25,21.1
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,15.9,18.5,19,19.1,18.2,<125,<50,39.7,<25,8.7
All Students,003906,Zavalla ISD,003,Angelina County,07,Kilgore,,,,,,<50,<25,2.5,<25,
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,19.1,21.2,19.9,21.1,20.4,<100,<25,23.2,<25,26.1
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,18.9,21.7,21.3,21.3,21,209,69,33,19,27.5
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,21.7,21.6,22.9,21.4,22.1,<50,<25,48.7,<25,36.8
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,22.6,21.7,23.9,21.4,22.6,53,38,71.7,14,36.8
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,20.9,20.6,21.9,21.4,21.3,<50,<25,42.1,<25,31.3
All Students,006902,Claude ISD,006,Armstrong County,16,Amarillo,23.5,20.6,24.1,22,22.7,<25,<25,54.2,<25,46.2
All Students,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,15.9,17.7,16.5,17.7,17.1,<50,<25,37.1,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,20,20.3,22.1,21,21,114,56,49.1,13,23.2
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,17.6,19.4,19.8,19.7,19.2,135,38,28.1,7,18.4
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,18.5,19.8,20.5,20.2,19.9,233,42,18,7,16.7
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,17.1,17.8,18.8,18.3,18.1,<125,<50,38.1,<25,4.4
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,19.9,21.7,20.8,21.6,21.1,148,52,35.1,15,28.8
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,19.8,20.4,21.2,20.9,20.8,180,62,34.4,17,27.4
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,16.4,19.8,18.6,18.8,18.4,<75,<25,12.9,<25,
All Students,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,16.1,18.5,17.6,18.2,17.6,<100,<75,68.8,<25,9.4
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,17.7,19.5,19.5,19.9,19.2,<25,<25,64.7,<25,9.1
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,20.8,22.4,22.6,21.8,22,149,70,47,25,35.7
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,17.2,19.4,19,19.9,19,578,100,17.3,14,14
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,17.3,18.9,19.4,18.7,18.7,314,42,13.4,5,11.9
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,19.7,20.7,20.9,20.9,20.8,119,33,27.7,11,33.3
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,20.6,23.3,21.5,21.5,21.8,<50,<50,85.7,<25,36.7
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,16.7,18.4,18.1,19.1,18.2,<200,<75,38.1,<25,15.3
All Students,013903,Pettus ISD,013,Bee County,02,Corpus Christi,18.1,19.1,21.6,18.7,19.6,<50,<25,20.6,<25,14.3
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,19.1,19.5,21.1,19.6,20,<75,<50,49.2,<25,17.2
All Students,014801,Richard Milburn Alter High School,014,Bell County,12,Waco,14.4,14.6,16.1,16.5,15.5,<500,<25,1.7,<25,
All Students,014802,Transformative Charter Academy,014,Bell County,12,Waco,,,,,,<25,<25,,<25,100
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,22.4,22.5,24.3,23.6,23.3,80,18,22.5,7,38.9
All Students,014901,Academy ISD,014,Bell County,12,Waco,23.2,24.8,25.6,23.5,24.3,98,21,21.4,13,61.9
All Students,014902,Bartlett ISD,014,Bell County,13,Austin,14.3,17.6,18.5,18.5,17.4,<25,<25,62.5,<25,6.7
All Students,014903,Belton ISD,014,Bell County,12,Waco,20.3,21.2,22.1,21.8,21.5,705,215,30.5,64,29.8
All Students,014905,Holland ISD,014,Bell County,12,Waco,18.6,20,21,20.4,20,<75,<50,40.8,<25,20.7
All Students,014906,Killeen ISD,014,Bell County,12,Waco,18.2,19.4,20.1,20,19.6,1989,373,18.8,72,19.3
All Students,014907,Rogers ISD,014,Bell County,12,Waco,18.6,20.2,19.6,21.1,19.9,<75,<25,23.2,<25,18.8
All Students,014908,Salado ISD,014,Bell County,12,Waco,22.1,21.8,24.3,23,23,97,28,28.9,12,42.9
All Students,014909,Temple ISD,014,Bell County,12,Waco,20.8,22,22,21.6,21.7,<475,<50,9.1,<25,40.5
All Students,014910,Troy ISD,014,Bell County,12,Waco,18.2,19.7,19.6,19.4,19.3,<100,<50,33,<25,12.9
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,14.9,16.6,17.4,17.4,16.7,<125,<25,6.4,<25,
All Students,015802,George Gervin Academy,015,Bexar County,20,San Antonio,11.6,15,14.4,14.9,14.2,<25,<25,60.9,<25,
All Students,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,10.7,15.3,13.4,14.2,13.5,<25,<25,63.2,<25,
All Students,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,,,,,,<100,<25,1.1,<25,100
All Students,015816,Academy Of Careers And Technologie,015,Bexar County,20,San Antonio,15,16.3,15.5,13.9,15.4,<25,<25,50,<25,
All Students,015819,Shekinah Radiance Academy,015,Bexar County,20,San Antonio,,,,,,<25,<25,6.3,<25,
All Students,015826,Kipp San Antonio,015,Bexar County,20,San Antonio,17.5,19.1,18.3,19.2,18.6,97,92,94.8,11,12
All Students,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,25,24.2,26.3,25,25.2,35,11,31.4,7,63.6
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,16.3,18.6,18.1,17.4,17.7,<100,<25,22.5,<25,11.1
All Students,015830,Brooks Academy Of Science And Engi,015,Bexar County,20,San Antonio,20.3,20.2,22.2,21.7,21.2,80,23,28.8,5,21.7
All Students,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,,,,,,<50,<25,2.6,<25,
All Students,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,24.4,24.3,24.9,23.9,24.5,369,223,60.4,129,57.8
All Students,015904,Harlandale ISD,015,Bexar County,20,San Antonio,15.7,18,17.5,17.9,17.4,915,138,15.1,10,7.2
All Students,015905,Edgewood ISD,015,Bexar County,20,San Antonio,15.3,17.7,16.8,17.6,17,<575,<100,14.9,<25,3.6
All Students,015906,Randolph Field ISD,015,Bexar County,20,San Antonio,21.9,22.2,24.6,22.9,23,73,33,45.2,17,51.5
All Students,015907,San Antonio ISD,015,Bexar County,20,San Antonio,14.7,17,16.3,16.9,16.3,2613,1065,40.8,43,4
All Students,015908,South San Antonio ISD,015,Bexar County,20,San Antonio,16.1,18.4,18.7,18.9,18.2,514,120,23.3,15,12.5
All Students,015909,Somerset ISD,015,Bexar County,20,San Antonio,16.4,18.7,18.4,18.5,18.2,<225,<50,17.4,<25,7.7
All Students,015910,North East ISD,015,Bexar County,20,San Antonio,21.4,22.4,22.7,22.4,22.3,4723,1371,29,561,40.9
