Group,District,distname,cntyname,regnname,REGION,Above_Crit_Rate,Exams_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd
All students,1903,Elkhart ISD,Anderson County,Kilgore,7,,,8.888888889,135,12,<10,14,<15
All students,1904,Frankston ISD,Anderson County,Kilgore,7,,20.7,15.84158416,101,16,<10,29,6
All students,1907,Palestine ISD,Anderson County,Kilgore,7,56.8,41.5,14.14790997,311,44,25,82,34
All students,1908,Westwood ISD,Anderson County,Kilgore,7,,,8.641975309,162,14,<5,18,<5
All students,2901,Andrews ISD,Andrews County,Midland,18,,,,363,<5,<5,<5,<5
All students,3902,Hudson ISD,Angelina County,Kilgore,7,57.1,57.1,13.41853035,313,42,24,42,24
All students,3903,Lufkin ISD,Angelina County,Kilgore,7,42.9,40,25.2886836,866,219,94,463,185
All students,3905,Diboll ISD,Angelina County,Kilgore,7,,,15.11111111,225,34,<5,44,<5
All students,3907,Central ISD,Angelina County,Kilgore,7,,,7.954545455,176,14,<5,14,<5
All students,4901,Aransas County ISD,Aransas County,Corpus Christi,2,62.8,62.8,20,390,78,49,145,91
All students,5901,Archer City ISD,Archer County,Wichita Falls,9,,33.3,22.22222222,63,14,<10,21,7
All students,5902,Holliday ISD,Archer County,Wichita Falls,9,62.8,55.9,35.53719008,121,43,27,59,33
All students,5904,Windthorst ISD,Archer County,Wichita Falls,9,,,,62,<5,<5,<5,<5
All students,7902,Jourdanton ISD,Atascosa County,San Antonio,20,,,5.755395684,139,8,<5,11,<5
All students,7904,Lytle ISD,Atascosa County,San Antonio,20,15.9,13,19.04761905,231,44,7,54,7
All students,7905,Pleasanton ISD,Atascosa County,San Antonio,20,16.9,13.9,31.55080214,374,118,20,187,26
All students,7906,Poteet ISD,Atascosa County,San Antonio,20,,,6.37254902,204,13,<5,20,<5
All students,8901,Bellville ISD,Austin County,Huntsville,6,69,67.3,15.49815498,271,42,29,49,33
All students,8902,Sealy ISD,Austin County,Huntsville,6,25.7,18.9,21.47239264,326,70,18,111,21
All students,10901,Medina ISD,Bandera County,San Antonio,20,,,41.30434783,46,19,<5,22,<5
All students,10902,Bandera ISD,Bandera County,San Antonio,20,29,19,39.11671924,317,124,36,263,50
All students,11901,Bastrop ISD,Bastrop County,Austin,13,42.5,33.6,26.27659575,940,247,105,506,170
All students,11902,Elgin ISD,Bastrop County,Austin,13,68.9,54.1,9.933774834,453,45,31,74,40
All students,11904,Smithville ISD,Bastrop County,Austin,13,28.1,20.3,16.16161616,198,32,9,59,12
All students,12901,Seymour ISD,Baylor County,Wichita Falls,9,,,44.7761194,67,30,<10,30,<10
All students,13901,Beeville ISD,Bee County,Corpus Christi,2,33.3,30,8.108108108,407,33,11,60,18
All students,13903,Pettus ISD,Bee County,Corpus Christi,2,,,25.75757576,66,17,<5,17,<5
All students,13905,Skidmore-Tynan ISD,Bee County,Corpus Christi,2,,,43.47826087,92,40,<5,60,<5
All students,14804,Orenda Charter School,Bell County,Waco,12,,,13.84615385,65,9,<5,17,<5
All students,14901,Academy ISD,Bell County,Waco,12,,76.2,11.11111111,135,15,<15,21,16
All students,14902,Bartlett ISD,Bell County,Austin,13,,,,37,<5,<5,<5,<5
All students,14903,Belton ISD,Bell County,Waco,12,58.1,51.9,19.84359726,"1,023",203,118,462,240
All students,14906,Killeen ISD,Bell County,Waco,12,35.6,30.5,21.98502911,"3,607",793,282,"1,459",445
All students,14908,Salado ISD,Bell County,Waco,12,63.2,50,27.66990291,206,57,36,116,58
All students,14909,Temple ISD,Bell County,Waco,12,49.3,40.4,28.59116022,724,207,102,448,181
All students,14910,Troy ISD,Bell County,Waco,12,39.5,27.6,23.45679012,162,38,15,58,16
All students,15801,Por Vida Academy,Bexar County,San Antonio,20,,,,121,<5,<5,7,<5
All students,15803,Higgs Carter King Gifted & Talente,Bexar County,San Antonio,20,,,,<10,<5,<5,<5,<5
All students,15806,School Of Excellence In Education,Bexar County,San Antonio,20,,,71.13402062,97,69,<5,178,<5
All students,15822,Jubilee Academic Center,Bexar County,San Antonio,20,,,,58,<5,<5,<5,<5
All students,15827,School Of Science And Technology,Bexar County,San Antonio,20,57.1,51.3,38.35616438,73,28,16,39,20
All students,15828,Harmony Science Acad (San Antonio),Bexar County,San Antonio,20,,50,28.57142857,28,8,<10,10,5
All students,15830,Brooks Academy Of Science And Engi,Bexar County,San Antonio,20,40,39.1,16.48351648,91,15,6,23,9
All students,15832,City Center Health Careers,Bexar County,San Antonio,20,,,,<5,<5,<5,<5,<5
All students,15901,Alamo Heights ISD,Bexar County,San Antonio,20,74.7,66.4,48.13753582,698,336,251,739,491
