Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,001903,Elkhart ISD,Anderson County,Kilgore,07,,5.1,175,9,<10,13,8,61.5
All students,001907,Palestine ISD,Anderson County,Kilgore,07,52,6.3,400,25,13,40,24,60
All students,001908,Westwood ISD,Anderson County,Kilgore,07,,8.9,168,15,<10,21,6,28.6
All students,002901,Andrews ISD,Andrews County,Midland,18,10.5,20.6,417,86,9,107,9,8.4
All students,003902,Hudson ISD,Angelina County,Kilgore,07,74.4,11.9,361,43,32,43,32,74.4
All students,003903,Lufkin ISD,Angelina County,Kilgore,07,46.6,22.5,1115,251,117,525,223,42.5
All students,003905,Diboll ISD,Angelina County,Kilgore,07,,9.4,244,23,<5,27,<5,
All students,003907,Central ISD,Angelina County,Kilgore,07,,6.9,202,14,<5,14,<5,
All students,004901,Aransas County ISD,Aransas County,Corpus Christi,02,49.4,20,406,81,40,170,74,43.5
All students,005901,Archer City ISD,Archer County,Wichita Falls,09,35.3,24.6,69,17,6,19,7,36.8
All students,005902,Holliday ISD,Archer County,Wichita Falls,09,57.6,23.7,139,33,19,41,24,58.5
All students,006902,Claude ISD,Armstrong County,Amarillo,16,,,55,<5,<5,<5,<5,
All students,007902,Jourdanton ISD,Atascosa County,San Antonio,20,,,180,<5,<5,5,<5,
All students,007904,Lytle ISD,Atascosa County,San Antonio,20,31.3,6.4,249,16,5,17,5,29.4
All students,007905,Pleasanton ISD,Atascosa County,San Antonio,20,25.8,14.9,443,66,17,98,27,27.6
All students,007906,Poteet ISD,Atascosa County,San Antonio,20,,8.6,222,19,<5,23,<5,
All students,008901,Bellville ISD,Austin County,Huntsville,06,66,16.2,327,53,35,73,47,64.4
All students,008902,Sealy ISD,Austin County,Huntsville,06,37.6,27.5,367,101,38,223,60,26.9
All students,009901,Muleshoe ISD,Bailey County,Lubbock,17,,,154,<5,<5,<5,<5,
All students,010901,Medina ISD,Bandera County,San Antonio,20,,17.3,52,9,<5,12,<10,
All students,010902,Bandera ISD,Bandera County,San Antonio,20,40.4,13.1,358,47,19,85,29,34.1
All students,011901,Bastrop ISD,Bastrop County,Austin,13,63.5,10.7,1179,126,80,263,134,51
All students,011902,Elgin ISD,Bastrop County,Austin,13,30.8,23.8,547,130,40,233,56,24
All students,011904,Smithville ISD,Bastrop County,Austin,13,,5.1,277,14,<5,17,<5,
All students,013901,Beeville ISD,Bee County,Corpus Christi,02,40.6,7.2,442,32,13,62,20,32.3
All students,013905,Skidmore-Tynan ISD,Bee County,Corpus Christi,02,,28,132,37,<5,43,<5,
All students,014804,Orenda Charter School,Bell County,Waco,12,,22.7,97,22,<15,<45,12,
All students,014901,Academy ISD,Bell County,Waco,12,58.3,14.8,162,24,14,33,15,45.5
All students,014903,Belton ISD,Bell County,Waco,12,79.4,12.6,1229,155,123,354,253,71.5
All students,014906,Killeen ISD,Bell County,Waco,12,35.2,23,4176,960,338,1861,553,29.7
All students,014908,Salado ISD,Bell County,Waco,12,,26.1,230,60,<45,101,69,68.3
All students,014909,Temple ISD,Bell County,Waco,12,54.7,19.8,858,170,93,367,161,43.9
