Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,<175,<25,5.6,<25,55.6,9,5,55.6
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,<350,<25,2.6,<25,66.7,14,7,50
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,178,16,9,5,31.3,19,5,26.3
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,462,119,25.8,16,13.4,138,16,11.6
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,365,67,18.4,44,65.7,90,54,60
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,1051,222,21.1,104,46.8,491,219,44.6
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,<250,<50,17.2,<25,7.3,<50,<25,6.8
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,<200,<50,19,<25,5.4,<50,<25,5.4
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,423,59,13.9,37,62.7,133,74,55.6
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,74,21,28.4,10,47.6,23,10,43.5
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,124,31,25,19,61.3,32,20,62.5
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,<100,<25,13.6,<25,,<25,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,<250,<25,4.8,<25,27.3,<25,<25,25
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,258,41,15.9,13,31.7,54,16,29.6
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,453,91,20.1,16,17.6,143,18,12.6
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,<225,<25,6,<25,,<25,<25,
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,291,47,16.2,32,68.1,83,57,68.7
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,356,101,28.4,51,50.5,221,96,43.4
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,<50,<25,25,<25,33.3,<25,<25,30
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,340,30,8.8,17,56.7,52,26,50
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,1121,135,12,69,51.1,270,118,43.7
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,597,159,26.6,47,29.6,317,65,20.5
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,250,25,10,6,24,29,7,24.1
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,381,41,10.8,11,26.8,74,17,23
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,<125,<50,20.8,<25,8,<50,<25,6.7
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,138,31,22.5,12,38.7,58,22,37.9
All Students,014901,Academy ISD,014,Bell County,12,Waco,178,30,16.9,19,63.3,36,19,52.8
All Students,014903,Belton ISD,014,Bell County,12,Waco,1352,221,16.3,148,67,474,314,66.2
All Students,014906,Killeen ISD,014,Bell County,12,Waco,4091,885,21.6,310,35,1672,458,27.4
All Students,014907,Rogers ISD,014,Bell County,12,Waco,<175,<25,9.8,<25,20,<50,<25,12
All Students,014908,Salado ISD,014,Bell County,12,Waco,222,61,27.5,39,63.9,102,66,64.7
All Students,014909,Temple ISD,014,Bell County,12,Waco,820,176,21.5,70,39.8,347,97,28
All Students,014910,Troy ISD,014,Bell County,12,Waco,176,35,19.9,9,25.7,35,9,25.7
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,<125,<25,5.3,<25,,<25,<25,
All Students,015802,George Gervin Academy,015,Bexar County,20,San Antonio,<100,<25,2.4,<25,,<25,<25,
All Students,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,<75,<25,11.8,<25,16.7,15,6,40
