DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,*,*,*,*,32,57.1%,56,100.0%
109901   ABBOTT ISD,*,*,*,*,*,*,14,100.0%
095901   ABERNATHY ISD,9,18.4%,20,40.8%,20,40.8%,49,100.0%
221901   ABILENE ISD,130,12.7%,264,25.7%,633,61.6%,"1,027",100.0%
014901   ACADEMY ISD,13,16.7%,29,37.2%,36,46.2%,78,100.0%
015816   ACADEMY OF CAREERS AND TECHNOLOGIE,,,5,16.1%,26,83.9%,31,100.0%
180903   ADRIAN ISD,*,*,*,*,*,*,7,100.0%
057806   ADVANTAGE ACADEMY,*,*,*,*,19,43.2%,44,100.0%
178901   AGUA DULCE ISD,11,39.3%,7,25.0%,10,35.7%,28,100.0%
015901   ALAMO HEIGHTS ISD,73,19.3%,100,26.4%,206,54.4%,379,100.0%
250906   ALBA-GOLDEN ISD,6,11.1%,18,33.3%,30,55.6%,54,100.0%
209901   ALBANY ISD,7,16.7%,19,45.2%,16,38.1%,42,100.0%
101902   ALDINE ISD,496,16.6%,958,32.0%,"1,537",51.4%,"2,991",100.0%
184907   ALEDO ISD,97,26.1%,128,34.4%,147,39.5%,372,100.0%
125901   ALICE ISD,62,25.6%,66,27.3%,114,47.1%,242,100.0%
101903   ALIEF ISD,492,19.2%,657,25.7%,"1,409",55.1%,"2,558",100.0%
043901   ALLEN ISD,221,18.1%,453,37.2%,544,44.7%,"1,218",100.0%
057832   ALPHA CHARTER SCHOOL,,,10,29.4%,24,70.6%,34,100.0%
022901   ALPINE ISD,29,40.3%,8,11.1%,35,48.6%,72,100.0%
037901   ALTO ISD,5,13.9%,9,25.0%,22,61.1%,36,100.0%
126901   ALVARADO ISD,41,16.5%,46,18.6%,161,64.9%,248,100.0%
020901   ALVIN ISD,139,15.1%,367,39.9%,414,45.0%,920,100.0%
249901   ALVORD ISD,8,16.7%,19,39.6%,21,43.8%,48,100.0%
188901   AMARILLO ISD,268,14.9%,677,37.7%,853,47.4%,"1,798",100.0%
227801   AMERICAN YOUTHWORKS CHARTER SCHOOL,*,*,*,*,46,76.7%,60,100.0%
140901   AMHERST ISD,*,*,*,*,9,42.9%,21,100.0%
036901   ANAHUAC ISD,27,25.0%,28,25.9%,53,49.1%,108,100.0%
093901   ANDERSON-SHIRO CISD,6,10.5%,21,36.8%,30,52.6%,57,100.0%
002901   ANDREWS ISD,30,15.4%,41,21.0%,124,63.6%,195,100.0%
020902   ANGLETON ISD,88,19.0%,154,33.3%,221,47.7%,463,100.0%
043902   ANNA ISD,16,11.7%,41,29.9%,80,58.4%,137,100.0%
127901   ANSON ISD,12,23.5%,6,11.8%,33,64.7%,51,100.0%
071906   ANTHONY ISD,*,*,*,*,30,83.3%,36,100.0%
110901   ANTON ISD,*,*,*,*,10,45.5%,22,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,11,68.8%,16,100.0%
109912   AQUILLA ISD,,,10,52.6%,9,47.4%,19,100.0%
004901   ARANSAS COUNTY ISD,55,26.2%,41,19.5%,114,54.3%,210,100.0%
205901   ARANSAS PASS ISD,15,13.0%,28,24.4%,72,62.6%,115,100.0%
005901   ARCHER CITY ISD,11,33.3%,5,15.2%,17,51.5%,33,100.0%
061910   ARGYLE ISD,51,33.3%,44,28.8%,58,37.9%,153,100.0%
220901   ARLINGTON ISD,807,22.4%,"1,194",33.1%,"1,610",44.6%,"3,611",100.0%
212901   ARP ISD,8,11.0%,35,48.0%,30,41.1%,73,100.0%
217901   ASPERMONT ISD,*,*,*,*,*,*,11,100.0%
107901   ATHENS ISD,23,12.2%,70,37.2%,95,50.5%,188,100.0%
034901   ATLANTA ISD,10,8.4%,36,30.3%,73,61.3%,119,100.0%
061907   AUBREY ISD,34,30.6%,42,37.8%,35,31.5%,111,100.0%
227818   AUSTIN CAN ACADEMY CHARTER SCHOOL,,,14,14.7%,81,85.3%,95,100.0%
