Group,District,DistName,County,CntyName,Region,RegnName,English,Math,Reading,Science,Compos,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,001902,Cayuga ISD,001,Anderson County,07,Kilgore,20.1,20.3,19.3,19.0,19.7,<50,<25,18.4,<25,11.1
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,,,,,,<100,<25,1.1,<25,
All Students,001904,Frankston ISD,001,Anderson County,07,Kilgore,18.3,17.5,19.8,20.4,19.1,<75,<25,14.8,<25,12.5
All Students,001906,Neches ISD,001,Anderson County,07,Kilgore,24.4,24.2,24.2,25.4,24.8,<25,<25,26.3,<25,80.0
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,18.5,20.4,20.8,21.2,20.4,219,31,14.2,7,22.6
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,14.7,17.1,16.4,17.0,16.4,<125,<50,34.7,<25,2.9
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,20.3,21.7,21.7,21.0,21.7,<50,<25,12.0,<25,33.3
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,17.3,19.7,19.2,19.4,19.1,232,78,33.6,8,10.3
All Students,003801,Pineywoods Community Academy,003,Angelina County,07,Kilgore,24.0,19.0,23.3,21.3,22.3,<50,<25,7.3,<25,33.3
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,21.3,23.3,21.4,22.2,22.2,204,18,8.8,7,38.9
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,18.9,21.3,20.5,20.8,20.5,508,95,18.7,28,29.5
All Students,003904,Huntington ISD,003,Angelina County,07,Kilgore,18.6,18.9,20.6,19.8,19.7,<150,<50,20.5,<25,13.3
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,16.2,18.5,18.7,18.4,18.1,<150,<25,15.1,<25,15.8
All Students,003906,Zavalla ISD,003,Angelina County,07,Kilgore,18.5,19.5,21.5,20.0,20.0,<25,<25,8.3,<25,
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,17.2,19.9,19.7,20.2,19.3,117,42,35.9,6,14.3
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,19.6,21.1,22.0,20.7,20.9,207,67,32.4,20,29.9
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,19.3,20.6,21.6,21.0,20.7,<50,<50,60.0,<25,14.8
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,21.2,21.7,23.1,22.5,22.2,77,48,62.3,17,35.4
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,21.6,21.6,22.3,21.7,22.0,<50,<50,67.6,<25,36.0
All Students,006902,Claude ISD,006,Armstrong County,16,Amarillo,21.4,20.8,21.4,21.2,21.2,<50,<25,69.2,<25,33.3
All Students,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,16.6,17.2,18.1,18.1,17.6,<50,<25,24.4,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,18.9,19.8,21.0,21.4,20.4,132,58,43.9,12,20.7
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,16.6,18.2,17.6,18.9,17.9,<100,<25,18.5,<25,
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,18.5,19.6,20.3,20.9,20.0,195,39,20.0,7,17.9
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,17.6,18.9,18.8,18.2,18.5,<100,<50,26.0,<25,12.0
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,19.8,21.5,21.5,21.7,21.3,161,35,21.7,9,25.7
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,18.6,19.9,21.1,20.1,20.0,207,57,27.5,9,15.8
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,17.2,20.8,20.3,19.6,19.8,<75,<25,16.7,<25,
All Students,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,17.1,19.8,19.3,19.0,19.0,<100,<75,65.5,<25,12.3
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,18.5,18.2,23.0,22.2,20.7,<25,<25,66.7,<25,16.7
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,20.1,21.6,21.5,21.3,21.2,149,58,38.9,17,29.3
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,17.7,19.2,19.8,19.9,19.3,679,141,20.8,19,13.5
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,19.3,19.6,21.2,21.3,20.4,<300,<50,9.4,<25,22.2
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,18.1,18.8,19.6,20.0,19.2,124,65,52.4,10,15.4
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,17.8,19.7,19.0,19.1,19.0,<50,<50,75.0,<25,11.1
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,16.2,17.3,18.7,18.6,17.8,241,84,34.9,6,7.1
All Students,013903,Pettus ISD,013,Bee County,02,Corpus Christi,17.3,18.7,19.0,18.3,18.4,<50,<50,96.2,<25,4.0
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,21.8,21.6,23.2,21.8,22.3,58,30,51.7,13,43.3
All Students,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,13.8,17.2,18.4,18.0,17.1,<600,<25,2.0,<25,8.3
All Students,014803,Priority Charter Schools,014,Bell County,12,Waco,,,,,,<25,<25,5.6,<25,
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,23.0,22.2,24.5,22.4,23.2,86,26,30.2,13,50.0
All Students,014901,Academy ISD,014,Bell County,12,Waco,21.9,22.8,24.1,22.5,22.9,104,23,22.1,10,43.5
All Students,014903,Belton ISD,014,Bell County,12,Waco,21.6,21.9,23.3,22.7,22.5,724,165,22.8,67,40.6
All Students,014905,Holland ISD,014,Bell County,12,Waco,18.7,19.4,20.0,19.6,19.7,<75,<25,33.3,<25,5.6
All Students,014906,Killeen ISD,014,Bell County,12,Waco,18.0,19.0,19.7,19.7,19.2,2133,400,18.8,65,16.3
All Students,014907,Rogers ISD,014,Bell County,12,Waco,21.5,21.1,23.1,22.1,22.0,<75,<25,22.6,<25,28.6
All Students,014908,Salado ISD,014,Bell County,12,Waco,22.2,23.1,23.5,23.3,23.1,121,39,32.2,18,46.2
All Students,014909,Temple ISD,014,Bell County,12,Waco,19.5,20.6,21.8,21.9,21.3,470,32,6.8,12,37.5
All Students,014910,Troy ISD,014,Bell County,12,Waco,20.7,20.7,21.3,21.8,21.2,109,46,42.2,15,32.6
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,23.0,20.0,27.5,22.0,23.0,<75,<25,2.7,<25,50.0
All Students,015802,George Gervin Academy,015,Bexar County,20,San Antonio,12.5,14.8,12.1,16.9,14.4,<50,<25,33.3,<25,
All Students,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,,,,,,<75,<25,1.9,<25,
All Students,015822,Jubilee Academies,015,Bexar County,20,San Antonio,16.3,16.7,15.9,16.7,16.6,<75,<25,18.0,<25,11.1
All Students,015826,Kipp San Antonio,015,Bexar County,20,San Antonio,16.6,18.2,17.5,18.0,17.7,<100,<100,100,<25,5.1
All Students,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,26.3,25.8,25.0,24.8,25.5,<75,<25,7.0,<25,50.0
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,15.8,18.1,17.5,18.0,17.5,<150,<25,18.5,<25,4.2
All Students,015830,Brooks Academy Of Science And Engi,015,Bexar County,20,San Antonio,17.3,17.3,19.1,19.3,18.3,<100,<25,13.0,<25,16.7
All Students,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,17.5,15.5,17.3,15.5,16.3,<50,<25,16.0,<25,
All Students,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,23.6,24.0,25.2,24.5,24.5,411,257,62.5,138,53.7
All Students,015904,Harlandale ISD,015,Bexar County,20,San Antonio,16.1,17.8,18.3,17.8,17.6,986,156,15.8,11,7.1
All Students,015905,Edgewood ISD,015,Bexar County,20,San Antonio,14.2,16.7,15.9,16.5,16.0,<600,<125,19.3,<25,3.5
All Students,015906,Randolph Field ISD,015,Bexar County,20,San Antonio,21.8,21.0,23.7,22.7,22.5,111,49,44.1,18,36.7
All Students,015907,San Antonio ISD,015,Bexar County,20,San Antonio,17.0,17.9,18.7,18.3,18.1,2672,572,21.4,65,11.4
All Students,015908,South San Antonio ISD,015,Bexar County,20,San Antonio,17.0,18.6,19.2,19.9,18.8,533,70,13.1,8,11.4
All Students,015909,Somerset ISD,015,Bexar County,20,San Antonio,16.0,18.4,16.9,16.1,16.9,<275,<25,5.6,<25,
All Students,015910,North East ISD,015,Bexar County,20,San Antonio,21.9,22.4,23.5,23.0,22.8,4981,1406,28.2,609,43.3
All Students,015911,East Central ISD,015,Bexar County,20,San Antonio,17.2,19.0,19.6,19.1,18.9,697,125,17.9,18,14.4
All Students,015912,Southwest ISD,015,Bexar County,20,San Antonio,15.6,17.9,17.7,18.3,17.5,<875,<300,32.2,<25,8.7
All Students,015913,Lackland ISD,015,Bexar County,20,San Antonio,22.0,23.0,24.4,22.7,23.2,<50,<25,23.7,<25,55.6
All Students,015914,Ft Sam Houston ISD,015,Bexar County,20,San Antonio,21.8,21.1,23.9,22.7,22.5,77,28,36.4,9,32.1
All Students,015915,Northside ISD,015,Bexar County,20,San Antonio,21.2,21.6,22.8,22.1,22.1,6856,1005,14.7,372,37.0
All Students,015916,Judson ISD,015,Bexar County,20,San Antonio,18.6,19.8,21.5,20.2,20.2,1343,88,6.6,20,22.7
All Students,015917,Southside ISD,015,Bexar County,20,San Antonio,15.8,18.6,18.3,18.6,17.9,<350,<25,5.5,<25,11.1
All Students,016901,Johnson City ISD,016,Blanco County,13,Austin,23.4,25.4,24.8,25.0,24.9,58,11,19.0,5,45.5
All Students,016902,Blanco ISD,016,Blanco County,13,Austin,18.1,21.0,19.7,19.9,19.8,<100,<50,58.2,<25,17.4
All Students,017901,Borden County ISD,017,Borden County,17,Lubbock,18.3,21.7,20.3,19.8,20.1,<25,<25,93.8,<25,6.7
All Students,018901,Clifton ISD,018,Bosque County,12,Waco,19.5,19.8,20.7,19.8,20.0,<100,<50,44.9,<25,17.1
All Students,018902,Meridian ISD,018,Bosque County,12,Waco,18.1,19.7,21.3,19.9,19.9,<50,<25,20.6,<25,28.6
All Students,018903,Morgan ISD,018,Bosque County,12,Waco,17.0,17.0,21.0,22.5,19.5,<25,<25,25.0,<25,
All Students,018904,Valley Mills ISD,018,Bosque County,12,Waco,17.2,20.0,21.0,20.2,19.8,<75,<25,24.0,<25,16.7
All Students,018905,Walnut Springs ISD,018,Bosque County,12,Waco,14.8,19.8,18.0,17.8,17.8,<25,<25,36.4,<25,
All Students,018906,Iredell ISD,018,Bosque County,12,Waco,24.7,22.3,26.0,23.3,24.0,<25,<25,27.3,<25,66.7
All Students,018908,Cranfills Gap ISD,018,Bosque County,12,Waco,,,,,,<25,<25,12.5,<25,
All Students,019901,Dekalb ISD,019,Bowie County,08,Mt Pleasant,18.6,18.5,20.4,19.3,19.4,<75,<50,65.5,<25,19.4
All Students,019902,Hooks ISD,019,Bowie County,08,Mt Pleasant,17.5,18.6,18.8,19.2,18.6,72,41,56.9,5,12.2
All Students,019903,Maud ISD,019,Bowie County,08,Mt Pleasant,20.5,20.9,21.9,21.1,21.2,<50,<50,67.6,<25,36.0
All Students,019905,New Boston ISD,019,Bowie County,08,Mt Pleasant,18.2,18.6,19.8,20.3,19.4,<100,<75,71.9,<25,18.8
All Students,019906,Redwater ISD,019,Bowie County,08,Mt Pleasant,20.4,20.9,21.9,21.9,21.3,<100,<75,67.1,<25,30.9
All Students,019907,Texarkana ISD,019,Bowie County,08,Mt Pleasant,20.3,20.1,21.5,20.9,20.8,<450,<275,60.6,<75,25.9
All Students,019908,Liberty-Eylau ISD,019,Bowie County,08,Mt Pleasant,16.6,17.6,18.5,18.3,17.9,<175,<100,57.8,<25,10.1
