Group,District,DistName,cntyname,RegnName,REGION,Exnees_Above_Crit_Rate,Part_Rate,Students_Mskd,Exnees_Mskd,Exnees_Crit_Mskd,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All students,001903,Elkhart ISD,Anderson County,Kilgore,07,61.1,11.4,158,18,11,31,16,51.6
All students,001904,Frankston ISD,Anderson County,Kilgore,07,,6.8,103,7,<5,7,<5,
All students,001907,Palestine ISD,Anderson County,Kilgore,07,33.3,17.3,365,63,21,86,29,33.7
All students,001908,Westwood ISD,Anderson County,Kilgore,07,40,7.1,211,15,6,23,7,30.4
All students,002901,Andrews ISD,Andrews County,Midland,18,20.5,11,399,44,9,45,9,20
All students,003902,Hudson ISD,Angelina County,Kilgore,07,72.2,11.1,323,36,26,37,26,70.3
All students,003903,Lufkin ISD,Angelina County,Kilgore,07,58.7,20.3,1027,208,122,475,238,50.1
All students,003905,Diboll ISD,Angelina County,Kilgore,07,,20.1,234,47,<5,64,<5,
All students,003907,Central ISD,Angelina County,Kilgore,07,,4.5,220,10,<5,10,<5,
All students,004901,Aransas County ISD,Aransas County,Corpus Christi,02,54.7,17,442,75,41,169,73,43.2
All students,005901,Archer City ISD,Archer County,Wichita Falls,09,42.9,18.7,75,14,6,16,6,37.5
All students,005902,Holliday ISD,Archer County,Wichita Falls,09,55.3,30.9,123,38,21,39,21,53.8
All students,005904,Windthorst ISD,Archer County,Wichita Falls,09,,,76,<5,<5,<5,<5,
All students,007902,Jourdanton ISD,Atascosa County,San Antonio,20,,13.3,166,22,<5,35,<10,
All students,007904,Lytle ISD,Atascosa County,San Antonio,20,25,8.2,244,20,5,20,5,25
All students,007905,Pleasanton ISD,Atascosa County,San Antonio,20,20.7,14.1,411,58,12,89,18,20.2
All students,007906,Poteet ISD,Atascosa County,San Antonio,20,,12.3,228,28,<5,31,<5,
All students,008901,Bellville ISD,Austin County,Huntsville,06,,16.4,341,56,<35,69,37,53.6
All students,008902,Sealy ISD,Austin County,Huntsville,06,30.9,25.4,382,97,30,145,37,25.5
All students,009901,Muleshoe ISD,Bailey County,Lubbock,17,,,159,<5,<5,<5,<5,
All students,010901,Medina ISD,Bandera County,San Antonio,20,,,63,<10,<5,<10,<5,
All students,010902,Bandera ISD,Bandera County,San Antonio,20,46.3,14.8,365,54,25,87,32,36.8
All students,011901,Bastrop ISD,Bastrop County,Austin,13,65.2,10.3,1090,112,73,221,131,59.3
All students,011902,Elgin ISD,Bastrop County,Austin,13,45.7,6.5,541,35,16,47,21,44.7
All students,011904,Smithville ISD,Bastrop County,Austin,13,,3.2,251,8,<5,13,<5,
All students,012901,Seymour ISD,Baylor County,Wichita Falls,09,,17.1,76,13,<5,15,<5,
All students,013901,Beeville ISD,Bee County,Corpus Christi,02,51.1,9.8,457,45,23,82,39,47.6
All students,013905,Skidmore-Tynan ISD,Bee County,Corpus Christi,02,,31,129,40,<5,54,<5,
All students,014804,Orenda Charter School,Bell County,Waco,12,,19.8,111,22,<5,38,<5,
All students,014901,Academy ISD,Bell County,Waco,12,48.1,18,150,27,13,30,15,50
All students,014903,Belton ISD,Bell County,Waco,12,69.8,16.6,1141,189,132,436,270,61.9
All students,014906,Killeen ISD,Bell County,Waco,12,38.7,21,4191,879,340,1725,543,31.5
All students,014908,Salado ISD,Bell County,Waco,12,59.3,26.9,219,59,35,97,60,61.9
All students,014909,Temple ISD,Bell County,Waco,12,53.9,21.2,851,180,97,388,190,49
All students,014910,Troy ISD,Bell County,Waco,12,48.4,16.8,184,31,15,51,15,29.4
All students,015801,Por Vida Academy,Bexar County,San Antonio,20,,5.7,175,10,<5,12,<5,
All students,015806,School Of Excellence In Education,Bexar County,San Antonio,20,,39.7,116,46,<5,55,<5,
All students,015807,Southwest Preparatory School,Bexar County,San Antonio,20,,2.1,327,7,<5,13,6,46.2
All students,015822,Jubilee Academic Center,Bexar County,San Antonio,20,,,65,<5,<5,<5,<5,
All students,015826,Kipp San Antonio,Bexar County,San Antonio,20,,76.4,72,55,<10,78,6,7.7
All students,015827,School Of Science And Technology,Bexar County,San Antonio,20,58.5,46.1,89,41,24,71,39,54.9
All students,015828,Harmony Science Acad (San Antonio),Bexar County,San Antonio,20,35.7,53.8,52,28,10,40,13,32.5
All students,015830,Brooks Academy Of Science And Engi,Bexar County,San Antonio,20,34.4,27.4,117,32,11,40,11,27.5
All students,015901,Alamo Heights ISD,Bexar County,San Antonio,20,71.3,48.9,726,355,253,836,554,66.3
All students,015904,Harlandale ISD,Bexar County,San Antonio,20,13,18.4,1715,315,41,464,53,11.4
All students,015905,Edgewood ISD,Bexar County,San Antonio,20,15,22.1,1086,240,36,422,37,8.8
All students,015906,Randolph Field ISD,Bexar County,San Antonio,20,56.5,43.1,160,69,39,131,73,55.7
All students,015907,San Antonio ISD,Bexar County,San Antonio,20,14.8,26.6,5550,1478,219,2726,279,10.2
All students,015908,South San Antonio ISD,Bexar County,San Antonio,20,,7.8,916,71,<20,113,18,15.9
All students,015909,Somerset ISD,Bexar County,San Antonio,20,,8.2,427,35,<5,39,<5,
All students,015910,North East ISD,Bexar County,San Antonio,20,55.9,33.4,9298,3106,1735,7875,3739,47.5
All students,015911,East Central ISD,Bexar County,San Antonio,20,34.7,16.8,1203,202,70,334,103,30.8
All students,015912,Southwest ISD,Bexar County,San Antonio,20,12,5.6,1483,83,10,83,10,12
All students,015913,Lackland ISD,Bexar County,San Antonio,20,62.5,42.1,76,32,20,59,34,57.6
All students,015914,Ft Sam Houston ISD,Bexar County,San Antonio,20,50.8,41.5,142,59,30,115,46,40
All students,015915,Northside ISD,Bexar County,San Antonio,20,42.2,32,12386,3958,1670,8592,3129,36.4
All students,015916,Judson ISD,Bexar County,San Antonio,20,46.4,11.5,2684,308,143,541,215,39.7
All students,015917,Southside ISD,Bexar County,San Antonio,20,35.1,17.5,634,111,39,193,49,25.4
All students,016901,Johnson City ISD,Blanco County,Austin,13,,8.2,98,8,<5,10,<5,
All students,016902,Blanco ISD,Blanco County,Austin,13,51.5,22.1,149,33,17,55,26,47.3
All students,018901,Clifton ISD,Bosque County,Waco,12,,3.3,151,5,<5,9,<5,
All students,019903,Maud ISD,Bowie County,Mt Pleasant,08,,,74,<5,<5,<5,<5,
All students,019905,New Boston ISD,Bowie County,Mt Pleasant,08,,,178,<5,<5,6,<5,
All students,019906,Redwater ISD,Bowie County,Mt Pleasant,08,,,190,<5,<5,<5,<5,
All students,019907,Texarkana ISD,Bowie County,Mt Pleasant,08,63.7,12.3,922,113,72,197,105,53.3
All students,019912,Pleasant Grove ISD,Bowie County,Mt Pleasant,08,,11.5,287,33,<25,51,27,52.9
All students,020901,Alvin ISD,Brazoria County,Houston,04,62,20.5,2065,424,263,970,474,48.9
All students,020902,Angleton ISD,Brazoria County,Houston,04,46.3,11.7,815,95,44,164,59,36
All students,020904,Danbury ISD,Brazoria County,Houston,04,,7.6,92,7,<5,7,<5,
All students,020905,Brazosport ISD,Brazoria County,Houston,04,63.5,12.9,1639,211,134,434,288,66.4
All students,020906,Sweeny ISD,Brazoria County,Houston,04,50,10,299,30,15,33,16,48.5
All students,020907,Columbia-Brazoria ISD,Brazoria County,Houston,04,,,385,<5,<5,<5,<5,
All students,020908,Pearland ISD,Brazoria County,Houston,04,64.6,27.5,2510,689,445,1701,1009,59.3
All students,021804,Harmony Science Acad (College Stat,Brazos County,Huntsville,06,,,<5,<10,<5,12,6,50
All students,021901,College Station ISD,Brazos County,Huntsville,06,83.5,30.5,1365,417,348,1033,849,82.2
All students,021902,Bryan ISD,Brazos County,Huntsville,06,51.9,19.5,1730,337,175,632,314,49.7
All students,022901,Alpine ISD,Brewster County,Midland,18,44.4,13.4,134,18,8,19,8,42.1
All students,024901,Brooks County ISD,Brooks County,Corpus Christi,02,,8.7,183,16,<5,16,<5,
All students,025902,Brownwood ISD,Brown County,San Angelo,15,,,412,<5,<5,<5,<5,
All students,025909,Early ISD,Brown County,San Angelo,15,59.2,30.4,161,49,29,73,44,60.3
All students,026901,Caldwell ISD,Burleson County,Huntsville,06,59.3,11.2,242,27,16,36,21,58.3
All students,026903,Snook ISD,Burleson County,Huntsville,06,,,59,<5,<5,<5,<5,
All students,027903,Burnet CISD,Burnet County,Austin,13,18.2,22.6,438,99,18,183,18,9.8
All students,027904,Marble Falls ISD,Burnet County,Austin,13,48.3,16.4,532,87,42,164,62,37.8
All students,028902,Lockhart ISD,Caldwell County,Austin,13,42.3,17.5,634,111,47,183,72,39.3
All students,028903,Luling ISD,Caldwell County,Austin,13,,,177,<5,<5,<5,<5,
All students,029901,Calhoun County ISD,Calhoun County,Victoria,03,29.6,15.3,530,81,24,187,54,28.9
All students,030901,Cross Plains ISD,Callahan County,Abilene,14,,,55,<5,<5,<5,<5,
All students,030902,Clyde CISD,Callahan County,Abilene,14,36,12.9,194,25,9,30,<15,
All students,030903,Baird ISD,Callahan County,Abilene,14,,,40,<5,<5,<5,<5,
All students,030906,Eula ISD,Callahan County,Abilene,14,,,47,<5,<5,<5,<5,
All students,031803,Harmony Science Academy - Brownsvi,Cameron County,Edinburg,01,,,11,<10,<5,16,<5,
All students,031901,Brownsville ISD,Cameron County,Edinburg,01,23.8,25.5,5722,1459,347,2464,419,17
All students,031903,Harlingen CISD,Cameron County,Edinburg,01,26,16.8,2314,388,101,713,132,18.5
All students,031905,La Feria ISD,Cameron County,Edinburg,01,21.7,25.5,470,120,26,238,36,15.1
All students,031906,Los Fresnos CISD,Cameron County,Edinburg,01,61.2,13.3,1245,165,101,340,173,50.9
All students,031909,Point Isabel ISD,Cameron County,Edinburg,01,33.7,31.4,283,89,30,116,32,27.6
All students,031911,Rio Hondo ISD,Cameron County,Edinburg,01,34.8,7.8,294,23,8,26,8,30.8
All students,031912,San Benito CISD,Cameron County,Edinburg,01,43.2,7.1,1329,95,41,162,58,35.8
All students,031913,Santa Maria ISD,Cameron County,Edinburg,01,,,<75,7,<5,12,<5,
All students,031914,Santa Rosa ISD,Cameron County,Edinburg,01,17.1,21.6,162,35,6,39,6,15.4
All students,031916,South Texas ISD,Cameron County,Edinburg,01,39,89.6,1053,944,368,3204,711,22.2
All students,032902,Pittsburg ISD,Camp County,Mt Pleasant,08,,11.3,309,35,<5,46,<5,
All students,033901,Groom ISD,Carson County,Amarillo,16,,,24,<5,<5,<5,<5,
All students,034901,Atlanta ISD,Cass County,Mt Pleasant,08,,,237,<10,<5,7,<5,
All students,034902,Avinger ISD,Cass County,Mt Pleasant,08,,,22,<5,<5,<5,<5,
All students,035901,Dimmitt ISD,Castro County,Amarillo,16,,6.7,134,9,<5,9,<5,
All students,036901,Anahuac ISD,Chambers County,Houston,04,,26.3,171,45,<5,64,<10,
All students,036902,Barbers Hill ISD,Chambers County,Houston,04,50,12.5,562,70,35,103,52,50.5
All students,037904,Jacksonville ISD,Cherokee County,Kilgore,07,47.2,7.2,503,36,17,47,26,55.3
All students,037907,Rusk ISD,Cherokee County,Kilgore,07,,3.6,248,9,<10,12,10,83.3
All students,039902,Henrietta ISD,Clay County,Wichita Falls,09,47.1,10.9,156,17,8,21,8,38.1
All students,040902,Whiteface CISD,Cochran County,Lubbock,17,,,32,<5,<5,<5,<5,
All students,041901,Bronte ISD,Coke County,San Angelo,15,,13.5,52,7,<5,7,<5,
All students,041902,Robert Lee ISD,Coke County,San Angelo,15,,,40,<5,<5,<5,<5,
All students,042901,Coleman ISD,Coleman County,San Angelo,15,,5.5,91,5,<5,5,<5,
All students,043901,Allen ISD,Collin County,Richardson,10,74,33.8,2559,864,639,2005,1321,65.9
All students,043902,Anna ISD,Collin County,Richardson,10,,,270,<5,<5,<5,<5,
All students,043903,Celina ISD,Collin County,Richardson,10,64.6,27.6,297,82,53,138,82,59.4
All students,043904,Farmersville ISD,Collin County,Richardson,10,35.5,16.1,193,31,11,34,11,32.4
All students,043905,Frisco ISD,Collin County,Richardson,10,77.2,34.1,4224,1440,1111,3356,2403,71.6
All students,043907,McKinney ISD,Collin County,Richardson,10,68.9,46.9,3154,1478,1018,3832,2405,62.8
All students,043908,Melissa ISD,Collin County,Richardson,10,21.1,19.3,197,38,8,38,8,21.1
All students,043910,Plano ISD,Collin County,Richardson,10,83.8,40.5,7792,3157,2647,8627,6884,79.8
All students,043911,Princeton ISD,Collin County,Richardson,10,50,8.2,392,32,16,50,20,40
All students,043912,Prosper ISD,Collin County,Richardson,10,70.5,48.2,548,264,186,547,349,63.8
All students,043914,Wylie ISD,Collin County,Richardson,10,70.2,21,1483,312,219,619,359,58
All students,043918,Community ISD,Collin County,Richardson,10,35.3,14.6,233,34,12,41,12,29.3
All students,043919,Lovejoy ISD,Collin County,Richardson,10,71.9,64.8,532,345,248,921,561,60.9
All students,045902,Columbus ISD,Colorado County,Victoria,03,,,261,<5,<5,5,<5,
All students,046901,New Braunfels ISD,Comal County,Austin,13,67.4,27.2,1046,285,192,792,434,54.8
All students,046902,Comal ISD,Comal County,Austin,13,52.1,27.9,2372,662,345,1399,586,41.9
All students,047901,Comanche ISD,Comanche County,Abilene,14,50,6.5,153,10,5,13,5,38.5
