Group,District,DistName,County,CntyName,Region,RegnName,Students_Mskd,Exnees_Mskd,Part_Rate,Exnees_Crit_Mskd,Exnees_Above_Crit_Rate,Exams_Mskd,Exams_Crit_Mskd,Exams_Above_Crit_Rate
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,177,18,10.2,11,61.1,21,12,57.1
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,<425,<25,5.6,<25,82.6,25,20,80.0
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,<200,<25,5.5,<25,9.1,<25,<25,9.1
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,496,85,17.1,19,22.4,112,24,21.4
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,372,46,12.4,33,71.7,49,34,69.4
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,1028,226,22.0,99,43.8,497,189,38.0
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,<275,<25,7.3,<25,15.8,<25,<25,19.0
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,<250,<25,9.3,<25,9.5,<25,<25,9.5
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,432,73,16.9,40,54.8,180,92,51.1
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,78,24,30.8,7,29.2,24,7,29.2
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,136,18,13.2,11,61.1,21,14,66.7
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,236,42,17.8,8,19.0,45,8,17.8
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,<250,<25,2.1,<25,,<25,<25,
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,456,74,16.2,24,32.4,121,29,24.0
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,<225,<25,9.4,<25,,<50,<25,
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,288,44,15.3,25,56.8,60,40,66.7
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,396,135,34.1,52,38.5,320,98,30.6
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,<150,<25,1.6,<25,,<25,<25,
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,319,39,12.2,21,53.8,65,27,41.5
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,1351,347,25.7,121,34.9,758,201,26.5
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,611,157,25.7,53,33.8,292,74,25.3
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,254,38,15.0,7,18.4,44,7,15.9
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,<100,<25,1.1,<25,,<25,<25,
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,430,18,4.2,5,27.8,34,6,17.6
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,<125,<25,14.6,<25,,<25,<25,
All Students,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,<1100,<25,0.3,<25,33.3,<25,<25,22.2
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,200,70,35.0,36,51.4,141,54,38.3
All Students,014901,Academy ISD,014,Bell County,12,Waco,186,28,15.1,21,75.0,46,31,67.4
All Students,014903,Belton ISD,014,Bell County,12,Waco,1489,240,16.1,156,65.0,584,364,62.3
All Students,014906,Killeen ISD,014,Bell County,12,Waco,4518,1034,22.9,340,32.9,2003,512,25.6
All Students,014907,Rogers ISD,014,Bell County,12,Waco,<150,<25,12.5,<25,,<50,<25,
All Students,014908,Salado ISD,014,Bell County,12,Waco,242,95,39.3,57,60.0,288,114,39.6
All Students,014909,Temple ISD,014,Bell County,12,Waco,924,177,19.2,57,32.2,342,90,26.3
All Students,014910,Troy ISD,014,Bell County,12,Waco,218,28,12.8,14,50.0,28,14,50.0
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,<200,<25,4.6,<25,,<25,<25,
All Students,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,<75,<25,4.2,<25,33.3,<25,<25,33.3
All Students,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,<175,<25,0.6,<25,100,<25,<25,75.0
All Students,015826,Kipp San Antonio,015,Bexar County,20,San Antonio,215,132,61.4,28,21.2,183,29,15.8
All Students,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,130,50,38.5,29,58.0,127,51,40.2
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,270,92,34.1,38,41.3,126,46,36.5
All Students,015830,Brooks Academy Of Science And Engi,015,Bexar County,20,San Antonio,190,69,36.3,14,20.3,116,16,13.8
All Students,015832,City Center Health Careers,015,Bexar County,20,San Antonio,<25,<25,,<25,100,<25,<25,50.0
All Students,015833,Henry Ford Academy Alameda School,015,Bexar County,20,San Antonio,<75,<25,1.4,<25,100,<25,<25,75.0
All Students,015835,Great Hearts Texas,015,Bexar County,20,San Antonio,<25,<25,,<25,,<25,<25,
All Students,015901,Alamo Heights ISD,015,Bexar County,20,San Antonio,771,320,41.5,272,85.0,755,578,76.6
All Students,015904,Harlandale ISD,015,Bexar County,20,San Antonio,1882,374,19.9,59,15.8,607,89,14.7
