DistName,Students Enrolled in Texas Public 4-year Universities,,Students Enrolled in Texas Public 2-year Colleges,,Students Not Located in Texas Public Higher Education,,Total High School Graduates,
057829   A+ ACADEMY,6,9.8%,22,36.1%,33,54.1%,61,100.0%
109901   ABBOTT ISD,*,*,*,*,7,30.4%,23,100.0%
095901   ABERNATHY ISD,8,17.8%,20,44.4%,17,37.8%,45,100.0%
221901   ABILENE ISD,133,13.6%,221,22.5%,627,63.9%,981,100.0%
014901   ACADEMY ISD,22,27.5%,32,40.0%,26,32.5%,80,100.0%
015816   ACADEMY OF CAREERS AND TECHNOLOGIE,,,5,18.5%,22,81.5%,27,100.0%
180903   ADRIAN ISD,,,*,*,*,*,5,100.0%
057806   ADVANTAGE ACADEMY,,,26,61.9%,16,38.1%,42,100.0%
178901   AGUA DULCE ISD,*,*,*,*,15,55.6%,27,100.0%
015901   ALAMO HEIGHTS ISD,102,28.7%,72,20.3%,181,51.0%,355,100.0%
250906   ALBA-GOLDEN ISD,7,13.5%,15,28.9%,30,57.7%,52,100.0%
209901   ALBANY ISD,15,28.9%,13,25.0%,24,46.2%,52,100.0%
101902   ALDINE ISD,447,14.7%,934,30.6%,"1,671",54.8%,"3,052",100.0%
184907   ALEDO ISD,82,23.5%,126,36.1%,141,40.4%,349,100.0%
125901   ALICE ISD,61,21.9%,80,28.8%,137,49.3%,278,100.0%
101903   ALIEF ISD,461,18.0%,623,24.3%,"1,482",57.8%,"2,566",100.0%
043901   ALLEN ISD,257,19.8%,481,37.0%,562,43.2%,"1,300",100.0%
057832   ALPHA CHARTER SCHOOL,,,*,*,21,87.5%,24,100.0%
022901   ALPINE ISD,*,*,*,*,25,35.7%,70,100.0%
037901   ALTO ISD,*,*,*,*,13,39.4%,33,100.0%
126901   ALVARADO ISD,42,17.7%,66,27.9%,129,54.4%,237,100.0%
020901   ALVIN ISD,188,17.8%,371,35.1%,497,47.1%,"1,056",100.0%
249901   ALVORD ISD,13,35.1%,7,18.9%,17,46.0%,37,100.0%
188901   AMARILLO ISD,281,15.7%,667,37.3%,842,47.0%,"1,790",100.0%
227801   AMERICAN YOUTHWORKS CHARTER SCHOOL,,,6,15.4%,33,84.6%,39,100.0%
140901   AMHERST ISD,*,*,*,*,7,58.3%,12,100.0%
036901   ANAHUAC ISD,18,22.2%,23,28.4%,40,49.4%,81,100.0%
093901   ANDERSON-SHIRO CISD,9,17.3%,15,28.9%,28,53.9%,52,100.0%
002901   ANDREWS ISD,35,19.8%,43,24.3%,99,55.9%,177,100.0%
020902   ANGLETON ISD,65,13.7%,145,30.7%,263,55.6%,473,100.0%
043902   ANNA ISD,18,11.6%,61,39.4%,76,49.0%,155,100.0%
127901   ANSON ISD,6,11.3%,9,17.0%,38,71.7%,53,100.0%
071906   ANTHONY ISD,7,20.6%,9,26.5%,18,52.9%,34,100.0%
110901   ANTON ISD,*,*,*,*,10,58.8%,17,100.0%
228905   APPLE SPRINGS ISD,*,*,*,*,13,72.2%,18,100.0%
109912   AQUILLA ISD,*,*,*,*,12,57.1%,21,100.0%
004901   ARANSAS COUNTY ISD,50,24.8%,33,16.3%,119,58.9%,202,100.0%
205901   ARANSAS PASS ISD,20,17.2%,24,20.7%,72,62.1%,116,100.0%
005901   ARCHER CITY ISD,8,22.2%,9,25.0%,19,52.8%,36,100.0%
061910   ARGYLE ISD,49,32.7%,39,26.0%,62,41.3%,150,100.0%
220901   ARLINGTON ISD,790,21.0%,"1,144",30.4%,"1,826",48.6%,"3,760",100.0%
