DistName,RegnName,Year,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%)
ALAMO HEIGHTS ISD,San Antonio,2011,73,379,19.26121372
ALAMO HEIGHTS ISD,San Antonio,2012,101,374,27.00534759
ALAMO HEIGHTS ISD,San Antonio,2013,102,355,28.73239437
ALAMO HEIGHTS ISD,San Antonio,2014,104,353,29.46175637
ALAMO HEIGHTS ISD,San Antonio,2015,75,369,20.32520325
ALAMO HEIGHTS ISD,San Antonio,2016,95,380,25
ALAMO HEIGHTS ISD,San Antonio,2017,118,411,28.71046229
ALDINE ISD,Houston,2011,496,2991,16.58308258
ALDINE ISD,Houston,2012,523,2980,17.55033557
ALDINE ISD,Houston,2013,447,3052,14.64613368
ALDINE ISD,Houston,2014,542,3080,17.5974026
ALDINE ISD,Houston,2015,539,3370,15.99406528
ALDINE ISD,Houston,2016,529,3556,14.87626547
ALDINE ISD,Houston,2017,569,3665,15.52523874
ALEDO ISD,Fort Worth,2011,97,372,26.07526882
ALEDO ISD,Fort Worth,2012,90,393,22.90076336
ALEDO ISD,Fort Worth,2013,82,349,23.49570201
ALEDO ISD,Fort Worth,2014,95,359,26.46239554
ALEDO ISD,Fort Worth,2015,103,420,24.52380952
ALEDO ISD,Fort Worth,2016,108,370,29.18918919
ALEDO ISD,Fort Worth,2017,101,402,25.12437811
ALIEF ISD,Houston,2011,492,2558,19.23377639
ALIEF ISD,Houston,2012,455,2425,18.7628866
ALIEF ISD,Houston,2013,461,2566,17.96570538
ALIEF ISD,Houston,2014,504,2600,19.38461538
ALIEF ISD,Houston,2015,503,2560,19.6484375
ALIEF ISD,Houston,2016,453,2639,17.16559303
ALIEF ISD,Houston,2017,516,2702,19.09696521
ALLEN ISD,Richardson,2011,221,1218,18.14449918
ALLEN ISD,Richardson,2012,271,1215,22.30452675
ALLEN ISD,Richardson,2013,257,1300,19.76923077
ALLEN ISD,Richardson,2014,295,1407,20.96659559
ALLEN ISD,Richardson,2015,357,1365,26.15384615
ALLEN ISD,Richardson,2016,351,1519,23.10730744
ALLEN ISD,Richardson,2017,390,1533,25.44031311
ALVARADO ISD,Fort Worth,2011,41,248,16.53225806
ALVARADO ISD,Fort Worth,2012,29,203,14.28571429
ALVARADO ISD,Fort Worth,2013,42,237,17.72151899
ALVARADO ISD,Fort Worth,2014,41,238,17.22689076
ALVARADO ISD,Fort Worth,2015,37,248,14.91935484
ALVARADO ISD,Fort Worth,2016,34,237,14.34599156
ALVARADO ISD,Fort Worth,2017,26,236,11.01694915
ALVIN ISD,Houston,2011,139,920,15.10869565
ALVIN ISD,Houston,2012,164,1021,16.06268364
ALVIN ISD,Houston,2013,188,1056,17.8030303
ALVIN ISD,Houston,2014,195,1022,19.08023483
ALVIN ISD,Houston,2015,230,1194,19.26298157
ALVIN ISD,Houston,2016,254,1317,19.28625664
ALVIN ISD,Houston,2017,251,1330,18.87218045
ALVORD ISD,Fort Worth,2011,8,48,16.66666667
ALVORD ISD,Fort Worth,2012,14,52,26.92307692
ALVORD ISD,Fort Worth,2013,13,37,35.13513514
ALVORD ISD,Fort Worth,2014,10,44,22.72727273
ALVORD ISD,Fort Worth,2015,16,56,28.57142857
ALVORD ISD,Fort Worth,2016,7,45,15.55555556
ALVORD ISD,Fort Worth,2017,7,51,13.7254902
ANAHUAC ISD,Houston,2011,27,108,25
ANAHUAC ISD,Houston,2012,15,85,17.64705882
ANAHUAC ISD,Houston,2013,18,81,22.22222222
ANAHUAC ISD,Houston,2014,21,65,32.30769231
ANAHUAC ISD,Houston,2015,18,81,22.22222222
ANAHUAC ISD,Houston,2016,17,88,19.31818182
ANAHUAC ISD,Houston,2017,25,86,29.06976744
ANGLETON ISD,Houston,2011,88,463,19.00647948
ANGLETON ISD,Houston,2012,54,404,13.36633663
ANGLETON ISD,Houston,2013,65,473,13.74207188
ANGLETON ISD,Houston,2014,70,417,16.78657074
ANGLETON ISD,Houston,2015,70,412,16.99029126
ANGLETON ISD,Houston,2016,71,433,16.39722864
ANGLETON ISD,Houston,2017,54,420,12.85714286
ANNA ISD,Richardson,2011,16,137,11.67883212
ANNA ISD,Richardson,2012,12,128,9.375
ANNA ISD,Richardson,2013,18,155,11.61290323
ANNA ISD,Richardson,2014,21,139,15.10791367
ANNA ISD,Richardson,2015,16,143,11.18881119
ANNA ISD,Richardson,2016,17,188,9.042553191
ANNA ISD,Richardson,2017,24,154,15.58441558
ARGYLE ISD,Fort Worth,2011,51,153,33.33333333
ARGYLE ISD,Fort Worth,2012,68,162,41.97530864
ARGYLE ISD,Fort Worth,2013,49,150,32.66666667
ARGYLE ISD,Fort Worth,2014,55,176,31.25
ARGYLE ISD,Fort Worth,2015,63,176,35.79545455
ARGYLE ISD,Fort Worth,2016,52,167,31.13772455
ARGYLE ISD,Fort Worth,2017,49,183,26.77595628
ARLINGTON ISD,Fort Worth,2011,807,3611,22.34837995
ARLINGTON ISD,Fort Worth,2012,749,3616,20.71349558
ARLINGTON ISD,Fort Worth,2013,790,3760,21.0106383
ARLINGTON ISD,Fort Worth,2014,790,3655,21.61422709
ARLINGTON ISD,Fort Worth,2015,800,3762,21.26528442
ARLINGTON ISD,Fort Worth,2016,829,3944,21.01926978
ARLINGTON ISD,Fort Worth,2017,895,4075,21.96319018
ATHENS ISD,Richardson,2017,39,228,17.10526316
AUBREY ISD,Fort Worth,2011,34,111,30.63063063
AUBREY ISD,Fort Worth,2012,22,105,20.95238095
AUBREY ISD,Fort Worth,2013,26,120,21.66666667
AUBREY ISD,Fort Worth,2014,35,141,24.82269504
AUBREY ISD,Fort Worth,2015,26,111,23.42342342
AUBREY ISD,Fort Worth,2016,41,153,26.79738562
AUBREY ISD,Fort Worth,2017,27,134,20.14925373
AUSTIN ISD,Austin,2011,855,4174,20.48394825
AUSTIN ISD,Austin,2012,873,4259,20.49776943
AUSTIN ISD,Austin,2013,858,4236,20.25495751
AUSTIN ISD,Austin,2014,898,4155,21.61251504
AUSTIN ISD,Austin,2015,889,4254,20.89797837
AUSTIN ISD,Austin,2016,922,4386,21.02143183
AUSTIN ISD,Austin,2017,866,4352,19.89889706
AVALON ISD,Richardson,2011,,19,
AVALON ISD,Richardson,2012,,19,
AVALON ISD,Richardson,2014,,21,
AVALON ISD,Richardson,2015,,18,
AVALON ISD,Richardson,2016,,18,
AVALON ISD,Richardson,2017,,17,
AZLE ISD,Fort Worth,2011,55,342,16.08187135
AZLE ISD,Fort Worth,2012,46,346,13.29479769
AZLE ISD,Fort Worth,2013,69,388,17.78350515
AZLE ISD,Fort Worth,2014,64,385,16.62337662
AZLE ISD,Fort Worth,2015,55,403,13.64764268
AZLE ISD,Fort Worth,2016,54,453,11.9205298
AZLE ISD,Fort Worth,2017,45,416,10.81730769
BANDERA ISD,San Antonio,2011,41,192,21.35416667
BANDERA ISD,San Antonio,2012,36,172,20.93023256
