Group,DISTRICT,DistName,cntyname,RegnName,REGION,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,1902,Cayuga ISD,Anderson County,Kilgore,7,491,467,444,958,,19,<5,50,38
All Students,1903,Elkhart ISD,Anderson County,Kilgore,7,499,480,465,978,24.1,29,7,45.3,64
All Students,1904,Frankston ISD,Anderson County,Kilgore,7,490,446,413,936,,27,<10,56.3,48
All Students,1906,Neches ISD,Anderson County,Kilgore,7,,,,,,<5,<5,,14
All Students,1907,Palestine ISD,Anderson County,Kilgore,7,508,471,446,978,24.6,65,16,39.4,165
All Students,1908,Westwood ISD,Anderson County,Kilgore,7,470,428,432,898,,51,<5,72.9,70
All Students,1909,Slocum ISD,Anderson County,Kilgore,7,513,476,461,989,,<15,<5,,17
All Students,2901,Andrews ISD,Andrews County,Midland,18,491,454,445,944,11.3,53,6,32.1,165
All Students,3902,Hudson ISD,Angelina County,Kilgore,7,509,471,443,979,23.5,119,28,67.2,177
All Students,3903,Lufkin ISD,Angelina County,Kilgore,7,495,458,448,953,20.3,237,48,54.1,438
All Students,3904,Huntington ISD,Angelina County,Kilgore,7,510,460,434,970,19.5,41,8,41,100
All Students,3905,Diboll ISD,Angelina County,Kilgore,7,479,422,403,901,,33,<5,29.2,113
All Students,3906,Zavalla ISD,Angelina County,Kilgore,7,445,426,391,871,,8,<5,,<20
All Students,3907,Central ISD,Angelina County,Kilgore,7,476,452,425,927,19.1,47,9,51.6,91
All Students,4901,Aransas County ISD,Aransas County,Corpus Christi,2,470,457,435,927,14.8,122,18,63.9,191
All Students,5901,Archer City ISD,Archer County,Wichita Falls,9,536,489,473,1025,,15,<5,53.6,28
All Students,5902,Holliday ISD,Archer County,Wichita Falls,9,541,515,504,1056,,17,<10,28.3,60
All Students,5904,Windthorst ISD,Archer County,Wichita Falls,9,,,,,,<5,<5,,26
All Students,6902,Claude ISD,Armstrong County,Amarillo,16,,,,,,<5,<5,,21
All Students,7901,Charlotte ISD,Atascosa County,San Antonio,20,412,373,362,785,,6,<5,18.8,32
All Students,7902,Jourdanton ISD,Atascosa County,San Antonio,20,490,470,459,960,,16,<5,27.1,59
All Students,7904,Lytle ISD,Atascosa County,San Antonio,20,480,463,446,942,17,47,8,37.6,125
All Students,7905,Pleasanton ISD,Atascosa County,San Antonio,20,477,453,444,930,12.2,90,11,46.4,194
All Students,7906,Poteet ISD,Atascosa County,San Antonio,20,459,443,434,902,11.9,42,5,45.2,93
All Students,8901,Bellville ISD,Austin County,Huntsville,6,524,491,467,1015,27.6,76,21,55.1,138
All Students,8902,Sealy ISD,Austin County,Huntsville,6,487,452,448,938,13.7,95,13,61.7,154
All Students,8903,Brazos ISD,Austin County,Huntsville,6,499,447,424,946,,25,<5,56.8,44
All Students,9901,Muleshoe ISD,Bailey County,Lubbock,17,540,523,490,1063,,<5,<5,,73
All Students,10901,Medina ISD,Bandera County,San Antonio,20,493,468,465,961,,19,<5,90.5,21
All Students,10902,Bandera ISD,Bandera County,San Antonio,20,524,490,469,1013,31.3,115,36,70.6,163
All Students,11901,Bastrop ISD,Bastrop County,Austin,13,475,467,449,942,18.1,270,49,56.1,481
All Students,11902,Elgin ISD,Bastrop County,Austin,13,470,470,444,941,21.6,88,19,46.8,188
All Students,11904,Smithville ISD,Bastrop County,Austin,13,527,473,457,1000,19.1,47,9,,<10
All Students,13901,Beeville ISD,Bee County,Corpus Christi,2,510,479,477,989,22.2,27,6,12.1,224
All Students,13903,Pettus ISD,Bee County,Corpus Christi,2,481,453,404,934,,7,<5,25,28
All Students,13905,Skidmore-Tynan ISD,Bee County,Corpus Christi,2,481,484,453,964,,14,<5,35,40
All Students,14801,Richard Milburn Alter High School,Bell County,Waco,12,398,370,368,768,,<10,<5,,58
All Students,14802,Transformative Charter Academy,Bell County,Waco,12,,,,,,<5,<5,,41
All Students,14803,Temple Education Center,Bell County,Waco,12,,,,,,<5,<5,,<5
All Students,14804,Orenda Charter School,Bell County,Waco,12,,,,,,<5,<5,,33
All Students,14901,Academy ISD,Bell County,Waco,12,544,496,474,1040,37.8,37,14,52.9,70
All Students,14902,Bartlett ISD,Bell County,Austin,13,342,329,322,671,,17,<5,121.4,14
All Students,14903,Belton ISD,Bell County,Waco,12,522,498,463,1020,31.6,304,96,55.7,546
All Students,14905,Holland ISD,Bell County,Waco,12,516,500,464,1016,,5,<5,18.5,27
All Students,14906,Killeen ISD,Bell County,Waco,12,473,462,442,936,15.1,"1,175",177,65.7,"1,789"
All Students,14907,Rogers ISD,Bell County,Waco,12,493,483,475,976,14.3,35,5,63.6,55
All Students,14908,Salado ISD,Bell County,Waco,12,528,507,490,1034,33.3,78,26,68.4,114
All Students,14909,Temple ISD,Bell County,Waco,12,525,496,472,1021,33.9,221,75,54.2,408
All Students,14910,Troy ISD,Bell County,Waco,12,509,492,453,1001,28.9,38,11,45.8,83
All Students,15801,Por Vida Academy,Bexar County,San Antonio,20,373,342,328,715,,10,<5,20,50
All Students,15802,George Gervin Academy,Bexar County,San Antonio,20,381,384,326,766,,9,<5,14.3,63
All Students,15806,School Of Excellence In Education,Bexar County,San Antonio,20,406,395,376,801,,27,<5,84.4,32
All Students,15807,Southwest Preparatory School,Bexar County,San Antonio,20,403,395,379,797,,20,<5,11.6,173
All Students,15812,George I Sanchez Charter H S San A,Bexar County,San Antonio,20,,,,,,<5,<5,,11
All Students,15814,Positive Solutions Charter School,Bexar County,San Antonio,20,455,395,400,850,,<5,<5,,25
All Students,15815,Radiance Academy Of Learning,Bexar County,San Antonio,20,408,433,373,840,,<5,<5,,26
All Students,15816,Academy Of Careers And Technologie,Bexar County,San Antonio,20,395,398,343,793,,<5,<5,,27
All Students,15819,Shekinah Radiance Academy,Bexar County,San Antonio,20,403,372,372,775,,6,<5,16.7,36
All Students,15820,San Antonio School For Inquiry & C,Bexar County,San Antonio,20,390,405,400,795,,<5,<5,,63
All Students,15822,Jubilee Academic Center,Bexar County,San Antonio,20,423,400,384,823,,20,<5,74.1,27
All Students,15827,School Of Science And Technology,Bexar County,San Antonio,20,557,510,490,1067,40.7,27,11,100,27
All Students,15828,Harmony Science Acad (San Antonio),Bexar County,San Antonio,20,534,604,536,1139,,7,<10,100,7
All Students,15830,Brooks Academy Of Science And Engi,Bexar County,San Antonio,20,500,480,479,979,24,25,6,67.6,37
