Group,District,DistName,County,CntyName,Region,RegnName,ERW,Math,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,001902,Cayuga ISD,001,Anderson County,07,Kilgore,519,505,1024,<50,<25,36.7,<25,11.1
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,530,500,1029,<100,<50,43.8,<25,12.8
All Students,001904,Frankston ISD,001,Anderson County,07,Kilgore,541,539,1079,<75,<25,24.1,<25,30.8
All Students,001906,Neches ISD,001,Anderson County,07,Kilgore,604,540,1144,<25,<25,36.8,<25,42.9
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,511,511,1021,219,68,31.1,6,8.8
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,509,488,997,<125,<25,22.8,<25,26.1
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,521,493,1014,<50,<25,44.0,<25,
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,516,494,1010,232,61,26.3,6,9.8
All Students,003801,Pineywoods Community Academy,003,Angelina County,07,Kilgore,539,505,1044,<50,<25,41.5,<25,11.8
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,543,548,1091,204,116,56.9,37,31.9
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,471,480,951,508,425,83.7,58,13.6
All Students,003904,Huntington ISD,003,Angelina County,07,Kilgore,520,518,1038,<150,<50,30.8,<25,15.6
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,495,514,1009,<150,<75,42.1,<25,13.2
All Students,003906,Zavalla ISD,003,Angelina County,07,Kilgore,526,500,1026,<25,<25,37.5,<25,11.1
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,521,513,1034,117,45,38.5,7,15.6
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,519,512,1031,207,106,51.2,23,21.7
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,555,542,1097,<50,<25,22.2,<25,30.0
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,547,540,1087,77,27,35.1,8,29.6
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,586,558,1142,<50,<25,13.5,<25,40.0
All Students,006902,Claude ISD,006,Armstrong County,16,Amarillo,477,440,917,<50,<25,11.5,<25,
All Students,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,465,445,911,<50,<25,26.8,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,526,508,1034,132,43,32.6,9,20.9
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,506,477,983,<100,<50,31.5,<25,6.9
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,489,477,967,195,115,59.0,10,8.7
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,500,474,976,<100,<50,38.5,<25,5.4
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,540,545,1085,161,91,56.5,33,36.3
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,509,506,1015,207,76,36.7,12,15.8
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,510,507,1017,<75,<50,55.6,<25,20.0
All Students,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,597,593,1190,<100,<25,3.4,<25,66.7
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,536,475,1015,<25,<25,88.9,<25,
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,535,530,1065,149,82,55.0,15,18.3
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,510,500,1010,679,309,45.5,39,12.6
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,465,463,928,<300,<275,89.9,<25,6.6
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,504,497,1001,124,48,38.7,7,14.6
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,515,547,1062,<50,<25,12.5,<25,16.7
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,504,489,992,241,56,23.2,6,10.7
All Students,013903,Pettus ISD,013,Bee County,02,Corpus Christi,553,525,1078,<50,<25,15.4,<25,25.0
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,618,587,1205,58,13,22.4,7,53.8
All Students,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,478,458,936,<600,<25,3.4,<25,10.0
All Students,014803,Priority Charter Schools,014,Bell County,12,Waco,570,500,1070,<25,<25,16.7,<25,33.3
