DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year (%)
ALAMO HEIGHTS ISD,San Antonio,2011,24.2,51.0,336.0,739.0,66.0,2.2,73.0,379.0,19.0,1180.0,88.0,1098268.0,59.0
ALAMO HEIGHTS ISD,San Antonio,2012,23.9,52.0,355.0,836.0,66.0,2.4,101.0,374.0,27.0,1175.0,85.0,1061587.0,42.0
ALAMO HEIGHTS ISD,San Antonio,2013,24.7,65.0,328.0,753.0,69.0,2.3,102.0,355.0,29.0,1179.0,85.0,1056007.0,65.0
ALAMO HEIGHTS ISD,San Antonio,2014,24.7,59.0,292.0,668.0,74.0,2.3,104.0,353.0,29.0,1179.0,84.0,1081447.0,56.0
ALAMO HEIGHTS ISD,San Antonio,2015,24.5,60.0,295.0,668.0,72.0,2.3,75.0,369.0,20.0,1164.0,79.0,1137027.0,56.1656407091927
ALAMO HEIGHTS ISD,San Antonio,2016,24.0,65.0,320.0,755.0,77.0,2.4,95.0,380.0,25.0,1158.0,82.0,1179836.0,52.07259725258251
ALAMO HEIGHTS ISD,San Antonio,2017,24.5,63.0,314.0,740.0,75.0,2.4,118.0,411.0,29.0,1159.0,79.0,1296290.0,49.93522020529045
ALAMO HEIGHTS ISD,San Antonio,2018,24.405558411461808,59.40745405622432,320.6232236364788,738.4456837152295,71.4309200025358,2.3332365408862623,95.62483055921447,375.18052392457395,25.480258158586146,1172.8871805419567,83.30513295343283,1132374.0933081629,54.15107262987132
ALAMO HEIGHTS ISD,San Antonio,2019,24.417652345263328,59.43689283425021,320.78210531320656,738.8116131917981,71.46631689054497,2.3343927532454725,95.67221650101786,375.3664409334563,25.49288464924947,1173.4683932181422,83.34641399057527,1132935.2301234794,54.217067218275076
ALAMO HEIGHTS ISD,San Antonio,2020,24.42974627906485,59.46633161227609,320.94098698993423,739.1775426683665,71.50171377855415,2.3355489656046826,95.71960244282124,375.5523579423387,25.50551113991279,1174.0496058943274,83.38769502771771,1133496.3669387957,54.2830618066788
ALDINE ISD,Houston,2011,17.7,26.0,1399.0,2582.0,16.0,1.8,496.0,2991.0,17.0,959.0,52.0,227596.0,19.0
ALDINE ISD,Houston,2012,17.7,29.0,1359.0,2344.0,19.0,1.7,523.0,2980.0,18.0,956.0,49.0,210385.0,23.0
ALDINE ISD,Houston,2013,17.8,29.0,1240.0,2191.0,18.0,1.8,447.0,3052.0,15.0,938.0,52.0,211736.0,24.0
ALDINE ISD,Houston,2014,17.7,37.0,1545.0,2722.0,17.0,1.8,542.0,3080.0,18.0,948.0,53.0,215342.0,24.0
ALDINE ISD,Houston,2015,18.2,21.0,1736.0,3082.5,14.0,1.8,539.0,3370.0,16.0,873.0,88.0,231165.0,18.14292727433468
ALDINE ISD,Houston,2016,17.7,22.0,1615.0,3099.0,16.0,1.9,529.0,3556.0,15.0,846.0,94.0,253334.0,15.510712563935542
ALDINE ISD,Houston,2017,17.9,19.0,1501.0,2617.0,16.0,1.7,569.0,3665.0,16.0,876.0,93.0,293519.0,18.830015538224785
ALDINE ISD,Houston,2018,17.84972008988004,26.191697436728248,1488.0412769164664,2667.963497397282,16.603613938450483,1.7892662308846417,521.7709169736629,3248.68391048624,16.46061535427247,915.4901554586627,68.86838821698002,235212.78294011988,20.873616601353007
ALDINE ISD,Houston,2019,17.858565342650053,26.204676474110173,1488.7786610972973,2669.285580398965,16.611841695605314,1.7901528841209575,522.0294754062564,3250.2937637620007,16.468772249889053,915.9438175773244,68.90251526763264,235329.3403152141,20.923120874579098
ALDINE ISD,Houston,2020,17.867410595420058,26.217655511492104,1489.516045278128,2670.607663400649,16.620069452760145,1.7910395373572732,522.2880338388499,3251.9036170377626,16.476929145505647,916.3974796959856,68.93664231828525,235445.8976903084,20.97262514780509
ALEDO ISD,Fort Worth,2011,24.9,49.0,243.0,520.0,63.0,2.1,97.0,372.0,26.0,1164.0,81.0,571536.0,47.0
ALEDO ISD,Fort Worth,2012,24.2,52.0,254.0,533.0,68.0,2.1,90.0,393.0,23.0,1154.0,70.0,578269.0,64.0
ALEDO ISD,Fort Worth,2013,23.9,52.0,270.0,563.0,61.0,2.1,82.0,349.0,23.0,1148.0,75.0,541482.0,50.0
ALEDO ISD,Fort Worth,2014,24.1,62.0,296.0,632.0,68.0,2.1,95.0,359.0,26.0,1147.0,75.0,520317.0,55.0
ALEDO ISD,Fort Worth,2015,24.2,60.0,310.0,728.0,61.0,2.3,103.0,420.0,25.0,1154.0,66.0,517205.0,51.45292293422409
ALEDO ISD,Fort Worth,2016,23.7,57.0,269.0,648.0,61.0,2.4,108.0,370.0,29.0,1140.0,67.0,507627.0,46.68257629138742
ALEDO ISD,Fort Worth,2017,24.3,56.0,288.0,669.0,56.0,2.3,101.0,402.0,25.0,1153.0,69.0,537553.0,51.33563505065686
ALEDO ISD,Fort Worth,2018,24.233547887889447,55.54137503786093,276.2761786189748,614.5629967527665,62.6931521409905,2.204466742271092,96.76803743123399,381.4782185296583,25.336690991568464,1153.710373889707,71.9961624180267,540192.5273495953,52.443747479324315
ALEDO ISD,Fort Worth,2019,24.245556583572238,55.56889801855362,276.4130845548613,614.8675373854487,62.724219114301185,2.2055591440264286,96.81598987792937,381.6672562989991,25.34924633893793,1154.282083688463,72.03183940634091,540460.2144295505,52.50889601958602
ALEDO ISD,Fort Worth,2020,24.257565279255036,55.59642099924631,276.5499904907478,615.1720780181311,62.75528608761189,2.2066515457817664,96.86394232462472,381.8562940683398,25.36180168630739,1154.853793487219,72.0675163946551,540727.9015095057,52.57404455984772
ALIEF ISD,Houston,2011,18.2,19.0,1410.0,2791.0,22.0,2.0,492.0,2558.0,19.0,982.0,63.0,267266.0,23.0
ALIEF ISD,Houston,2012,18.2,21.0,1564.0,3182.0,19.0,2.0,455.0,2425.0,19.0,957.0,59.0,249968.0,20.0
ALIEF ISD,Houston,2013,18.1,23.0,1232.0,2164.0,28.0,1.8,461.0,2566.0,18.0,953.0,60.0,248959.0,27.0
ALIEF ISD,Houston,2014,18.2,25.0,1113.0,2132.0,33.0,1.9,504.0,2600.0,19.0,954.0,64.0,249467.0,27.0
ALIEF ISD,Houston,2015,18.8,20.0,1128.0,2122.0,28.0,1.9,503.0,2560.0,20.0,961.0,64.0,258678.0,25.837266468040397
ALIEF ISD,Houston,2016,18.4,15.0,1174.0,2425.0,29.0,2.1,453.0,2639.0,17.0,880.0,95.0,283387.0,20.070956861217013
ALIEF ISD,Houston,2017,19.0,13.0,1165.0,2444.0,29.0,2.1,516.0,2702.0,19.0,920.0,93.0,319295.0,23.84854131302454
ALIEF ISD,Houston,2018,18.451088837546752,19.46479386054505,1257.519385843189,2470.424421661372,26.913371205984486,1.9753847161664329,484.39604795480636,2583.7508706953026,18.75129346960913,945.7072061817184,71.2958815781132,268694.5474875148,24.692119640752907
ALIEF ISD,Houston,2019,18.460232092669425,19.474439447195472,1258.142537174132,2471.6486161220564,26.926707861686165,1.976363598582769,484.6360856396204,2585.031222960265,18.760585488176826,946.1758420618877,71.33121154916283,268827.69642085844,24.74351613550492
ALIEF ISD,Houston,2020,18.469375347792088,19.48408503384589,1258.765688505075,2472.8728105827413,26.940044517387843,1.9773424809991047,484.87612332443456,2586.3115752252284,18.76987750674452,946.6444779420567,71.36654152021244,268960.8453542021,24.79491263025689
ALLEN ISD,Richardson,2011,24.1,49.0,837.0,1796.0,60.0,2.1,221.0,1218.0,18.0,1155.0,76.0,390167.0,60.0
ALLEN ISD,Richardson,2012,24.1,45.0,864.0,2005.0,66.0,2.3,271.0,1215.0,22.0,1147.0,75.0,387115.0,49.0
ALLEN ISD,Richardson,2013,24.4,42.0,763.0,1783.0,72.0,2.3,257.0,1300.0,20.0,1166.0,70.0,388622.0,62.0
ALLEN ISD,Richardson,2014,24.1,46.0,850.0,2113.0,80.0,2.5,295.0,1407.0,21.0,1159.0,68.0,397446.0,60.0
ALLEN ISD,Richardson,2015,24.3,53.0,941.0,2317.5,82.0,2.5,357.0,1365.0,26.0,1177.0,68.0,415021.0,54.311863404749545
ALLEN ISD,Richardson,2016,24.4,49.0,1014.0,2407.5,79.0,2.4,351.0,1519.0,23.0,1153.0,68.0,445482.0,53.629744819289186
ALLEN ISD,Richardson,2017,25.3,46.0,1064.0,2985.0,78.0,2.8,390.0,1533.0,25.0,1130.0,94.0,497425.0,51.80017032394832
ALLEN ISD,Richardson,2018,24.43441399057528,47.23715159156705,906.5926158191693,2205.717944346221,74.01015390900702,2.4192560172434434,306.66195629970343,1368.1109514182872,22.188874245423236,1157.5753868152456,74.29273958032502,418186.9073933378,54.845035648476795
ALLEN ISD,Richardson,2019,24.44652222347447,47.26055949622095,907.041868849803,2206.8109661224084,74.04682891094409,2.420454855705904,306.81391960807787,1368.7889053089802,22.19986972324553,1158.1490118830432,74.32955461480486,418394.1357914513,54.911374123411036
ALLEN ISD,Richardson,2020,24.458630456373662,47.28396740087485,907.4911218804367,2207.903987898596,74.08350391288116,2.4216536941683624,306.96588291645236,1369.466859199673,22.210865201067854,1158.7226369508405,74.3663696492847,418601.36418956507,54.97771259834528
ALVIN ISD,Houston,2011,20.3,17.0,399.0,943.0,40.0,2.4,139.0,920.0,15.0,1024.0,54.0,216299.0,41.0
ALVIN ISD,Houston,2012,20.4,19.0,424.0,970.0,49.0,2.3,164.0,1021.0,16.0,1020.0,51.0,213786.0,31.0
ALVIN ISD,Houston,2013,20.6,18.0,398.0,848.0,48.0,2.1,188.0,1056.0,18.0,1043.0,46.0,213476.0,37.0
ALVIN ISD,Houston,2014,20.2,18.0,447.0,985.0,50.0,2.2,195.0,1022.0,19.0,1033.0,50.0,212809.0,39.0
