DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ALAMO HEIGHTS ISD,San Antonio,2011,24.2,50.9,336.0,739.0,66.4,2.199404762,73.0,379.0,19.26121372,1107.0,87.5,1098268.0
ALAMO HEIGHTS ISD,San Antonio,2012,23.9,52.1,355.0,836.0,66.3,2.354929577,101.0,374.0,27.00534759,1109.0,85.0,1061587.0
ALAMO HEIGHTS ISD,San Antonio,2013,24.7,64.5,328.0,753.0,69.2,2.295731707,102.0,355.0,28.73239437,1105.0,84.5,1056007.0
ALAMO HEIGHTS ISD,San Antonio,2014,24.7,58.9,292.0,668.0,74.0,2.287671233,104.0,353.0,29.46175637,1117.0,83.9,1081447.0
ALAMO HEIGHTS ISD,San Antonio,2015,24.5,60.4,295.0,668.0,71.9,2.26440678,75.0,369.0,20.32520325,1100.0,78.6,1137027.0
ALAMO HEIGHTS ISD,San Antonio,2016,24.0,65.0,320.0,755.0,76.6,2.359375,95.0,380.0,25.0,1083.0,82.4,1179836.0
ALAMO HEIGHTS ISD,San Antonio,2017,24.5,62.5,314.0,740.0,74.5,2.356687898,118.0,411.0,28.71046229,1159.0,79.3,1296290.0
ALAMO HEIGHTS ISD,San Antonio,2018,24.40555841146181,59.3072200088753,320.6232236364788,738.4456837152295,71.41629320898518,2.3072038495400706,95.62483055921447,375.180523924574,25.551233951171827,1113.6419147407496,83.19085490994385,1132374.093308163
ALAMO HEIGHTS ISD,San Antonio,2019,24.41765234526333,59.33660911690745,320.78210531320656,738.8116131917981,71.45168284883106,2.308347161655799,95.67221650101786,375.3664409334563,25.563895613189256,1114.1937690096995,83.23207931772876,1132935.2301234794
ALAMO HEIGHTS ISD,San Antonio,2020,24.429746279064847,59.365998224939595,320.94098698993423,739.1775426683665,71.48707248867694,2.3094904737715276,95.71960244282123,375.5523579423387,25.576557275206685,1114.7456232786492,83.27330372551367,1133496.3669387957
ALDINE ISD,Houston,2011,17.7,26.1,1399.0,2582.0,15.9,1.845604003,496.0,2991.0,16.58308258,881.0,51.7,227596.0
ALDINE ISD,Houston,2012,17.7,28.9,1359.0,2344.0,18.8,1.724797645,523.0,2980.0,17.55033557,869.0,48.9,210385.0
ALDINE ISD,Houston,2013,17.8,28.9,1240.0,2191.0,17.9,1.766935484,447.0,3052.0,14.64613368,861.0,51.7,211736.0
