DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
ALAMO HEIGHTS ISD,San Antonio,2011,24.2,51,336,739,66,2.2,73,379,19,1107,88,1098268,43,59
ALAMO HEIGHTS ISD,San Antonio,2012,23.9,52,355,836,66,2.4,101,374,27,1109,85,1061587,42,42
ALAMO HEIGHTS ISD,San Antonio,2013,24.7,65,328,753,69,2.3,102,355,29,1105,85,1056007,66,65
ALAMO HEIGHTS ISD,San Antonio,2014,24.7,59,292,668,74,2.3,104,353,29,1117,84,1081447,58,56
ALDINE ISD,Houston,2011,17.7,26,1399,2582,16,1.8,496,2991,17,881,52,227596,95,19
ALDINE ISD,Houston,2012,17.7,29,1359,2344,19,1.7,523,2980,18,869,49,210385,121,23
ALDINE ISD,Houston,2013,17.8,29,1240,2191,18,1.8,447,3052,15,861,52,211736,107,24
ALDINE ISD,Houston,2014,17.7,37,1545,2722,17,1.8,542,3080,18,860,53,215342,129,24
ALEDO ISD,Fort Worth,2011,24.9,49,243,520,63,2.1,97,372,26,1108,81,571536,46,47
ALEDO ISD,Fort Worth,2012,24.2,52,254,533,68,2.1,90,393,23,1093,70,578269,58,64
ALEDO ISD,Fort Worth,2013,23.9,52,270,563,61,2.1,82,349,23,1084,75,541482,41,50
ALEDO ISD,Fort Worth,2014,24.1,62,296,632,68,2.1,95,359,26,1091,75,520317,52,55
ALIEF ISD,Houston,2011,18.2,19,1410,2791,22,2.0,492,2558,19,893,63,267266,111,23
ALIEF ISD,Houston,2012,18.2,21,1564,3182,19,2.0,455,2425,19,880,59,249968,92,20
ALIEF ISD,Houston,2013,18.1,23,1232,2164,28,1.8,461,2566,18,873,60,248959,125,27
ALIEF ISD,Houston,2014,18.2,25,1113,2132,33,1.9,504,2600,19,877,64,249467,138,27
ALLEN ISD,Richardson,2011,24.1,49,837,1796,60,2.1,221,1218,18,1096,76,390167,132,60
ALLEN ISD,Richardson,2012,24.1,45,864,2005,66,2.3,271,1215,22,1084,75,387115,134,49
ALLEN ISD,Richardson,2013,24.4,42,763,1783,72,2.3,257,1300,20,1104,70,388622,159,62
ALLEN ISD,Richardson,2014,24.1,46,850,2113,80,2.5,295,1407,21,1092,68,397446,178,60
ALVIN ISD,Houston,2011,20.3,17,399,943,40,2.4,139,920,15,953,54,216299,57,41
ALVIN ISD,Houston,2012,20.4,19,424,970,49,2.3,164,1021,16,951,51,213786,51,31
ALVIN ISD,Houston,2013,20.6,18,398,848,48,2.1,188,1056,18,971,46,213476,69,37
ALVIN ISD,Houston,2014,20.2,18,447,985,50,2.2,195,1022,19,962,50,212809,77,39
ANAHUAC ISD,Houston,2013,20.4,47,48,72,10,1.5,18,81,22,895,56,278893,6,33
ANAHUAC ISD,Houston,2014,19,46,67.5,90,3,1.3,21,65,32,905,63,332679,7,33
ANGLETON ISD,Houston,2011,21.3,9,101,198,39,2.0,88,463,19,967,51,396881,41,47
ANGLETON ISD,Houston,2012,21.2,6,95,164,36,1.7,54,404,13,957,40,359004,18,33
ANGLETON ISD,Houston,2013,19.9,12,116,218,34,1.9,65,473,14,945,39,358284,24,37
ANGLETON ISD,Houston,2014,18.6,11,154,289,36,1.9,70,417,17,965,43,360331,31,44
ARGYLE ISD,Fort Worth,2011,24.6,50,94,215,73,2.3,51,153,33,1097,84,598246,28,55
ARGYLE ISD,Fort Worth,2012,23.6,64,89,202,62,2.3,68,162,42,1079,80,599216,33,49
ARGYLE ISD,Fort Worth,2013,23.3,62,83,190,70,2.3,49,150,33,1069,71,607796,24,49
ARGYLE ISD,Fort Worth,2014,24.5,73,116,245,73,2.1,55,176,31,1082,81,574613,34,62
ARLINGTON ISD,Fort Worth,2011,21,25,1229,2662,43,2.2,807,3611,22,985,65,338766,306,38
ARLINGTON ISD,Fort Worth,2012,20.9,23,1242,2584,43,2.1,749,3616,21,984,61,314773,308,41
ARLINGTON ISD,Fort Worth,2013,20.8,23,1320,2812,44,2.1,790,3760,21,977,58,316340,325,41
ARLINGTON ISD,Fort Worth,2014,20.7,29,1493,3126,46,2.1,790,3655,22,973,61,325124,341,43
AUSTIN ISD,Austin,2011,21.3,33,3188,6933,49,2.2,855,4174,20,1015,73,793908,313,37
AUSTIN ISD,Austin,2012,21.4,34,2980,6346,54,2.1,873,4259,20,1020,65,751327,335,38
AUSTIN ISD,Austin,2013,21.5,35,3004,6244,53,2.1,858,4236,20,1025,64,768123,372,43
AUSTIN ISD,Austin,2014,21.9,36,2767.5,6749,55,2.4,898,4155,22,1026,68,805850,384,43
AZLE ISD,Fort Worth,2011,22.3,21,73,129,47,1.8,55,342,16,987,61,432477,20,36
AZLE ISD,Fort Worth,2012,21.7,23,82,132,40,1.6,46,346,13,964,50,425292,17,37
AZLE ISD,Fort Worth,2013,21.4,28,94,164,34,1.7,69,388,18,962,55,413243,17,25
AZLE ISD,Fort Worth,2014,22,29,118,211,36,1.8,64,385,17,982,50,391884,24,38
BANDERA ISD,San Antonio,2011,23.1,51,124,263,19,2.1,41,192,21,1013,71,533528,16,39
BANDERA ISD,San Antonio,2012,20.8,40,54,87,37,1.6,36,172,21,965,57,578911,10,28
BANDERA ISD,San Antonio,2013,20.9,52,47,85,34,1.8,29,168,17,1013,63,599874,15,52
BANDERA ISD,San Antonio,2014,22,45,30,52,50,1.7,40,162,25,1010,56,624854,11,28
