Group,DISTRICT,DistName,cntyname,RegnName,REGION,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,1902,Cayuga ISD,Anderson County,Kilgore,7,518,494,470,1013,,18,<5,48.6,37
All Students,1903,Elkhart ISD,Anderson County,Kilgore,7,486,474,456,960,16.7,36,6,48.6,74
All Students,1904,Frankston ISD,Anderson County,Kilgore,7,459,438,415,898,28,25,7,44.6,56
All Students,1906,Neches ISD,Anderson County,Kilgore,7,457,414,413,871,,7,<5,38.9,18
All Students,1907,Palestine ISD,Anderson County,Kilgore,7,488,456,448,944,16.2,37,6,26.6,139
All Students,1908,Westwood ISD,Anderson County,Kilgore,7,496,464,457,960,16.2,37,6,36.3,102
All Students,1909,Slocum ISD,Anderson County,Kilgore,7,560,511,500,1071,,12,<5,42.9,28
All Students,2901,Andrews ISD,Andrews County,Midland,18,516,509,470,1025,29.8,57,17,24.1,237
All Students,3902,Hudson ISD,Angelina County,Kilgore,7,498,470,442,968,18.8,80,15,51.9,154
All Students,3903,Lufkin ISD,Angelina County,Kilgore,7,524,480,469,1003,31.3,147,46,29.5,499
All Students,3904,Huntington ISD,Angelina County,Kilgore,7,521,475,462,995,27.4,62,17,50.4,123
All Students,3905,Diboll ISD,Angelina County,Kilgore,7,507,504,466,1011,30.4,23,7,20,115
All Students,3906,Zavalla ISD,Angelina County,Kilgore,7,468,480,453,948,,<20,<5,,29
All Students,3907,Central ISD,Angelina County,Kilgore,7,493,468,459,960,,36,<10,29.3,123
All Students,4901,Aransas County ISD,Aransas County,Corpus Christi,2,481,456,437,937,18.1,116,21,57.7,201
All Students,5901,Archer City ISD,Archer County,Wichita Falls,9,504,494,490,997,,11,<5,28.2,39
All Students,5902,Holliday ISD,Archer County,Wichita Falls,9,498,517,524,1015,,11,<5,19,58
All Students,5904,Windthorst ISD,Archer County,Wichita Falls,9,524,496,494,1020,,7,<5,17.1,41
