Group,district,DistName,cntyname,RegnName,Region,Math,Reading,Writing,Total,Above_Crit_Rate,Exnees_Mskd,Crit_Mskd,Part_Rate,Grads_Mskd
All Students,1902,Cayuga ISD,Anderson County,Kilgore,7,465,444,414,909,,18,<5,36.7,49
All Students,1903,Elkhart ISD,Anderson County,Kilgore,7,499,481,466,980,11.6,43,5,53.8,80
All Students,1904,Frankston ISD,Anderson County,Kilgore,7,460,453,428,913,,12,<5,24,50
All Students,1906,Neches ISD,Anderson County,Kilgore,7,,,,,,<5,<5,,19
All Students,1907,Palestine ISD,Anderson County,Kilgore,7,471,451,427,922,26.7,75,20,37.5,200
All Students,1908,Westwood ISD,Anderson County,Kilgore,7,497,462,444,959,,26,<10,29.2,89
All Students,1909,Slocum ISD,Anderson County,Kilgore,7,532,504,504,1036,,<15,<5,,25
All Students,2901,Andrews ISD,Andrews County,Midland,18,492,469,444,961,17,47,8,26.6,177
All Students,3902,Hudson ISD,Angelina County,Kilgore,7,514,475,453,989,25,88,22,53,166
All Students,3903,Lufkin ISD,Angelina County,Kilgore,7,535,505,492,1041,36.4,184,67,34.8,528
All Students,3904,Huntington ISD,Angelina County,Kilgore,7,503,461,437,964,23.5,34,8,29.8,114
All Students,3905,Diboll ISD,Angelina County,Kilgore,7,508,464,448,971,,22,<5,17.1,129
All Students,3906,Zavalla ISD,Angelina County,Kilgore,7,439,441,427,881,,18,<5,58.1,31
All Students,3907,Central ISD,Angelina County,Kilgore,7,482,489,447,971,,29,<5,27.4,106
All Students,4901,Aransas County ISD,Aransas County,Corpus Christi,2,504,463,437,967,25.7,101,26,50,202
All Students,5901,Archer City ISD,Archer County,Wichita Falls,9,530,490,469,1020,,14,<5,38.9,36
All Students,5902,Holliday ISD,Archer County,Wichita Falls,9,536,512,504,1048,41.2,17,7,26.2,65
All Students,5904,Windthorst ISD,Archer County,Wichita Falls,9,491,485,464,976,,14,<5,45.2,31
All Students,7901,Charlotte ISD,Atascosa County,San Antonio,20,423,391,381,815,,15,<5,53.6,28
All Students,7902,Jourdanton ISD,Atascosa County,San Antonio,20,471,464,468,935,,18,<5,24.3,74
All Students,7904,Lytle ISD,Atascosa County,San Antonio,20,441,437,426,878,,41,<5,38,108
All Students,7905,Pleasanton ISD,Atascosa County,San Antonio,20,485,466,437,951,20.3,74,15,33.9,218
All Students,7906,Poteet ISD,Atascosa County,San Antonio,20,424,430,414,855,,23,<5,22.3,103
All Students,8901,Bellville ISD,Austin County,Huntsville,6,531,477,471,1008,26,100,26,59.2,169
All Students,8902,Sealy ISD,Austin County,Huntsville,6,483,449,426,932,13.5,74,10,37.6,197
All Students,8903,Brazos ISD,Austin County,Huntsville,6,483,464,437,947,,21,<5,43.8,48
All Students,9901,Muleshoe ISD,Bailey County,Lubbock,17,,,,,,<5,<5,,87
All Students,10901,Medina ISD,Bandera County,San Antonio,20,457,406,399,863,,20,<5,66.7,30
All Students,10902,Bandera ISD,Bandera County,San Antonio,20,521,493,467,1013,28.3,106,30,63.1,168
All Students,11901,Bastrop ISD,Bastrop County,Austin,13,478,460,442,938,16.7,258,43,41.8,617
All Students,11902,Elgin ISD,Bastrop County,Austin,13,448,455,438,903,11.9,109,13,45.6,239
All Students,11904,Smithville ISD,Bastrop County,Austin,13,488,468,448,956,17.5,63,11,39.6,159
All Students,12901,Seymour ISD,Baylor County,Wichita Falls,9,,,,,,<5,<5,,36
