Group,District,DistName,County,CntyName,Region,RegnName,Math,Reading,Writing,Total,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate
All Students,001902,Cayuga ISD,001,Anderson County,07,Kilgore,490,485,463,978,<50,<50,55.6,<25,20.0
All Students,001903,Elkhart ISD,001,Anderson County,07,Kilgore,492,485,464,978,<75,<50,55.4,<25,26.8
All Students,001904,Frankston ISD,001,Anderson County,07,Kilgore,449,494,434,932,<75,<25,30.0,<25,26.7
All Students,001906,Neches ISD,001,Anderson County,07,Kilgore,470,504,481,971,<50,<25,40.0,<25,14.3
All Students,001907,Palestine ISD,001,Anderson County,07,Kilgore,466,454,428,918,<200,<75,30.3,<25,11.1
All Students,001908,Westwood ISD,001,Anderson County,07,Kilgore,471,466,424,937,<125,<75,55.3,<25,14.0
All Students,001909,Slocum ISD,001,Anderson County,07,Kilgore,474,514,513,989,<50,<25,28.0,<25,
All Students,002901,Andrews ISD,002,Andrews County,18,Midland,483,485,447,967,252,46,18.3,7,15.2
All Students,003801,Pineywoods Community Academy,003,Angelina County,07,Kilgore,461,481,457,944,<50,<25,47.6,<25,20.0
All Students,003902,Hudson ISD,003,Angelina County,07,Kilgore,505,483,457,988,184,111,60.3,28,25.2
All Students,003903,Lufkin ISD,003,Angelina County,07,Kilgore,482,450,441,932,510,233,45.7,41,17.6
All Students,003904,Huntington ISD,003,Angelina County,07,Kilgore,466,467,441,931,<175,<75,32.7,<25,9.6
All Students,003905,Diboll ISD,003,Angelina County,07,Kilgore,465,425,397,886,<150,<50,29.2,<25,13.2
All Students,003906,Zavalla ISD,003,Angelina County,07,Kilgore,458,437,413,895,<50,<25,37.5,<25,
All Students,003907,Central ISD,003,Angelina County,07,Kilgore,489,468,422,957,<125,<25,12.3,<25,7.7
All Students,004901,Aransas County ISD,004,Aransas County,02,Corpus Christi,483,474,445,956,218,118,54.1,20,16.9
All Students,005901,Archer City ISD,005,Archer County,09,Wichita Falls,536,532,502,1068,<50,<25,15.6,<25,20.0
All Students,005902,Holliday ISD,005,Archer County,09,Wichita Falls,535,542,540,1083,57,21,36.8,11,52.4
All Students,005904,Windthorst ISD,005,Archer County,09,Wichita Falls,443,443,430,887,<50,<25,6.5,<25,
All Students,006902,Claude ISD,006,Armstrong County,16,Amarillo,515,548,490,1063,<50,<25,20.7,<25,50.0
All Students,007901,Charlotte ISD,007,Atascosa County,20,San Antonio,429,389,402,823,<50,<25,34.6,<25,
All Students,007902,Jourdanton ISD,007,Atascosa County,20,San Antonio,477,485,453,962,107,38,35.5,9,23.7
All Students,007904,Lytle ISD,007,Atascosa County,20,San Antonio,432,447,425,878,<150,<50,35.8,<25,10.4
All Students,007905,Pleasanton ISD,007,Atascosa County,20,San Antonio,466,448,420,913,254,105,41.3,16,15.2
All Students,007906,Poteet ISD,007,Atascosa County,20,San Antonio,438,410,409,848,<125,<50,36.4,<25,5.0
All Students,008901,Bellville ISD,008,Austin County,06,Huntsville,497,487,466,984,136,75,55.1,14,18.7
All Students,008902,Sealy ISD,008,Austin County,06,Huntsville,465,448,427,913,210,73,34.8,7,9.6
All Students,008903,Brazos ISD,008,Austin County,06,Huntsville,487,472,459,959,<75,<50,51.5,<25,17.6
All Students,009901,Muleshoe ISD,009,Bailey County,17,Lubbock,495,485,505,980,<100,<25,2.4,<25,
All Students,010901,Medina ISD,010,Bandera County,20,San Antonio,454,471,452,927,<50,<25,62.1,<25,16.7
All Students,010902,Bandera ISD,010,Bandera County,20,San Antonio,513,493,473,1006,176,96,54.5,24,25.0
All Students,011901,Bastrop ISD,011,Bastrop County,13,Austin,467,458,434,922,721,356,49.4,52,14.6
All Students,011902,Elgin ISD,011,Bastrop County,13,Austin,419,431,408,850,<325,<275,82.7,<25,8.1
All Students,011904,Smithville ISD,011,Bastrop County,13,Austin,483,475,440,958,133,45,33.8,7,15.6
All Students,012901,Seymour ISD,012,Baylor County,09,Wichita Falls,,,,,<50,<25,2.6,<25,100
All Students,013901,Beeville ISD,013,Bee County,02,Corpus Christi,455,462,430,914,210,28,13.3,5,17.9
All Students,013903,Pettus ISD,013,Bee County,02,Corpus Christi,401,426,410,821,<50,<25,28.6,<25,
All Students,013905,Skidmore-Tynan ISD,013,Bee County,02,Corpus Christi,511,517,500,1029,<75,<25,12.1,<25,42.9
All Students,014801,Richard Milburn Alter High School,014,Bell County,20,San Antonio,393,437,380,818,<550,<50,5.8,<25,3.2
All Students,014803,Priority Charter Schools,014,Bell County,12,Waco,508,513,448,1015,<50,<25,11.8,<25,
All Students,014804,Orenda Charter School,014,Bell County,12,Waco,473,500,464,972,104,63,60.6,13,20.6
All Students,014901,Academy ISD,014,Bell County,12,Waco,529,541,500,1068,83,39,47.0,18,46.2
All Students,014902,Bartlett ISD,014,Bell County,13,Austin,302,306,316,598,<25,<25,21.7,<25,
All Students,014903,Belton ISD,014,Bell County,12,Waco,503,498,470,1001,759,398,52.4,113,28.4
All Students,014905,Holland ISD,014,Bell County,12,Waco,466,476,442,943,<50,<25,55.9,<25,5.3
All Students,014906,Killeen ISD,014,Bell County,12,Waco,462,468,440,929,2105,1147,54.5,169,14.7
All Students,014907,Rogers ISD,014,Bell County,12,Waco,447,478,467,922,<100,<50,42.3,<25,9.1
All Students,014908,Salado ISD,014,Bell County,12,Waco,518,511,494,1028,113,76,67.3,27,35.5
All Students,014909,Temple ISD,014,Bell County,12,Waco,471,465,438,935,497,175,35.2,35,20.0
All Students,014910,Troy ISD,014,Bell County,12,Waco,460,470,453,930,105,63,60.0,12,19.0
All Students,015801,Por Vida Academy,015,Bexar County,20,San Antonio,401,431,411,824,<125,<25,6.0,<25,
All Students,015806,School Of Excellence In Education,015,Bexar County,20,San Antonio,410,387,370,791,<50,<25,80.0,<25,
All Students,015807,Southwest Preparatory School,015,Bexar County,20,San Antonio,431,415,376,842,<75,<50,39.7,<25,12.0
All Students,015814,Positive Solutions Charter School,015,Bexar County,20,San Antonio,,,,,<25,<25,4.2,<25,
All Students,015815,Heritage Academy,015,Bexar County,20,San Antonio,405,404,368,798,<25,<25,50.0,<25,
All Students,015820,San Antonio School For Inquiry & C,015,Bexar County,20,San Antonio,405,420,395,826,<50,<25,29.7,<25,
All Students,015822,Jubilee Academic Center,015,Bexar County,20,San Antonio,403,432,399,830,<75,<50,70.6,<25,
All Students,015826,Kipp San Antonio,015,Bexar County,20,San Antonio,417,414,387,831,<125,<125,94.7,<25,4.6
All Students,015827,School Of Science And Technology,015,Bexar County,20,San Antonio,502,491,462,993,<75,<75,100,<25,28.6
All Students,015828,Harmony Science Acad (San Antonio),015,Bexar County,20,San Antonio,466,455,441,921,<125,<150,100,<25,17.8
