DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA,Graduated 4-Year,Graduated 4-Year (%)
ALAMO HEIGHTS ISD,San Antonio,24.2,50.9,2011,336,739,66.4,2.199404762,73,379,19.26121372,1107,87.5,1098268,43,58.90410959
ALAMO HEIGHTS ISD,San Antonio,23.9,52.1,2012,355,836,66.3,2.354929577,101,374,27.00534759,1109,85,1061587,42,41.58415842
ALAMO HEIGHTS ISD,San Antonio,24.7,64.5,2013,328,753,69.2,2.295731707,102,355,28.73239437,1105,84.5,1056007,66,64.70588235
ALAMO HEIGHTS ISD,San Antonio,24.7,58.9,2014,292,668,74,2.287671233,104,353,29.46175637,1117,83.9,1081447,58,55.76923077
ALAMO HEIGHTS ISD,San Antonio,24.5,60.4,2015,295,668,71.9,2.26440678,75,369,20.32520325,1100,78.6,1137027,,
ALAMO HEIGHTS ISD,San Antonio,24,65,2016,320,755,76.6,2.359375,95,380,25,1083,82.4,1179836,,
ALAMO HEIGHTS ISD,San Antonio,24.5,62.5,2017,314,740,74.5,2.356687898,118,411,28.71046229,1159,79.3,1296290,,
ALDINE ISD,Houston,17.7,26.1,2011,1399,2582,15.9,1.845604003,496,2991,16.58308258,881,51.7,227596,95,19.15322581
ALDINE ISD,Houston,17.7,28.9,2012,1359,2344,18.8,1.724797645,523,2980,17.55033557,869,48.9,210385,121,23.13575526
ALDINE ISD,Houston,17.8,28.9,2013,1240,2191,17.9,1.766935484,447,3052,14.64613368,861,51.7,211736,107,23.93736018
ALDINE ISD,Houston,17.7,36.5,2014,1545,2722,16.9,1.761812298,542,3080,17.5974026,860,53.2,215342,129,23.80073801
ALDINE ISD,Houston,18.2,21,2015,1736,3082.5,14.4,1.775633641,539,3370,15.99406528,791,88,231165,,
ALDINE ISD,Houston,17.7,22,2016,1615,3099,16.2,1.918885449,529,3556,14.87626547,766,94.1,253334,,
ALDINE ISD,Houston,17.9,19.4,2017,1501,2617,15.8,1.74350433,569,3665,15.52523874,876,92.9,293519,,
ALEDO ISD,Fort Worth,24.9,49.4,2011,243,520,62.9,2.139917695,97,372,26.07526882,1108,80.9,571536,46,47.42268041
ALEDO ISD,Fort Worth,24.2,52.4,2012,254,533,67.7,2.098425197,90,393,22.90076336,1093,69.7,578269,58,64.44444444
ALEDO ISD,Fort Worth,23.9,52.4,2013,270,563,60.6,2.085185185,82,349,23.49570201,1084,74.5,541482,41,50
ALEDO ISD,Fort Worth,24.1,61.8,2014,296,632,67.9,2.135135135,95,359,26.46239554,1091,75.2,520317,52,54.73684211
ALEDO ISD,Fort Worth,24.2,60.2,2015,310,728,61.1,2.348387097,103,420,24.52380952,1091,66,517205,,
ALEDO ISD,Fort Worth,23.7,56.8,2016,269,648,60.6,2.408921933,108,370,29.18918919,1066,67,507627,,
ALEDO ISD,Fort Worth,24.3,55.5,2017,288,669,56.1,2.322916667,101,402,25.12437811,1153,69.4,537553,,
ALIEF ISD,Houston,18.2,18.7,2011,1410,2791,21.8,1.979432624,492,2558,19.23377639,893,62.8,267266,111,22.56097561
ALIEF ISD,Houston,18.2,20.7,2012,1564,3182,18.8,2.034526854,455,2425,18.7628866,880,58.8,249968,92,20.21978022
ALIEF ISD,Houston,18.1,22.6,2013,1232,2164,28.1,1.756493506,461,2566,17.96570538,873,60.3,248959,125,27.11496746
ALIEF ISD,Houston,18.2,25.4,2014,1113,2132,33.3,1.915543576,504,2600,19.38461538,877,64.4,249467,138,27.38095238
ALIEF ISD,Houston,18.8,19.6,2015,1128,2122,28.3,1.881205674,503,2560,19.6484375,881,64.1,258678,,
ALIEF ISD,Houston,18.4,14.5,2016,1174,2425,28.6,2.065587734,453,2639,17.16559303,804,94.8,283387,,
ALIEF ISD,Houston,19,12.9,2017,1165,2444,28.9,2.097854077,516,2702,19.09696521,920,93.2,319295,,
ALLEN ISD,Richardson,24.1,48.8,2011,837,1796,60.1,2.145758662,221,1218,18.14449918,1096,76.2,390167,132,59.72850679
ALLEN ISD,Richardson,24.1,45.1,2012,864,2005,65.9,2.320601852,271,1215,22.30452675,1084,74.7,387115,134,49.44649446
ALLEN ISD,Richardson,24.4,42.2,2013,763,1783,72.4,2.336828309,257,1300,19.76923077,1104,70.3,388622,159,61.86770428
ALLEN ISD,Richardson,24.1,45.8,2014,850,2113,79.6,2.485882353,295,1407,20.96659559,1092,67.6,397446,178,60.33898305
ALLEN ISD,Richardson,24.3,52.7,2015,941,2317.5,81.8,2.462805526,357,1365,26.15384615,1113,67.9,415021,,
ALLEN ISD,Richardson,24.4,49.1,2016,1014,2407.5,79.1,2.374260355,351,1519,23.10730744,1091,68.1,445482,,
ALLEN ISD,Richardson,25.3,46.2,2017,1064,2985,77.5,2.805451128,390,1533,25.44031311,1130,93.7,497425,,
ALVIN ISD,Houston,20.3,17.2,2011,399,943,40.1,2.363408521,139,920,15.10869565,953,53.7,216299,57,41.00719424
ALVIN ISD,Houston,20.4,18.8,2012,424,970,48.9,2.287735849,164,1021,16.06268364,951,50.5,213786,51,31.09756098
ALVIN ISD,Houston,20.6,17.8,2013,398,848,48.1,2.130653266,188,1056,17.8030303,971,46,213476,69,36.70212766
ALVIN ISD,Houston,20.2,18,2014,447,985,49.8,2.203579418,195,1022,19.08023483,962,49.7,212809,77,39.48717949
ALVIN ISD,Houston,20.8,19.4,2015,578,1359,36.2,2.351211073,230,1194,19.26298157,962,46.7,224168,,
ALVIN ISD,Houston,20,17.8,2016,577,1474,43.8,2.554592721,254,1317,19.28625664,934,49.6,222517,,
ALVIN ISD,Houston,20.6,14.1,2017,656,1673,49.9,2.550304878,251,1330,18.87218045,978,76.4,229859,,
ANAHUAC ISD,Houston,20.4,46.9,2013,48,72,9.7,1.5,18,81,22.22222222,895,55.6,278893,6,33.33333333
ANAHUAC ISD,Houston,19,46.2,2014,67.5,90,3.1,1.333333333,21,65,32.30769231,905,63.1,332679,7,33.33333333
ANAHUAC ISD,Houston,19,48.1,2015,42,73,11,1.738095238,18,81,22.22222222,894,43.2,422981,,
ANGLETON ISD,Houston,21.3,8.7,2011,101,198,39.4,1.96039604,88,463,19.00647948,967,50.5,396881,41,46.59090909
ANGLETON ISD,Houston,21.2,6.2,2012,95,164,36,1.726315789,54,404,13.36633663,957,40.3,359004,18,33.33333333
ANGLETON ISD,Houston,19.9,12.3,2013,116,218,34.4,1.879310345,65,473,13.74207188,945,38.9,358284,24,36.92307692
ANGLETON ISD,Houston,18.6,11.3,2014,154,289,36.3,1.876623377,70,417,16.78657074,965,43.2,360331,31,44.28571429
ANGLETON ISD,Houston,20.3,11.9,2015,190,341,14.1,1.794736842,70,412,16.99029126,932,52.2,337541,,
ANGLETON ISD,Houston,19.7,11.8,2016,215,413,20.3,1.920930233,71,433,16.39722864,932,45,348473,,
ANGLETON ISD,Houston,21.3,9.8,2017,235,483,22.4,2.055319149,54,420,12.85714286,1048,37.6,378109,,
ANNA ISD,Richardson,22.3,10.5,2015,37,55,38.2,1.486486486,16,143,11.18881119,990,45.5,204233,,
ARGYLE ISD,Fort Worth,24.6,50.3,2011,94,215,72.6,2.287234043,51,153,33.33333333,1097,83.7,598246,28,54.90196078
ARGYLE ISD,Fort Worth,23.6,64.2,2012,89,202,62.4,2.269662921,68,162,41.97530864,1079,80.2,599216,33,48.52941176
ARGYLE ISD,Fort Worth,23.3,62,2013,83,190,69.5,2.289156627,49,150,32.66666667,1069,71.3,607796,24,48.97959184
ARGYLE ISD,Fort Worth,24.5,73.3,2014,116,245,72.7,2.112068966,55,176,31.25,1082,81.3,574613,34,61.81818182
ARGYLE ISD,Fort Worth,24.5,63.1,2015,67,138,74.6,2.059701493,63,176,35.79545455,1107,73.3,553208,,
ARGYLE ISD,Fort Worth,24,82,2016,46,102,80.4,2.217391304,52,167,31.13772455,1083,64.1,544808,,
