DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ALAMO HEIGHTS ISD,San Antonio,24.2,50.9,2011,336.0,739.0,66.4,2.199404762,73.0,379,19.26121372,1180.0,87.5,1098268
ALAMO HEIGHTS ISD,San Antonio,23.9,52.1,2012,355.0,836.0,66.3,2.354929577,101.0,374,27.00534759,1175.0,85.0,1061587
ALAMO HEIGHTS ISD,San Antonio,24.7,64.5,2013,328.0,753.0,69.2,2.295731707,102.0,355,28.73239437,1179.0,84.5,1056007
ALAMO HEIGHTS ISD,San Antonio,24.7,58.9,2014,292.0,668.0,74.0,2.287671233,104.0,353,29.46175637,1179.0,83.9,1081447
ALAMO HEIGHTS ISD,San Antonio,24.5,60.4,2015,295.0,668.0,71.9,2.26440678,75.0,369,20.32520325,1164.0,78.6,1137027
ALAMO HEIGHTS ISD,San Antonio,24.0,65.0,2016,320.0,755.0,76.6,2.359375,95.0,380,25.0,1158.0,82.4,1179836
ALAMO HEIGHTS ISD,San Antonio,24.5,62.5,2017,314.0,740.0,74.5,2.356687898,118.0,411,28.71046229,1159.0,79.3,1296290
ALDINE ISD,Houston,17.7,26.1,2011,1399.0,2582.0,15.9,1.845604003,496.0,2991,16.58308258,959.0,51.7,227596
ALDINE ISD,Houston,17.7,28.9,2012,1359.0,2344.0,18.8,1.724797645,523.0,2980,17.55033557,956.0,48.9,210385
ALDINE ISD,Houston,17.8,28.9,2013,1240.0,2191.0,17.9,1.766935484,447.0,3052,14.64613368,938.0,51.7,211736
ALDINE ISD,Houston,17.7,36.5,2014,1545.0,2722.0,16.9,1.7618122980000002,542.0,3080,17.597402600000002,948.0,53.2,215342
ALDINE ISD,Houston,18.2,21.0,2015,1736.0,3082.5,14.4,1.775633641,539.0,3370,15.99406528,873.0,88.0,231165
ALDINE ISD,Houston,17.7,22.0,2016,1615.0,3099.0,16.2,1.918885449,529.0,3556,14.87626547,846.0,94.1,253334
ALDINE ISD,Houston,17.9,19.4,2017,1501.0,2617.0,15.8,1.74350433,569.0,3665,15.52523874,876.0,92.9,293519
ALEDO ISD,Fort Worth,24.9,49.4,2011,243.0,520.0,62.9,2.139917695,97.0,372,26.07526882,1164.0,80.9,571536
ALEDO ISD,Fort Worth,24.2,52.4,2012,254.0,533.0,67.7,2.098425197,90.0,393,22.90076336,1154.0,69.7,578269
ALEDO ISD,Fort Worth,23.9,52.4,2013,270.0,563.0,60.6,2.085185185,82.0,349,23.49570201,1148.0,74.5,541482
ALEDO ISD,Fort Worth,24.1,61.8,2014,296.0,632.0,67.9,2.135135135,95.0,359,26.46239554,1147.0,75.2,520317
ALEDO ISD,Fort Worth,24.2,60.2,2015,310.0,728.0,61.1,2.348387097,103.0,420,24.52380952,1154.0,66.0,517205
ALEDO ISD,Fort Worth,23.7,56.8,2016,269.0,648.0,60.6,2.4089219330000002,108.0,370,29.18918919,1140.0,67.0,507627
ALEDO ISD,Fort Worth,24.3,55.5,2017,288.0,669.0,56.1,2.322916667,101.0,402,25.12437811,1153.0,69.4,537553
ALIEF ISD,Houston,18.2,18.7,2011,1410.0,2791.0,21.8,1.979432624,492.0,2558,19.23377639,982.0,62.8,267266
ALIEF ISD,Houston,18.2,20.7,2012,1564.0,3182.0,18.8,2.034526854,455.0,2425,18.7628866,957.0,58.8,249968
