DistName,RegnName,Year,ACT-Composite,ACT-Part_Rate,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),SAT-Total,SAT-Part_Rate,Wealth/ADA
ALAMO HEIGHTS ISD,San Antonio,2011,24.2,50.9,336,739,66.4,2.199404762,73,379,19.26121372,1107,87.5,1098268
ALAMO HEIGHTS ISD,San Antonio,2012,23.9,52.1,355,836,66.3,2.354929577,101,374,27.00534759,1109,85,1061587
ALAMO HEIGHTS ISD,San Antonio,2013,24.7,64.5,328,753,69.2,2.295731707,102,355,28.73239437,1105,84.5,1056007
ALAMO HEIGHTS ISD,San Antonio,2014,24.7,58.9,292,668,74,2.287671233,104,353,29.46175637,1117,83.9,1081447
ALAMO HEIGHTS ISD,San Antonio,2015,24.5,60.4,295,668,71.9,2.26440678,75,369,20.32520325,1100,78.6,1137027
ALAMO HEIGHTS ISD,San Antonio,2016,24,65,320,755,76.6,2.359375,95,380,25,1083,82.4,1179836
ALAMO HEIGHTS ISD,San Antonio,2017,24.5,62.5,314,740,74.5,2.356687898,118,411,28.71046229,1159,79.3,1296290
ALDINE ISD,Houston,2011,17.7,26.1,1399,2582,15.9,1.845604003,496,2991,16.58308258,881,51.7,227596
ALDINE ISD,Houston,2012,17.7,28.9,1359,2344,18.8,1.724797645,523,2980,17.55033557,869,48.9,210385
ALDINE ISD,Houston,2013,17.8,28.9,1240,2191,17.9,1.766935484,447,3052,14.64613368,861,51.7,211736
ALDINE ISD,Houston,2014,17.7,36.5,1545,2722,16.9,1.761812298,542,3080,17.5974026,860,53.2,215342
ALDINE ISD,Houston,2015,18.2,21,1736,3082.5,14.4,1.775633641,539,3370,15.99406528,791,88,231165
ALDINE ISD,Houston,2016,17.7,22,1615,3099,16.2,1.918885449,529,3556,14.87626547,766,94.1,253334
ALDINE ISD,Houston,2017,17.9,19.4,1501,2617,15.8,1.74350433,569,3665,15.52523874,876,92.9,293519
ALEDO ISD,Fort Worth,2011,24.9,49.4,243,520,62.9,2.139917695,97,372,26.07526882,1108,80.9,571536
ALEDO ISD,Fort Worth,2012,24.2,52.4,254,533,67.7,2.098425197,90,393,22.90076336,1093,69.7,578269
ALEDO ISD,Fort Worth,2013,23.9,52.4,270,563,60.6,2.085185185,82,349,23.49570201,1084,74.5,541482
