DistName,RegnName,ACT-Composite,ACT-Part_Rate,Year
Charlotte ISD,San Antonio,16.9,43.8,2011
Jourdanton ISD,San Antonio,20.4,44.1,2011
Lytle ISD,San Antonio,18.5,61.6,2011
Pleasanton ISD,San Antonio,20.6,21.6,2011
Poteet ISD,San Antonio,20.3,18.3,2011
Medina ISD,San Antonio,17.5,38.1,2011
Bandera ISD,San Antonio,23.1,50.9,2011
Bastrop ISD,Austin,19.4,15.4,2011
Elgin ISD,Austin,19.0,20.7,2011
Smithville ISD,Austin,21.0,,2011
Bartlett ISD,Austin,,,2011
Alamo Heights ISD,San Antonio,24.2,50.9,2011
Harlandale ISD,San Antonio,18.7,23.9,2011
Edgewood ISD,San Antonio,17.8,23.9,2011
Randolph Field ISD,San Antonio,25.4,49.4,2011
San Antonio ISD,San Antonio,16.7,27.1,2011
South San Antonio ISD,San Antonio,17.9,20.9,2011
Somerset ISD,San Antonio,17.5,22.0,2011
North East ISD,San Antonio,22.3,25.4,2011
East Central ISD,San Antonio,19.8,14.3,2011
Southwest ISD,San Antonio,17.1,5.4,2011
Lackland ISD,San Antonio,20.9,100.0,2011
Ft Sam Houston ISD,San Antonio,23.0,50.8,2011
Northside ISD,San Antonio,21.4,24.4,2011
Judson ISD,San Antonio,19.3,13.6,2011
Southside ISD,San Antonio,19.1,29.3,2011
Johnson City ISD,Austin,22.7,16.7,2011
Blanco ISD,Austin,21.3,70.3,2011
Alvin ISD,Houston,20.3,17.2,2011
Angleton ISD,Houston,21.3,8.7,2011
Danbury ISD,Houston,20.0,21.2,2011
Brazosport ISD,Houston,22.1,17.0,2011
Sweeny ISD,Houston,21.8,28.5,2011
Columbia-Brazoria ISD,Houston,21.7,19.0,2011
Pearland ISD,Houston,22.1,19.6,2011
Marble Falls ISD,Austin,22.3,38.9,2011
Lockhart ISD,Austin,18.8,33.9,2011
Luling ISD,Austin,20.3,25.0,2011
Prairie Lea ISD,Austin,16.7,,2011
Anahuac ISD,Houston,19.7,38.5,2011
Barbers Hill ISD,Houston,22.1,17.9,2011
East Chambers ISD,Houston,20.2,40.7,2011
Allen ISD,Richardson,24.1,48.8,2011
Anna ISD,Richardson,21.7,19.0,2011
Celina ISD,Richardson,22.6,97.0,2011
Farmersville ISD,Richardson,21.6,24.7,2011
Frisco ISD,Richardson,23.6,46.2,2011
McKinney ISD,Richardson,23.0,47.2,2011
Melissa ISD,Richardson,20.5,55.6,2011
Plano ISD,Richardson,25.7,50.1,2011
Princeton ISD,Richardson,19.9,12.4,2011
Prosper ISD,Richardson,22.7,54.4,2011
Wylie ISD,Richardson,23.1,28.1,2011
Blue Ridge ISD,Richardson,19.7,56.5,2011
Community ISD,Richardson,20.0,32.1,2011
Lovejoy ISD,Richardson,24.0,61.8,2011
New Braunfels ISD,Austin,21.9,21.9,2011
Comal ISD,Austin,22.1,29.4,2011
Gainesville ISD,Fort Worth,22.4,40.3,2011
Muenster ISD,Fort Worth,24.2,,2011
Valley View ISD,Fort Worth,21.5,39.4,2011
Callisburg ISD,Fort Worth,21.4,,2011
Era ISD,Fort Worth,21.5,84.8,2011
Lindsay ISD,Fort Worth,24.7,50.0,2011
Carrollton-Farmers Branch ISD,Richardson,21.6,27.5,2011
Cedar Hill ISD,Richardson,18.3,60.1,2011
Dallas ISD,Richardson,17.1,44.5,2011
Desoto ISD,Richardson,17.1,46.6,2011
Duncanville ISD,Richardson,19.3,41.9,2011
Garland ISD,Richardson,20.6,25.9,2011
Grand Prairie ISD,Richardson,19.3,,2011
Highland Park ISD,Richardson,26.8,81.2,2011
Irving ISD,Richardson,18.7,15.2,2011
Lancaster ISD,Richardson,15.4,62.3,2011
Mesquite ISD,Richardson,19.2,26.5,2011
Richardson ISD,Richardson,22.2,46.3,2011
Sunnyvale ISD,Richardson,22.8,68.2,2011
Coppell ISD,Richardson,25.2,63.9,2011
Denton ISD,Fort Worth,21.2,38.0,2011
Lewisville ISD,Fort Worth,23.8,44.4,2011
Pilot Point ISD,Fort Worth,21.5,33.3,2011
Krum ISD,Fort Worth,21.8,18.1,2011
Ponder ISD,Fort Worth,23.5,30.0,2011
Aubrey ISD,Fort Worth,22.5,40.2,2011
Sanger ISD,Fort Worth,20.1,30.4,2011
Argyle ISD,Fort Worth,24.6,50.3,2011
Northwest ISD,Fort Worth,22.7,26.7,2011
Lake Dallas ISD,Fort Worth,21.8,23.0,2011
Little Elm ISD,Fort Worth,20.4,29.7,2011
Avalon ISD,Richardson,,,2011
Ennis ISD,Richardson,20.6,47.4,2011
Ferris ISD,Richardson,18.9,24.8,2011
Italy ISD,Richardson,17.6,55.3,2011
Midlothian ISD,Richardson,21.5,56.0,2011
Milford ISD,Richardson,18.9,94.1,2011
Palmer ISD,Richardson,18.6,22.2,2011
Red Oak ISD,Richardson,21.6,33.1,2011
Waxahachie ISD,Richardson,21.3,29.1,2011
Maypearl ISD,Richardson,20.4,46.7,2011
Dublin ISD,Fort Worth,19.2,38.0,2011
Huckabay ISD,Fort Worth,23.6,83.3,2011
Lingleville ISD,Fort Worth,19.0,69.2,2011
Bonham ISD,Richardson,20.6,28.4,2011
Dodd City ISD,Richardson,20.6,127.3,2011
Ector ISD,Richardson,22.3,50.0,2011
Honey Grove ISD,Richardson,21.8,64.1,2011
Leonard ISD,Richardson,21.0,49.3,2011
Savoy ISD,Richardson,20.3,,2011
Trenton ISD,Richardson,20.6,28.1,2011
Sam Rayburn ISD,Richardson,19.1,77.3,2011
Flatonia ISD,Austin,20.8,67.6,2011
La Grange ISD,Austin,20.8,15.9,2011
Schulenburg ISD,Austin,19.6,37.0,2011
Fayetteville ISD,Austin,22.0,57.1,2011
Round Top-Carmine ISD,Austin,24.1,53.8,2011
Needville ISD,Houston,22.0,43.6,2011
Fort Bend ISD,Houston,22.5,34.5,2011
Dilley ISD,San Antonio,16.6,62.3,2011
Pearsall ISD,San Antonio,18.9,62.3,2011
Dickinson ISD,Houston,19.2,10.5,2011
Galveston ISD,Houston,19.6,16.4,2011
La Marque ISD,Houston,16.7,40.6,2011
Texas City ISD,Houston,20.8,8.7,2011
Hitchcock ISD,Houston,18.6,34.8,2011
Santa Fe ISD,Houston,20.3,8.6,2011
Clear Creek ISD,Houston,23.5,31.2,2011
Friendswood ISD,Houston,25.0,47.9,2011
Fredericksburg ISD,Austin,21.5,41.4,2011
Harper ISD,Austin,22.1,73.9,2011
Gonzales ISD,Austin,19.4,46.2,2011
Waelder ISD,Austin,19.7,,2011
Bells ISD,Richardson,20.8,18.0,2011
Collinsville ISD,Richardson,20.3,100.0,2011
Denison ISD,Richardson,21.3,41.7,2011
Howe ISD,Richardson,23.4,61.8,2011
Sherman ISD,Richardson,20.8,29.8,2011
Van Alstyne ISD,Richardson,22.6,46.9,2011
Whitesboro ISD,Richardson,21.9,47.5,2011
Whitewright ISD,Richardson,22.3,43.1,2011
Pottsboro ISD,Richardson,22.0,43.7,2011
Gunter ISD,Richardson,22.5,61.8,2011
Tom Bean ISD,Richardson,20.5,27.6,2011
Seguin ISD,Austin,19.3,23.6,2011
Schertz-Cibolo-U City ISD,Austin,22.8,20.1,2011
Navarro ISD,Austin,21.4,30.4,2011
Marion ISD,Austin,20.8,10.4,2011
Aldine ISD,Houston,17.7,26.1,2011
Alief ISD,Houston,18.2,18.7,2011
Channelview ISD,Houston,17.0,11.4,2011
Crosby ISD,Houston,18.6,32.4,2011
Cypress-Fairbanks ISD,Houston,21.5,28.3,2011
Deer Park ISD,Houston,21.8,16.3,2011
North Forest ISD,Houston,15.5,19.9,2011
Galena Park ISD,Houston,18.1,37.4,2011
Houston ISD,Houston,19.6,29.7,2011
Humble ISD,Houston,22.4,30.3,2011
Katy ISD,Houston,23.7,34.8,2011
