DistName,RegnName,AP-11&12 Participating Students,AP-Total Exams,AP-Passed(%),AP-Exams Taken Per Student,Year
Lytle ISD,San Antonio,44.0,54.0,13.0,1.2272727272727273,2011
Greenville ISD,Richardson,109.0,193.0,12.4,1.7706422018348624,2011
Burleson ISD,Fort Worth,174.0,366.0,55.7,2.103448275862069,2011
Cleburne ISD,Fort Worth,94.0,120.0,35.8,1.2765957446808511,2011
Joshua ISD,Fort Worth,56.0,97.0,66.0,1.7321428571428572,2011
Crandall ISD,Richardson,66.0,96.0,7.3,1.4545454545454546,2011
Forney ISD,Richardson,149.0,334.0,34.7,2.2416107382550337,2011
Kaufman ISD,Richardson,66.0,125.0,27.2,1.893939393939394,2011
Granbury ISD,Fort Worth,203.0,358.0,49.4,1.7635467980295567,2011
Mabank ISD,Richardson,81.0,94.0,31.9,1.1604938271604939,2011
Boerne ISD,San Antonio,427.0,1183.0,60.6,2.7704918032786887,2011
Kerrville ISD,San Antonio,153.0,275.0,57.8,1.7973856209150327,2011
Ingram ISD,San Antonio,43.0,61.0,37.7,1.4186046511627908,2011
Giddings ISD,Austin,36.0,60.0,38.3,1.6666666666666667,2011
Dayton ISD,Houston,64.0,122.0,29.5,1.90625,2011
Liberty ISD,Houston,29.0,71.0,28.2,2.4482758620689653,2011
Terrell ISD,Richardson,70.0,106.0,11.3,1.5142857142857142,2011
Tarkington ISD,Houston,29.0,53.0,41.5,1.8275862068965518,2011
Wimberley ISD,Austin,89.0,173.0,57.8,1.9438202247191012,2011
Huffman ISD,Houston,104.0,183.0,35.5,1.7596153846153846,2011
Channelview ISD,Houston,159.0,278.0,41.4,1.748427672955975,2011
Crosby ISD,Houston,104.0,206.0,40.8,1.9807692307692308,2011
Cypress-Fairbanks ISD,Houston,2735.0,6181.0,60.4,2.259963436928702,2011
Deer Park ISD,Houston,240.0,445.0,45.6,1.8541666666666667,2011
Galena Park ISD,Houston,267.0,537.0,55.1,2.0112359550561796,2011
Houston ISD,Houston,6786.0,14971.0,33.6,2.2061597406424993,2011
Dripping Springs ISD,Austin,234.0,579.0,69.9,2.4743589743589745,2011
Humble ISD,Houston,978.0,1989.0,58.1,2.0337423312883436,2011
Klein ISD,Houston,1119.0,2304.0,57.9,2.058981233243968,2011
La Porte ISD,Houston,186.0,345.0,36.5,1.8548387096774193,2011
Pasadena ISD,Houston,1356.0,2811.0,29.8,2.0730088495575223,2011
Spring ISD,Houston,613.0,1232.0,23.8,2.0097879282218596,2011
Spring Branch ISD,Houston,1275.0,3315.0,65.6,2.6,2011
Tomball ISD,Houston,372.0,736.0,61.4,1.978494623655914,2011
Sheldon ISD,Houston,82.0,145.0,22.1,1.7682926829268293,2011
Katy ISD,Houston,2423.0,6522.0,78.0,2.69170449855551,2011
Eagle Pass ISD,San Antonio,236.0,392.0,42.6,1.6610169491525424,2011
Weatherford ISD,Fort Worth,297.0,560.0,50.5,1.8855218855218856,2011
Aledo ISD,Fort Worth,243.0,520.0,62.9,2.139917695473251,2011
Eanes ISD,Austin,802.0,2600.0,76.5,3.2418952618453867,2011
Del Valle ISD,Austin,334.0,602.0,24.4,1.8023952095808384,2011
Lago Vista ISD,Austin,55.0,104.0,52.9,1.8909090909090909,2011
Lake Travis ISD,Austin,348.0,714.0,73.0,2.0517241379310347,2011
Canton ISD,Richardson,65.0,104.0,42.3,1.6,2011
Waller ISD,Houston,140.0,276.0,17.4,1.9714285714285715,2011
Georgetown ISD,Austin,261.0,528.0,61.2,2.0229885057471266,2011
Manor ISD,Austin,191.0,313.0,4.2,1.638743455497382,2011
Hutto ISD,Austin,163.0,332.0,34.3,2.03680981595092,2011
Round Rock ISD,Austin,2019.0,4843.0,70.0,2.3987122337790985,2011
Taylor ISD,Austin,54.0,94.0,38.3,1.7407407407407407,2011
Leander ISD,Austin,1284.0,2802.0,59.4,2.182242990654206,2011
Floresville ISD,San Antonio,114.0,155.0,13.5,1.3596491228070176,2011
La Vernia ISD,San Antonio,52.0,72.0,63.9,1.3846153846153846,2011
Bridgeport ISD,Fort Worth,37.0,67.0,34.3,1.8108108108108107,2011
Decatur ISD,Fort Worth,47.0,91.0,59.3,1.9361702127659575,2011
Liberty Hill ISD,Austin,86.0,117.0,65.8,1.3604651162790697,2011
Pflugerville ISD,Austin,813.0,1927.0,50.3,2.3702337023370235,2011
Austin ISD,Austin,3188.0,6933.0,49.1,2.1747176913425346,2011
White Settlement ISD,Fort Worth,75.0,128.0,39.1,1.7066666666666668,2011
Rockwall ISD,Richardson,781.0,1691.0,54.0,2.1651728553137004,2011
Royse City ISD,Richardson,143.0,280.0,32.9,1.9580419580419581,2011
Arlington ISD,Fort Worth,1229.0,2662.0,43.3,2.1659886086248985,2011
Birdville ISD,Fort Worth,909.0,2219.0,39.8,2.441144114411441,2011
Everman ISD,Fort Worth,126.0,192.0,6.3,1.5238095238095237,2011
Fort Worth ISD,Fort Worth,2052.0,4734.0,27.1,2.307017543859649,2011
Grapevine-Colleyville ISD,Fort Worth,1142.0,3338.0,65.6,2.9229422066549913,2011
Keller ISD,Fort Worth,1074.0,2472.0,59.4,2.3016759776536313,2011
Mansfield ISD,Fort Worth,1312.0,2445.0,25.9,1.8635670731707317,2011
Lake Worth ISD,Fort Worth,50.0,99.0,21.2,1.98,2011
