DistName,Enrolled 4-Year,Total Graduated,Enrolled 4-Year (%),Year
ABBOTT ISD,,14.0,,2011
ABERNATHY ISD,9.0,49.0,18.367346938775512,2011
ABILENE ISD,130.0,1027.0,12.658227848101266,2011
ACADEMY ISD,13.0,78.0,16.666666666666664,2011
ADRIAN ISD,,7.0,,2011
AGUA DULCE ISD,11.0,28.0,39.285714285714285,2011
ALAMO HEIGHTS ISD,73.0,379.0,19.261213720316622,2011
ALBA-GOLDEN ISD,6.0,54.0,11.11111111111111,2011
ALBANY ISD,7.0,42.0,16.666666666666664,2011
ALDINE ISD,496.0,2991.0,16.583082581076564,2011
ALEDO ISD,97.0,372.0,26.0752688172043,2011
ALICE ISD,62.0,242.0,25.6198347107438,2011
ALIEF ISD,492.0,2558.0,19.23377638780297,2011
ALLEN ISD,221.0,1218.0,18.14449917898194,2011
ALPINE ISD,29.0,72.0,40.27777777777778,2011
ALTO ISD,5.0,36.0,13.88888888888889,2011
ALVARADO ISD,41.0,248.0,16.532258064516128,2011
ALVIN ISD,139.0,920.0,15.108695652173912,2011
ALVORD ISD,8.0,48.0,16.666666666666664,2011
AMARILLO ISD,268.0,1798.0,14.905450500556173,2011
AMHERST ISD,,21.0,,2011
ANAHUAC ISD,27.0,108.0,25.0,2011
ANDREWS ISD,30.0,195.0,15.384615384615385,2011
ANGLETON ISD,88.0,463.0,19.00647948164147,2011
ANNA ISD,16.0,137.0,11.678832116788321,2011
ANSON ISD,12.0,51.0,23.52941176470588,2011
ANTHONY ISD,,36.0,,2011
ANTON ISD,,22.0,,2011
APPLE SPRINGS ISD,,16.0,,2011
AQUILLA ISD,,19.0,,2011
ARANSAS COUNTY ISD,55.0,210.0,26.190476190476193,2011
ARANSAS PASS ISD,15.0,115.0,13.043478260869565,2011
ARCHER CITY ISD,11.0,33.0,33.33333333333333,2011
ARGYLE ISD,51.0,153.0,33.33333333333333,2011
ARLINGTON ISD,807.0,3611.0,22.34837995015231,2011
ARP ISD,8.0,73.0,10.95890410958904,2011
ASPERMONT ISD,,11.0,,2011
ATHENS ISD,23.0,188.0,12.23404255319149,2011
ATLANTA ISD,10.0,119.0,8.403361344537815,2011
AUBREY ISD,34.0,111.0,30.630630630630627,2011
AUSTIN ISD,855.0,4174.0,20.4839482510781,2011
AUSTWELL-TIVOLI ISD,,15.0,,2011
AVALON ISD,,19.0,,2011
AVERY ISD,6.0,35.0,17.142857142857142,2011
AVINGER ISD,,9.0,,2011
AXTELL ISD,8.0,55.0,14.545454545454545,2011
AZLE ISD,55.0,342.0,16.08187134502924,2011
BAIRD ISD,5.0,26.0,19.230769230769234,2011
BALLINGER ISD,24.0,74.0,32.432432432432435,2011
BALMORHEA ISD,,13.0,,2011
BANDERA ISD,41.0,192.0,21.354166666666664,2011
BANGS ISD,15.0,77.0,19.480519480519483,2011
BANQUETE ISD,14.0,57.0,24.561403508771928,2011
BARBERS HILL ISD,63.0,282.0,22.340425531914892,2011
BARTLETT ISD,,15.0,,2011
BASTROP ISD,112.0,525.0,21.333333333333336,2011
BAY CITY ISD,41.0,241.0,17.012448132780083,2011
BEAUMONT ISD,443.0,1202.0,36.85524126455907,2011
BECKVILLE ISD,,37.0,,2011
BEEVILLE ISD,18.0,251.0,7.171314741035857,2011
BELLEVUE ISD,,19.0,,2011
BELLS ISD,5.0,54.0,9.25925925925926,2011
BELLVILLE ISD,29.0,156.0,18.58974358974359,2011
BELTON ISD,92.0,619.0,14.862681744749596,2011
BEN BOLT-PALITO BLANCO ISD,15.0,45.0,33.33333333333333,2011
BENAVIDES ISD,9.0,29.0,31.03448275862069,2011
BENJAMIN ISD,,,,2011
BIG SANDY ISD,5.0,29.0,17.24137931034483,2011
BIG SANDY ISD,,44.0,,2011
BIG SPRING ISD,31.0,235.0,13.191489361702127,2011
BIRDVILLE ISD,213.0,1446.0,14.730290456431536,2011
BLANCO ISD,18.0,79.0,22.78481012658228,2011
BLAND ISD,10.0,37.0,27.027027027027028,2011
BLANKET ISD,,18.0,,2011
BLOOMBURG ISD,6.0,26.0,23.076923076923077,2011
BLOOMING GROVE ISD,10.0,66.0,15.151515151515152,2011
BLOOMINGTON ISD,,31.0,,2011
BLUE RIDGE ISD,,33.0,,2011
BLUM ISD,,30.0,,2011
BOERNE ISD,181.0,506.0,35.77075098814229,2011
BOLES ISD,6.0,41.0,14.634146341463413,2011
BOLING ISD,9.0,67.0,13.432835820895523,2011
BONHAM ISD,10.0,107.0,9.345794392523365,2011
BOOKER ISD,,21.0,,2011
BORDEN COUNTY ISD,6.0,17.0,35.294117647058826,2011
BORGER ISD,26.0,161.0,16.149068322981368,2011
BOSQUEVILLE ISD,7.0,35.0,20.0,2011
BOVINA ISD,,36.0,,2011
BOWIE ISD,17.0,92.0,18.478260869565215,2011
BOYD ISD,18.0,83.0,21.686746987951807,2011
BOYS RANCH ISD,,28.0,,2011
BRACKETT ISD,14.0,58.0,24.137931034482758,2011
BRADY ISD,27.0,88.0,30.681818181818183,2011
BRAZOS ISD,9.0,49.0,18.367346938775512,2011
BRAZOSPORT ISD,129.0,874.0,14.759725400457665,2011
BRECKENRIDGE ISD,27.0,103.0,26.21359223300971,2011
BREMOND ISD,9.0,48.0,18.75,2011
BRENHAM ISD,61.0,313.0,19.488817891373802,2011
BRIDGE CITY ISD,30.0,173.0,17.341040462427745,2011
BRIDGEPORT ISD,27.0,150.0,18.0,2011
BROADDUS ISD,,29.0,,2011
BROCK ISD,14.0,70.0,20.0,2011
BRONTE ISD,9.0,22.0,40.909090909090914,2011
BROOKELAND ISD,5.0,31.0,16.129032258064516,2011
BROOKESMITH ISD,,12.0,,2011
BROOKS COUNTY ISD,21.0,69.0,30.434782608695656,2011
BROWNFIELD ISD,12.0,121.0,9.917355371900827,2011
BROWNSBORO ISD,19.0,210.0,9.047619047619047,2011
BROWNSVILLE ISD,657.0,2771.0,23.7098520389751,2011
BROWNWOOD ISD,22.0,188.0,11.702127659574469,2011
BRUCEVILLE-EDDY ISD,5.0,50.0,10.0,2011
BRYAN ISD,139.0,823.0,16.889428918590525,2011
BRYSON ISD,,10.0,,2011
BUCKHOLTS ISD,,15.0,,2011
BUENA VISTA ISD,,9.0,,2011
BUFFALO ISD,,52.0,,2011
BULLARD ISD,17.0,124.0,13.709677419354838,2011
BUNA ISD,19.0,87.0,21.839080459770116,2011
BURKBURNETT ISD,39.0,186.0,20.967741935483872,2011
BURKEVILLE ISD,5.0,27.0,18.51851851851852,2011
BURLESON ISD,100.0,636.0,15.723270440251572,2011
BURTON ISD,,29.0,,2011
BUSHLAND ISD,26.0,90.0,28.888888888888886,2011
BYERS ISD,,,,2011
BYNUM ISD,,14.0,,2011
CADDO MILLS ISD,23.0,107.0,21.49532710280374,2011
CALALLEN ISD,85.0,284.0,29.929577464788732,2011
CALDWELL ISD,21.0,121.0,17.355371900826448,2011
CALHOUN COUNTY ISD,54.0,300.0,18.0,2011
CALLISBURG ISD,7.0,83.0,8.433734939759036,2011
CALVERT ISD,,13.0,,2011
CAMERON ISD,22.0,101.0,21.782178217821784,2011
CAMPBELL ISD,,29.0,,2011
CANADIAN ISD,5.0,50.0,10.0,2011
CANTON ISD,21.0,129.0,16.27906976744186,2011
CANUTILLO ISD,84.0,416.0,20.192307692307693,2011
CANYON ISD,135.0,553.0,24.412296564195298,2011
CARLISLE ISD,,41.0,,2011
CARROLL ISD,130.0,565.0,23.008849557522122,2011
CARROLLTON-FARMERS BRANCH ISD,318.0,1568.0,20.28061224489796,2011
CARTHAGE ISD,12.0,189.0,6.349206349206349,2011
CASTLEBERRY ISD,35.0,172.0,20.348837209302324,2011
CAYUGA ISD,9.0,45.0,20.0,2011
CEDAR HILL ISD,120.0,534.0,22.47191011235955,2011
CELESTE ISD,7.0,39.0,17.94871794871795,2011
CELINA ISD,28.0,115.0,24.347826086956523,2011
CENTER ISD,15.0,136.0,11.029411764705882,2011
CENTER POINT ISD,8.0,37.0,21.62162162162162,2011
CENTERVILLE ISD,10.0,36.0,27.77777777777778,2011
CENTERVILLE ISD,,10.0,,2011
CENTRAL HEIGHTS ISD,20.0,49.0,40.816326530612244,2011
CENTRAL ISD,12.0,109.0,11.009174311926607,2011
CHANNELVIEW ISD,53.0,491.0,10.79429735234216,2011
CHANNING ISD,,12.0,,2011
CHAPEL HILL ISD,21.0,161.0,13.043478260869565,2011
CHAPEL HILL ISD,5.0,65.0,7.6923076923076925,2011
CHARLOTTE ISD,6.0,39.0,15.384615384615385,2011
CHEROKEE ISD,,5.0,,2011
CHESTER ISD,,9.0,,2011
CHICO ISD,,41.0,,2011
CHILDRESS ISD,19.0,66.0,28.78787878787879,2011
CHILLICOTHE ISD,,21.0,,2011
CHILTON ISD,5.0,27.0,18.51851851851852,2011
CHINA SPRING ISD,19.0,143.0,13.286713286713287,2011
CHIRENO ISD,5.0,18.0,27.77777777777778,2011
CHISUM ISD,7.0,66.0,10.606060606060606,2011
CHRISTOVAL ISD,13.0,38.0,34.21052631578947,2011
CISCO ISD,5.0,73.0,6.8493150684931505,2011
CITY VIEW ISD,10.0,53.0,18.867924528301888,2011
CLARENDON ISD,10.0,40.0,25.0,2011
CLARKSVILLE ISD,,45.0,,2011
CLAUDE ISD,,22.0,,2011
CLEAR CREEK ISD,800.0,2671.0,29.95132909022838,2011
CLEBURNE ISD,55.0,389.0,14.138817480719796,2011
CLEVELAND ISD,20.0,160.0,12.5,2011
CLIFTON ISD,15.0,74.0,20.27027027027027,2011
CLINT ISD,140.0,689.0,20.319303338171263,2011
COAHOMA ISD,11.0,54.0,20.37037037037037,2011
COLEMAN ISD,15.0,65.0,23.076923076923077,2011
COLLEGE STATION ISD,183.0,689.0,26.56023222060958,2011
COLLINSVILLE ISD,5.0,36.0,13.88888888888889,2011
COLMESNEIL ISD,12.0,51.0,23.52941176470588,2011
COLORADO ISD,8.0,63.0,12.698412698412698,2011
COLUMBIA-BRAZORIA ISD,26.0,195.0,13.333333333333334,2011
COLUMBUS ISD,24.0,123.0,19.51219512195122,2011
COMAL ISD,336.0,1159.0,28.99050905953408,2011
COMANCHE ISD,33.0,80.0,41.25,2011
COMFORT ISD,21.0,90.0,23.333333333333332,2011
COMMERCE ISD,34.0,112.0,30.357142857142854,2011
COMMUNITY ISD,13.0,98.0,13.26530612244898,2011
COMSTOCK ISD,,15.0,,2011
CONNALLY ISD,13.0,145.0,8.96551724137931,2011
CONROE ISD,600.0,2996.0,20.026702269692922,2011
COOLIDGE ISD,,16.0,,2011
COOPER ISD,12.0,67.0,17.91044776119403,2011
COPPELL ISD,249.0,727.0,34.25034387895461,2011
COPPERAS COVE ISD,62.0,474.0,13.080168776371309,2011
CORPUS CHRISTI ISD,440.0,2152.0,20.44609665427509,2011
CORRIGAN-CAMDEN ISD,9.0,58.0,15.517241379310345,2011
CORSICANA ISD,35.0,316.0,11.075949367088606,2011
COTTON CENTER ISD,,12.0,,2011
COTULLA ISD,12.0,68.0,17.647058823529413,2011
COVINGTON ISD,,15.0,,2011
CRANDALL ISD,39.0,176.0,22.15909090909091,2011
CRANE ISD,17.0,61.0,27.86885245901639,2011
CRANFILLS GAP ISD,,8.0,,2011
CRAWFORD ISD,9.0,52.0,17.307692307692307,2011
CROCKETT ISD,17.0,102.0,16.666666666666664,2011
CROSBY ISD,54.0,321.0,16.822429906542055,2011
CROSS PLAINS ISD,8.0,24.0,33.33333333333333,2011
CROSS ROADS ISD,,63.0,,2011
CROWELL ISD,,22.0,,2011
CROWLEY ISD,181.0,905.0,20.0,2011
CRYSTAL CITY ISD,8.0,114.0,7.017543859649122,2011
CUERO ISD,21.0,126.0,16.666666666666664,2011
CULBERSON COUNTY-ALLAMOORE ISD,10.0,35.0,28.57142857142857,2011
CUMBY ISD,6.0,31.0,19.35483870967742,2011
CUSHING ISD,5.0,31.0,16.129032258064516,2011
CYPRESS-FAIRBANKS ISD,1481.0,6310.0,23.47068145800317,2011
DAINGERFIELD-LONE STAR ISD,14.0,88.0,15.909090909090908,2011
DALHART ISD,20.0,112.0,17.857142857142858,2011
DALLAS ISD,1118.0,7267.0,15.384615384615385,2011
DANBURY ISD,7.0,60.0,11.666666666666666,2011
DARROUZETT ISD,,9.0,,2011
DAWSON ISD,,14.0,,2011
DAWSON ISD,,32.0,,2011
DAYTON ISD,38.0,300.0,12.666666666666668,2011
DE LEON ISD,18.0,54.0,33.33333333333333,2011
DECATUR ISD,50.0,209.0,23.923444976076556,2011
DEER PARK ISD,136.0,864.0,15.74074074074074,2011
DEKALB ISD,7.0,60.0,11.666666666666666,2011
DEL VALLE ISD,81.0,612.0,13.23529411764706,2011
DELL CITY ISD,,9.0,,2011
DENISON ISD,32.0,319.0,10.031347962382444,2011
DENTON ISD,260.0,1259.0,20.651310563939635,2011
DENVER CITY ISD,10.0,93.0,10.75268817204301,2011
DESOTO ISD,148.0,524.0,28.24427480916031,2011
DETROIT ISD,,32.0,,2011
DEVINE ISD,24.0,131.0,18.3206106870229,2011
DEWEYVILLE ISD,,51.0,,2011
D'HANIS ISD,7.0,29.0,24.137931034482758,2011
DIBOLL ISD,19.0,123.0,15.447154471544716,2011
DICKINSON ISD,65.0,509.0,12.770137524557956,2011
DILLEY ISD,11.0,64.0,17.1875,2011
DIME BOX ISD,,8.0,,2011
DIMMITT ISD,13.0,71.0,18.30985915492958,2011
DODD CITY ISD,,16.0,,2011
DONNA ISD,130.0,654.0,19.877675840978593,2011
DOUGLASS ISD,9.0,27.0,33.33333333333333,2011
DRIPPING SPRINGS ISD,104.0,288.0,36.11111111111111,2011
DUBLIN ISD,19.0,57.0,33.33333333333333,2011
DUMAS ISD,19.0,228.0,8.333333333333332,2011
DUNCANVILLE ISD,150.0,733.0,20.463847203274216,2011
EAGLE MT-SAGINAW ISD,131.0,893.0,14.669652855543113,2011
EAGLE PASS ISD,189.0,886.0,21.33182844243792,2011
EANES ISD,222.0,617.0,35.980551053484604,2011
EARLY ISD,12.0,77.0,15.584415584415584,2011
EAST BERNARD ISD,12.0,60.0,20.0,2011
EAST CENTRAL ISD,68.0,604.0,11.258278145695364,2011
EAST CHAMBERS ISD,29.0,89.0,32.58426966292135,2011
EASTLAND ISD,12.0,53.0,22.641509433962266,2011
ECTOR COUNTY ISD,227.0,1324.0,17.14501510574018,2011
ECTOR ISD,5.0,20.0,25.0,2011
EDCOUCH-ELSA ISD,89.0,342.0,26.023391812865498,2011
EDGEWOOD ISD,66.0,594.0,11.11111111111111,2011
EDGEWOOD ISD,6.0,58.0,10.344827586206897,2011
EDNA ISD,19.0,104.0,18.269230769230766,2011
EL CAMPO ISD,36.0,240.0,15.0,2011
EL PASO ISD,1123.0,4168.0,26.94337811900192,2011
ELECTRA ISD,,27.0,,2011
ELGIN ISD,47.0,212.0,22.169811320754718,2011
ELKHART ISD,6.0,75.0,8.0,2011
ELYSIAN FIELDS ISD,7.0,62.0,11.29032258064516,2011
ENNIS ISD,61.0,348.0,17.52873563218391,2011
ERA ISD,6.0,35.0,17.142857142857142,2011
EULA ISD,,32.0,,2011
EUSTACE ISD,12.0,100.0,12.0,2011
EVADALE ISD,,32.0,,2011
EVANT ISD,,28.0,,2011
EVERMAN ISD,37.0,216.0,17.12962962962963,2011
FABENS ISD,30.0,161.0,18.633540372670808,2011
FAIRFIELD ISD,16.0,135.0,11.851851851851853,2011
FALLS CITY ISD,22.0,37.0,59.45945945945946,2011
FANNINDEL ISD,,12.0,,2011
FARMERSVILLE ISD,13.0,85.0,15.294117647058824,2011
FARWELL ISD,7.0,32.0,21.875,2011
FAYETTEVILLE ISD,7.0,15.0,46.666666666666664,2011
FERRIS ISD,9.0,138.0,6.521739130434782,2011
FLATONIA ISD,12.0,42.0,28.57142857142857,2011
FLORENCE ISD,17.0,69.0,24.637681159420293,2011
FLORESVILLE ISD,34.0,267.0,12.734082397003746,2011
FLOUR BLUFF ISD,131.0,410.0,31.951219512195124,2011
FLOYDADA ISD,16.0,48.0,33.33333333333333,2011
FOLLETT ISD,,16.0,,2011
FORESTBURG ISD,,13.0,,2011
FORNEY ISD,93.0,453.0,20.52980132450331,2011
FORSAN ISD,7.0,50.0,14.000000000000002,2011
FORT BEND ISD,1565.0,4836.0,32.36145574855252,2011
FORT STOCKTON ISD,21.0,127.0,16.535433070866144,2011
FORT WORTH ISD,547.0,3863.0,14.159979290706703,2011
FRANKLIN ISD,14.0,67.0,20.8955223880597,2011
FRANKSTON ISD,9.0,56.0,16.071428571428573,2011
FREDERICKSBURG ISD,62.0,242.0,25.6198347107438,2011
FREER ISD,14.0,55.0,25.454545454545453,2011
FRENSHIP ISD,116.0,413.0,28.087167070217916,2011
FRIENDSWOOD ISD,154.0,493.0,31.237322515212984,2011
FRIONA ISD,20.0,69.0,28.985507246376812,2011
FRISCO ISD,358.0,1740.0,20.57471264367816,2011
FROST ISD,,18.0,,2011
FRUITVALE ISD,,25.0,,2011
FT DAVIS ISD,,51.0,,2011
FT HANCOCK ISD,5.0,30.0,16.666666666666664,2011
FT SAM HOUSTON ISD,14.0,63.0,22.22222222222222,2011
GAINESVILLE ISD,17.0,137.0,12.408759124087592,2011
GALENA PARK ISD,208.0,1414.0,14.71004243281471,2011
GALVESTON ISD,69.0,416.0,16.58653846153846,2011
GANADO ISD,8.0,40.0,20.0,2011
GARLAND ISD,659.0,3772.0,17.47083775185578,2011
GARRISON ISD,11.0,47.0,23.404255319148938,2011
GARY ISD,,30.0,,2011
GATESVILLE ISD,33.0,165.0,20.0,2011
GEORGE WEST ISD,18.0,70.0,25.71428571428571,2011
GEORGETOWN ISD,211.0,714.0,29.551820728291318,2011
GIDDINGS ISD,28.0,140.0,20.0,2011
GILMER ISD,16.0,152.0,10.526315789473683,2011
GLADEWATER ISD,13.0,136.0,9.558823529411764,2011
GLASSCOCK COUNTY ISD,10.0,18.0,55.55555555555556,2011
GLEN ROSE ISD,48.0,122.0,39.34426229508197,2011
GODLEY ISD,27.0,104.0,25.961538461538463,2011
GOLD BURG ISD,,14.0,,2011
GOLDTHWAITE ISD,10.0,43.0,23.25581395348837,2011
GOLIAD ISD,16.0,107.0,14.953271028037381,2011
GONZALES ISD,17.0,134.0,12.686567164179104,2011
GOODRICH ISD,,12.0,,2011
GORDON ISD,,11.0,,2011
GORMAN ISD,,19.0,,2011
GRADY ISD,5.0,24.0,20.833333333333336,2011
GRAFORD ISD,,15.0,,2011
GRAHAM ISD,48.0,203.0,23.645320197044335,2011
GRANBURY ISD,92.0,411.0,22.38442822384428,2011
GRAND PRAIRIE ISD,210.0,1564.0,13.427109974424553,2011
GRAND SALINE ISD,14.0,84.0,16.666666666666664,2011
GRANDFALLS-ROYALTY ISD,,,,2011
GRANDVIEW ISD,23.0,71.0,32.3943661971831,2011
GRANGER ISD,,35.0,,2011
GRAPE CREEK ISD,18.0,71.0,25.352112676056336,2011
GRAPELAND ISD,,35.0,,2011
GRAPEVINE-COLLEYVILLE ISD,264.0,1058.0,24.95274102079395,2011
GREENVILLE ISD,45.0,267.0,16.853932584269664,2011
GREENWOOD ISD,23.0,109.0,21.100917431192663,2011
GREGORY-PORTLAND ISD,86.0,300.0,28.666666666666668,2011
