DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
Charlotte ISD,San Antonio,785.0,18.8,2011
Jourdanton ISD,San Antonio,960.0,27.1,2011
Lytle ISD,San Antonio,942.0,37.6,2011
Pleasanton ISD,San Antonio,930.0,46.4,2011
Poteet ISD,San Antonio,902.0,45.2,2011
Medina ISD,San Antonio,961.0,90.5,2011
Bandera ISD,San Antonio,1013.0,70.6,2011
Bastrop ISD,Austin,942.0,56.1,2011
Elgin ISD,Austin,941.0,46.8,2011
Smithville ISD,Austin,1000.0,,2011
Bartlett ISD,Austin,671.0,121.4,2011
Alamo Heights ISD,San Antonio,1107.0,87.5,2011
Harlandale ISD,San Antonio,865.0,46.8,2011
Edgewood ISD,San Antonio,802.0,53.9,2011
Randolph Field ISD,San Antonio,1097.0,83.1,2011
San Antonio ISD,San Antonio,828.0,57.3,2011
South San Antonio ISD,San Antonio,860.0,53.7,2011
Somerset ISD,San Antonio,833.0,65.4,2011
North East ISD,San Antonio,1022.0,72.1,2011
East Central ISD,San Antonio,909.0,50.8,2011
Southwest ISD,San Antonio,844.0,42.8,2011
Lackland ISD,San Antonio,1007.0,36.0,2011
Ft Sam Houston ISD,San Antonio,1032.0,86.4,2011
Northside ISD,San Antonio,978.0,67.9,2011
Judson ISD,San Antonio,924.0,57.9,2011
Southside ISD,San Antonio,820.0,69.2,2011
Johnson City ISD,Austin,1034.0,75.0,2011
Blanco ISD,Austin,994.0,37.8,2011
Alvin ISD,Houston,953.0,53.7,2011
Angleton ISD,Houston,967.0,50.5,2011
Danbury ISD,Houston,933.0,50.0,2011
Brazosport ISD,Houston,1001.0,48.2,2011
Sweeny ISD,Houston,888.0,78.9,2011
Columbia-Brazoria ISD,Houston,961.0,35.8,2011
Pearland ISD,Houston,1019.0,67.8,2011
Marble Falls ISD,Austin,980.0,57.7,2011
Lockhart ISD,Austin,909.0,47.5,2011
Luling ISD,Austin,916.0,42.0,2011
Prairie Lea ISD,Austin,1020.0,,2011
Anahuac ISD,Houston,929.0,69.2,2011
Barbers Hill ISD,Houston,1029.0,60.4,2011
East Chambers ISD,Houston,954.0,53.1,2011
Allen ISD,Richardson,1096.0,76.2,2011
Anna ISD,Richardson,953.0,42.1,2011
Celina ISD,Richardson,1030.0,42.6,2011
Farmersville ISD,Richardson,926.0,56.8,2011
Frisco ISD,Richardson,1062.0,68.7,2011
McKinney ISD,Richardson,1051.0,74.9,2011
Melissa ISD,Richardson,993.0,54.3,2011
Plano ISD,Richardson,1142.0,78.4,2011
Princeton ISD,Richardson,943.0,55.0,2011
Prosper ISD,Richardson,1056.0,64.8,2011
Wylie ISD,Richardson,1001.0,56.3,2011
Blue Ridge ISD,Richardson,1046.0,30.4,2011
Community ISD,Richardson,948.0,42.9,2011
Lovejoy ISD,Richardson,1096.0,93.2,2011
New Braunfels ISD,Austin,999.0,64.2,2011
Comal ISD,Austin,995.0,77.4,2011
Gainesville ISD,Fort Worth,963.0,37.0,2011
Muenster ISD,Fort Worth,1015.0,96.0,2011
Valley View ISD,Fort Worth,980.0,66.7,2011
Callisburg ISD,Fort Worth,914.0,55.7,2011
Era ISD,Fort Worth,973.0,42.4,2011
Lindsay ISD,Fort Worth,1064.0,80.0,2011
Carrollton-Farmers Branch ISD,Richardson,998.0,63.3,2011
Cedar Hill ISD,Richardson,872.0,55.4,2011
Dallas ISD,Richardson,863.0,66.0,2011
Desoto ISD,Richardson,855.0,74.2,2011
Duncanville ISD,Richardson,935.0,45.6,2011
Garland ISD,Richardson,973.0,52.6,2011
Grand Prairie ISD,Richardson,945.0,39.0,2011
Highland Park ISD,Richardson,1215.0,94.4,2011
Irving ISD,Richardson,847.0,78.4,2011
Lancaster ISD,Richardson,802.0,58.1,2011
Mesquite ISD,Richardson,930.0,57.7,2011
Richardson ISD,Richardson,1037.0,73.7,2011
Sunnyvale ISD,Richardson,1040.0,86.4,2011
Coppell ISD,Richardson,1140.0,87.9,2011
Denton ISD,Fort Worth,1000.0,57.5,2011
Lewisville ISD,Fort Worth,1079.0,70.3,2011
Pilot Point ISD,Fort Worth,970.0,44.0,2011
Krum ISD,Fort Worth,978.0,55.4,2011
Ponder ISD,Fort Worth,1053.0,51.7,2011
Aubrey ISD,Fort Worth,1032.0,64.7,2011
Sanger ISD,Fort Worth,965.0,41.9,2011
Argyle ISD,Fort Worth,1097.0,83.7,2011
Northwest ISD,Fort Worth,1000.0,71.5,2011
Lake Dallas ISD,Fort Worth,994.0,63.0,2011
Little Elm ISD,Fort Worth,963.0,62.9,2011
Avalon ISD,Richardson,876.0,93.3,2011
Ennis ISD,Richardson,1022.0,25.5,2011
Ferris ISD,Richardson,921.0,50.4,2011
Italy ISD,Richardson,834.0,39.5,2011
Midlothian ISD,Richardson,1029.0,49.8,2011
Palmer ISD,Richardson,971.0,50.8,2011
Red Oak ISD,Richardson,998.0,58.6,2011
Waxahachie ISD,Richardson,978.0,49.4,2011
Maypearl ISD,Richardson,907.0,73.3,2011
Dublin ISD,Fort Worth,1013.0,54.0,2011
Huckabay ISD,Fort Worth,1013.0,50.0,2011
Lingleville ISD,Fort Worth,,,2011
Bonham ISD,Richardson,997.0,38.6,2011
Dodd City ISD,Richardson,,,2011
Ector ISD,Richardson,1002.0,56.3,2011
Leonard ISD,Richardson,973.0,32.4,2011
Savoy ISD,Richardson,943.0,72.7,2011
Trenton ISD,Richardson,876.0,43.8,2011
Sam Rayburn ISD,Richardson,1031.0,40.9,2011
Flatonia ISD,Austin,964.0,64.9,2011
La Grange ISD,Austin,1011.0,63.6,2011
Schulenburg ISD,Austin,946.0,56.5,2011
Fayetteville ISD,Austin,1043.0,71.4,2011
Round Top-Carmine ISD,Austin,1014.0,,2011
Needville ISD,Houston,1029.0,44.9,2011
Fort Bend ISD,Houston,1027.0,83.0,2011
Dilley ISD,San Antonio,920.0,17.0,2011
Pearsall ISD,San Antonio,1029.0,12.3,2011
Dickinson ISD,Houston,934.0,42.1,2011
Galveston ISD,Houston,936.0,52.0,2011
La Marque ISD,Houston,833.0,45.8,2011
Texas City ISD,Houston,925.0,40.5,2011
Hitchcock ISD,Houston,860.0,37.0,2011
Santa Fe ISD,Houston,968.0,39.0,2011
Clear Creek ISD,Houston,1069.0,75.4,2011
Friendswood ISD,Houston,1116.0,88.0,2011
Fredericksburg ISD,Austin,1003.0,63.9,2011
Harper ISD,Austin,985.0,65.2,2011
Gonzales ISD,Austin,943.0,36.1,2011
Bells ISD,Richardson,955.0,38.0,2011
Collinsville ISD,Richardson,1012.0,,2011
Denison ISD,Richardson,1036.0,29.5,2011
Howe ISD,Richardson,988.0,27.3,2011
Sherman ISD,Richardson,1045.0,35.4,2011
Van Alstyne ISD,Richardson,1014.0,57.1,2011
Whitesboro ISD,Richardson,1049.0,8.1,2011
Whitewright ISD,Richardson,1040.0,52.9,2011
Pottsboro ISD,Richardson,1030.0,50.7,2011
Gunter ISD,Richardson,1034.0,50.9,2011
Tom Bean ISD,Richardson,998.0,58.6,2011
Seguin ISD,Austin,949.0,53.8,2011
Schertz-Cibolo-U City ISD,Austin,989.0,72.0,2011
Navarro ISD,Austin,999.0,71.7,2011
Marion ISD,Austin,953.0,62.5,2011
Aldine ISD,Houston,881.0,51.7,2011
Alief ISD,Houston,893.0,62.8,2011
Channelview ISD,Houston,898.0,42.1,2011
Crosby ISD,Houston,972.0,46.2,2011
Cypress-Fairbanks ISD,Houston,1025.0,65.7,2011
Deer Park ISD,Houston,1002.0,44.8,2011
North Forest ISD,Houston,740.0,57.9,2011
Galena Park ISD,Houston,893.0,31.8,2011
Houston ISD,Houston,915.0,68.5,2011
Humble ISD,Houston,1011.0,69.2,2011
Katy ISD,Houston,1071.0,75.4,2011
Klein ISD,Houston,1021.0,70.6,2011
La Porte ISD,Houston,968.0,48.3,2011
Pasadena ISD,Houston,924.0,43.5,2011
Spring ISD,Houston,888.0,60.5,2011
Spring Branch ISD,Houston,1041.0,78.7,2011
Tomball ISD,Houston,1028.0,65.9,2011
Sheldon ISD,Houston,844.0,53.5,2011
Huffman ISD,Houston,978.0,71.6,2011
Dripping Springs ISD,Austin,1142.0,85.0,2011
Wimberley ISD,Austin,1083.0,87.4,2011
Granbury ISD,Fort Worth,1051.0,55.6,2011
Lipan ISD,Fort Worth,955.0,,2011
Tolar ISD,Fort Worth,1002.0,60.0,2011
Caddo Mills ISD,Richardson,1030.0,52.7,2011
Celeste ISD,Richardson,,,2011
Commerce ISD,Richardson,949.0,41.9,2011
Greenville ISD,Richardson,967.0,39.8,2011
Lone Oak ISD,Richardson,1053.0,52.5,2011
Quinlan ISD,Richardson,888.0,40.3,2011
Wolfe City ISD,Richardson,1111.0,17.5,2011
Bland ISD,Richardson,921.0,58.3,2011
Boles ISD,Richardson,981.0,32.4,2011
Alvarado ISD,Fort Worth,932.0,50.6,2011
Burleson ISD,Fort Worth,997.0,52.9,2011
Cleburne ISD,Fort Worth,990.0,41.4,2011
Grandview ISD,Fort Worth,986.0,43.3,2011
Joshua ISD,Fort Worth,992.0,51.7,2011
Keene ISD,Fort Worth,922.0,80.0,2011
Rio Vista ISD,Fort Worth,971.0,41.2,2011
Venus ISD,Fort Worth,915.0,26.7,2011
Godley ISD,Fort Worth,1009.0,54.8,2011
Crandall ISD,Richardson,970.0,38.5,2011
Forney ISD,Richardson,980.0,63.1,2011
Kaufman ISD,Richardson,943.0,48.0,2011
Kemp ISD,Richardson,947.0,29.0,2011
Mabank ISD,Richardson,954.0,38.7,2011
Terrell ISD,Richardson,865.0,46.0,2011
Scurry-Rosser ISD,Richardson,1035.0,45.0,2011
Boerne ISD,San Antonio,1070.0,83.5,2011
Comfort ISD,Austin,954.0,63.9,2011
Center Point ISD,San Antonio,928.0,54.5,2011
Kerrville ISD,San Antonio,1004.0,63.7,2011
Ingram ISD,San Antonio,964.0,67.5,2011
Brackett ISD,San Antonio,959.0,64.7,2011
Cotulla ISD,San Antonio,863.0,19.7,2011
Giddings ISD,Austin,967.0,53.1,2011
Lexington ISD,Austin,960.0,76.9,2011
Dime Box ISD,Austin,840.0,116.7,2011
Cleveland ISD,Houston,908.0,49.6,2011
Dayton ISD,Houston,930.0,46.1,2011
Hardin ISD,Houston,893.0,45.2,2011
Hull-Daisetta ISD,Houston,864.0,48.5,2011
Liberty ISD,Houston,915.0,54.2,2011
Tarkington ISD,Houston,1003.0,50.0,2011
Llano ISD,Austin,968.0,64.1,2011
Eagle Pass ISD,San Antonio,865.0,62.5,2011
Devine ISD,San Antonio,910.0,39.7,2011
Natalia ISD,San Antonio,840.0,87.8,2011
Hondo ISD,San Antonio,1057.0,11.7,2011
Medina Valley ISD,San Antonio,1012.0,17.2,2011
Thorndale ISD,Austin,980.0,70.2,2011
Gordon ISD,Fort Worth,,,2011
Graford ISD,Fort Worth,908.0,61.5,2011
Mineral Wells ISD,Fort Worth,960.0,40.7,2011
Santo ISD,Fort Worth,1034.0,,2011
Poolville ISD,Fort Worth,1014.0,20.8,2011
Springtown ISD,Fort Worth,1000.0,48.0,2011
Weatherford ISD,Fort Worth,1045.0,52.2,2011
Millsap ISD,Fort Worth,946.0,46.2,2011
Aledo ISD,Fort Worth,1108.0,80.9,2011
Peaster ISD,Fort Worth,1056.0,56.7,2011
Brock ISD,Fort Worth,1068.0,43.1,2011
Leakey ISD,San Antonio,963.0,,2011
Rockwall ISD,Richardson,1057.0,71.8,2011
Royse City ISD,Richardson,965.0,52.8,2011
Glen Rose ISD,Fort Worth,980.0,73.2,2011
Arlington ISD,Fort Worth,985.0,65.2,2011
Birdville ISD,Fort Worth,1002.0,53.2,2011
Everman ISD,Fort Worth,853.0,61.7,2011
Fort Worth ISD,Fort Worth,905.0,58.6,2011
Grapevine-Colleyville ISD,Fort Worth,1099.0,82.4,2011
Keller ISD,Fort Worth,1044.0,66.4,2011
Mansfield ISD,Fort Worth,977.0,67.9,2011
Lake Worth ISD,Fort Worth,905.0,46.0,2011
Crowley ISD,Fort Worth,941.0,70.3,2011
Kennedale ISD,Fort Worth,950.0,66.8,2011
Azle ISD,Fort Worth,987.0,60.9,2011
Hurst-Euless-Bedford ISD,Fort Worth,1028.0,55.0,2011
Castleberry ISD,Fort Worth,904.0,60.5,2011
Eagle Mt-Saginaw ISD,Fort Worth,993.0,58.1,2011
Carroll ISD,Fort Worth,1155.0,93.4,2011
White Settlement ISD,Fort Worth,967.0,39.7,2011
Austin ISD,Austin,1015.0,72.8,2011
Pflugerville ISD,Austin,989.0,75.9,2011
Manor ISD,Austin,849.0,63.2,2011
Eanes ISD,Austin,1214.0,97.7,2011
Del Valle ISD,Austin,876.0,49.4,2011
Lago Vista ISD,Austin,1026.0,65.9,2011
Lake Travis ISD,Austin,1117.0,90.8,2011
Knippa ISD,San Antonio,916.0,90.0,2011
Sabinal ISD,San Antonio,829.0,62.2,2011
Utopia ISD,San Antonio,1130.0,37.5,2011
Canton ISD,Richardson,1030.0,43.6,2011
Wills Point ISD,Richardson,973.0,42.6,2011
Hempstead ISD,Houston,813.0,17.6,2011
Waller ISD,Houston,996.0,25.1,2011
Royal ISD,Houston,1010.0,5.6,2011
Florence ISD,Austin,981.0,66.7,2011
Georgetown ISD,Austin,1043.0,66.6,2011
Granger ISD,Austin,1040.0,31.3,2011
Hutto ISD,Austin,954.0,66.9,2011
Jarrell ISD,Austin,1046.0,60.4,2011
Liberty Hill ISD,Austin,1058.0,62.3,2011
Round Rock ISD,Austin,1092.0,77.4,2011
Taylor ISD,Austin,955.0,49.5,2011
Thrall ISD,Austin,1007.0,75.6,2011
Leander ISD,Austin,1070.0,77.8,2011
Floresville ISD,San Antonio,924.0,54.9,2011
La Vernia ISD,San Antonio,1001.0,68.5,2011
Poth ISD,San Antonio,999.0,78.7,2011
Stockdale ISD,San Antonio,942.0,57.1,2011
Alvord ISD,Fort Worth,1017.0,45.5,2011
Boyd ISD,Fort Worth,992.0,46.6,2011
Bridgeport ISD,Fort Worth,964.0,46.2,2011
Chico ISD,Fort Worth,872.0,25.7,2011
Decatur ISD,Fort Worth,996.0,42.4,2011
Paradise ISD,Fort Worth,1008.0,48.1,2011
Slidell ISD,Fort Worth,854.0,90.0,2011
Crystal City ISD,San Antonio,960.0,8.4,2011
La Pryor ISD,San Antonio,1023.0,,2011
Charlotte ISD,San Antonio,805.0,32.4,2012
