DistName,RegnName,SAT-Total,SAT-Part_Rate,Year
CHARLOTTE ISD,San Antonio,862.0,18.8,2011
JOURDANTON ISD,San Antonio,1030.0,27.1,2011
LYTLE ISD,San Antonio,1010.0,37.6,2011
PLEASANTON ISD,San Antonio,1017.0,46.4,2011
POTEET ISD,San Antonio,989.0,45.2,2011
MEDINA ISD,San Antonio,1043.0,90.5,2011
BANDERA ISD,San Antonio,1084.0,70.6,2011
BASTROP ISD,Austin,1025.0,56.1,2011
ELGIN ISD,Austin,1020.0,46.8,2011
BARTLETT ISD,Austin,752.0,121.4,2011
ALAMO HEIGHTS ISD,San Antonio,1180.0,87.5,2011
HARLANDALE ISD,San Antonio,945.0,46.8,2011
EDGEWOOD ISD,San Antonio,875.0,53.9,2011
RANDOLPH FIELD ISD,San Antonio,1162.0,83.1,2011
SAN ANTONIO ISD,San Antonio,907.0,57.3,2011
SOUTH SAN ANTONIO ISD,San Antonio,944.0,53.7,2011
SOMERSET ISD,San Antonio,910.0,65.4,2011
NORTH EAST ISD,San Antonio,1097.0,72.1,2011
EAST CENTRAL ISD,San Antonio,994.0,50.8,2011
SOUTHWEST ISD,San Antonio,926.0,42.8,2011
LACKLAND ISD,San Antonio,1077.0,36.0,2011
FT SAM HOUSTON ISD,San Antonio,1103.0,86.4,2011
NORTHSIDE ISD,San Antonio,1049.0,67.9,2011
JUDSON ISD,San Antonio,1008.0,57.9,2011
SOUTHSIDE ISD,San Antonio,903.0,69.2,2011
JOHNSON CITY ISD,Austin,1109.0,75.0,2011
BLANCO ISD,Austin,1072.0,37.8,2011
ALVIN ISD,Houston,1024.0,53.7,2011
ANGLETON ISD,Houston,1041.0,50.5,2011
DANBURY ISD,Houston,1004.0,50.0,2011
BRAZOSPORT ISD,Houston,1082.0,48.2,2011
SWEENY ISD,Houston,961.0,78.9,2011
COLUMBIA-BRAZORIA ISD,Houston,1037.0,35.8,2011
PEARLAND ISD,Houston,1098.0,67.8,2011
MARBLE FALLS ISD,Austin,1055.0,57.7,2011
LOCKHART ISD,Austin,988.0,47.5,2011
LULING ISD,Austin,1007.0,42.0,2011
ANAHUAC ISD,Houston,999.0,69.2,2011
BARBERS HILL ISD,Houston,1101.0,60.4,2011
EAST CHAMBERS ISD,Houston,1017.0,53.1,2011
ALLEN ISD,Richardson,1155.0,76.2,2011
ANNA ISD,Richardson,1048.0,42.1,2011
CELINA ISD,Richardson,1105.0,42.6,2011
FARMERSVILLE ISD,Richardson,1008.0,56.8,2011
FRISCO ISD,Richardson,1141.0,68.7,2011
MCKINNEY ISD,Richardson,1127.0,74.9,2011
MELISSA ISD,Richardson,1067.0,54.3,2011
PLANO ISD,Richardson,1210.0,78.4,2011
PRINCETON ISD,Richardson,1022.0,55.0,2011
PROSPER ISD,Richardson,1126.0,64.8,2011
WYLIE ISD,Richardson,1076.0,56.3,2011
BLUE RIDGE ISD,Richardson,1121.0,30.4,2011
COMMUNITY ISD,Richardson,1037.0,42.9,2011
LOVEJOY ISD,Richardson,1162.0,93.2,2011
NEW BRAUNFELS ISD,Austin,1077.0,64.2,2011
COMAL ISD,Austin,1068.0,77.4,2011
GAINESVILLE ISD,Fort Worth,1026.0,37.0,2011
MUENSTER ISD,Fort Worth,1094.0,96.0,2011
VALLEY VIEW ISD,Fort Worth,1044.0,66.7,2011
CALLISBURG ISD,Fort Worth,998.0,55.7,2011
ERA ISD,Fort Worth,1048.0,42.4,2011
LINDSAY ISD,Fort Worth,1137.0,80.0,2011
CARROLLTON-FARMERS BRANCH ISD,Richardson,1083.0,63.3,2011
CEDAR HILL ISD,Richardson,960.0,55.4,2011
DALLAS ISD,Richardson,946.0,66.0,2011
DESOTO ISD,Richardson,932.0,74.2,2011
DUNCANVILLE ISD,Richardson,1010.0,45.6,2011
GARLAND ISD,Richardson,1047.0,52.6,2011
GRAND PRAIRIE ISD,Richardson,1015.0,39.0,2011
HIGHLAND PARK ISD,Richardson,1282.0,94.4,2011
IRVING ISD,Richardson,935.0,78.4,2011
LANCASTER ISD,Richardson,882.0,58.1,2011
MESQUITE ISD,Richardson,1014.0,57.7,2011
RICHARDSON ISD,Richardson,1116.0,73.7,2011
SUNNYVALE ISD,Richardson,1120.0,86.4,2011
COPPELL ISD,Richardson,1213.0,87.9,2011
DENTON ISD,Fort Worth,1075.0,57.5,2011
LEWISVILLE ISD,Fort Worth,1154.0,70.3,2011
PILOT POINT ISD,Fort Worth,1032.0,44.0,2011
KRUM ISD,Fort Worth,1052.0,55.4,2011
PONDER ISD,Fort Worth,1115.0,51.7,2011
AUBREY ISD,Fort Worth,1111.0,64.7,2011
SANGER ISD,Fort Worth,1041.0,41.9,2011
ARGYLE ISD,Fort Worth,1157.0,83.7,2011
NORTHWEST ISD,Fort Worth,1079.0,71.5,2011
LAKE DALLAS ISD,Fort Worth,1069.0,63.0,2011
LITTLE ELM ISD,Fort Worth,1038.0,62.9,2011
AVALON ISD,Richardson,961.0,93.3,2011
