DistName,RegnName,Wealth/ADA,Year
ALAMO HEIGHTS ISD,San Antonio,1098268,2011
ALAMO HEIGHTS ISD,San Antonio,1061587,2012
ALAMO HEIGHTS ISD,San Antonio,1056007,2013
ALAMO HEIGHTS ISD,San Antonio,1081447,2014
ALAMO HEIGHTS ISD,San Antonio,1137027,2015
ALAMO HEIGHTS ISD,San Antonio,1179836,2016
ALAMO HEIGHTS ISD,San Antonio,1296290,2017
ALDINE ISD,Houston,227596,2011
ALDINE ISD,Houston,210385,2012
ALDINE ISD,Houston,211736,2013
ALDINE ISD,Houston,215342,2014
ALDINE ISD,Houston,231165,2015
ALDINE ISD,Houston,253334,2016
ALDINE ISD,Houston,293519,2017
ALEDO ISD,Fort Worth,571536,2011
ALEDO ISD,Fort Worth,578269,2012
ALEDO ISD,Fort Worth,541482,2013
ALEDO ISD,Fort Worth,520317,2014
ALEDO ISD,Fort Worth,517205,2015
ALEDO ISD,Fort Worth,507627,2016
ALEDO ISD,Fort Worth,537553,2017
ALIEF ISD,Houston,267266,2011
ALIEF ISD,Houston,249968,2012
ALIEF ISD,Houston,248959,2013
ALIEF ISD,Houston,249467,2014
ALIEF ISD,Houston,258678,2015
ALIEF ISD,Houston,283387,2016
ALIEF ISD,Houston,319295,2017
ALLEN ISD,Richardson,390167,2011
ALLEN ISD,Richardson,387115,2012
ALLEN ISD,Richardson,388622,2013
ALLEN ISD,Richardson,397446,2014
ALLEN ISD,Richardson,415021,2015
ALLEN ISD,Richardson,445482,2016
ALLEN ISD,Richardson,497425,2017
ALVARADO ISD,Fort Worth,530621,2011
ALVARADO ISD,Fort Worth,488002,2012
ALVARADO ISD,Fort Worth,447308,2013
ALVARADO ISD,Fort Worth,436882,2014
ALVARADO ISD,Fort Worth,400123,2015
ALVARADO ISD,Fort Worth,417922,2016
ALVARADO ISD,Fort Worth,414360,2017
ALVIN ISD,Houston,216299,2011
ALVIN ISD,Houston,213786,2012
ALVIN ISD,Houston,213476,2013
ALVIN ISD,Houston,212809,2014
ALVIN ISD,Houston,224168,2015
ALVIN ISD,Houston,222517,2016
ALVIN ISD,Houston,229859,2017
ALVORD ISD,Fort Worth,374152,2011
ALVORD ISD,Fort Worth,437710,2012
ALVORD ISD,Fort Worth,455191,2013
ALVORD ISD,Fort Worth,511733,2014
ALVORD ISD,Fort Worth,653796,2015
ALVORD ISD,Fort Worth,643643,2016
ALVORD ISD,Fort Worth,629173,2017
ANAHUAC ISD,Houston,250260,2011
ANAHUAC ISD,Houston,274403,2012
ANAHUAC ISD,Houston,278893,2013
ANAHUAC ISD,Houston,332679,2014
ANAHUAC ISD,Houston,422981,2015
ANAHUAC ISD,Houston,561184,2016
ANAHUAC ISD,Houston,513384,2017
ANGLETON ISD,Houston,396881,2011
ANGLETON ISD,Houston,359004,2012
ANGLETON ISD,Houston,358284,2013
ANGLETON ISD,Houston,360331,2014
